Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Elementary Hindi | HINDI 102,Lecture Section 001,6608,4,25,84.0,2021-06-27 17:24:07.354225
Elementary Hindi | HINDI 102,Lecture Section 002,11466,0,1,100.0,2021-06-27 17:24:09.854221
Elementary Hindi | HINDI 102,Discussion Section 01D,6609,4,25,84.0,2021-06-27 17:24:12.218911
Elementary Hindi | HINDI 102,Discussion Section 02D,11439,1,1,0.0,2021-06-27 17:24:14.771034
Elementary Hindi | HINDI 102,Discussion Section 03D,11467,0,1,100.0,2021-06-27 17:24:17.297633
Intermediate Hindi | HINDI 204D,Lecture Section 001,6610,15,18,16.666666666666664,2021-06-27 17:24:19.729738
Intermediate Hindi | HINDI 204D,Lecture Section 002,11895,0,1,100.0,2021-06-27 17:24:22.323919
Intermediate Hindi | HINDI 204D,Discussion Section 01D,6611,15,18,16.666666666666664,2021-06-27 17:24:24.833442
Intermediate Hindi | HINDI 204D,Discussion Section 02D,11896,0,1,100.0,2021-06-27 17:24:27.439970
Advanced Hindi | HINDI 306,Lecture Section 01,6612,11,12,8.333333333333332,2021-06-27 17:24:29.933397
Independent Study | HINDI 391,IND Section 01,10268,4,4,0.0,2021-06-27 17:24:32.434919
Independent Study | HINDI 391,IND Section 02,10269,4,4,0.0,2021-06-27 17:24:34.906882
Issues in Hindi Language and Society II | HINDI 408S,SEM Section 01,6613,6,8,25.0,2021-06-27 17:24:37.354290
Elementary Hindi | HINDI 102,Lecture Section 001,6608,4,25,84.0,2021-06-27 18:19:36.997035
Elementary Hindi | HINDI 102,Lecture Section 002,11466,0,1,100.0,2021-06-27 18:19:39.764615
Elementary Hindi | HINDI 102,Discussion Section 01D,6609,4,25,84.0,2021-06-27 18:19:42.496340
Elementary Hindi | HINDI 102,Discussion Section 02D,11439,1,1,0.0,2021-06-27 18:19:45.013173
Elementary Hindi | HINDI 102,Discussion Section 03D,11467,0,1,100.0,2021-06-27 18:19:47.456122
Intermediate Hindi | HINDI 204D,Lecture Section 001,6610,15,18,16.666666666666664,2021-06-27 18:19:49.885503
Intermediate Hindi | HINDI 204D,Lecture Section 002,11895,0,1,100.0,2021-06-27 18:19:52.369387
Intermediate Hindi | HINDI 204D,Discussion Section 01D,6611,15,18,16.666666666666664,2021-06-27 18:19:54.716959
Intermediate Hindi | HINDI 204D,Discussion Section 02D,11896,0,1,100.0,2021-06-27 18:19:57.103163
Advanced Hindi | HINDI 306,Lecture Section 01,6612,11,12,8.333333333333332,2021-06-27 18:19:59.451805
Independent Study | HINDI 391,IND Section 01,10268,4,4,0.0,2021-06-27 18:20:01.879716
Independent Study | HINDI 391,IND Section 02,10269,4,4,0.0,2021-06-27 18:20:04.292835
Issues in Hindi Language and Society II | HINDI 408S,SEM Section 01,6613,6,8,25.0,2021-06-27 18:20:06.658388
