Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Special Topics | I&E 89S,SEM Section 07,10669,1,18,94.44444444444444,2021-06-27 17:26:48.724390
Learning to Fail | I&E 252,Lecture Section 01,5421,0,18,100.0,2021-06-27 17:26:51.271069
Social Marketing: From Literary Celebrities to Instagram Influencers | I&E 253,Lecture Section 01,5422,4,40,90.0,2021-06-27 17:26:53.693364
"Arts, Film, Or Media Practicum | I&E 259",FLD Section 01,10797,1,12,91.66666666666666,2021-06-27 17:26:56.127181
"Arts, Film, Or Media Practicum | I&E 259",FLD Section 02,12074,0,1,100.0,2021-06-27 17:26:58.681664
Introduction to Digital Feminism | I&E 265S,SEM Section 01,11153,0,15,100.0,2021-06-27 17:27:01.124292
Special Topics | I&E 290,Lecture Section 01,5424,0,16,100.0,2021-06-27 17:27:03.513963
Special Topics | I&E 290,Lecture Section 02,11296,0,30,100.0,2021-06-27 17:27:05.981747
Arts Entrepreneurship | I&E 295S,SEM Section 01,4289,3,18,83.33333333333334,2021-06-27 17:27:08.376876
Fieldwork Methods: Cultural Analysis and Interpretation | I&E 302,Lecture Section 01,5874,13,28,53.57142857142857,2021-06-27 17:27:10.714225
Non-Profit Cultural Institutions | I&E 310S,SEM Section 01,7865,1,16,93.75,2021-06-27 17:27:13.055891
Customer Empathy & Brand Experience Design | I&E 350,Lecture Section 01,7770,0,24,100.0,2021-06-27 17:27:15.447805
Strategies for Innovation and Entrepreneurship | I&E 352,Lecture Section 01,5425,3,30,90.0,2021-06-27 17:27:17.772753
Strategies for Innovation and Entrepreneurship | I&E 352,Lecture Section 02,5426,1,30,96.66666666666667,2021-06-27 17:27:20.110370
Advanced Special Topics | I&E 390,Lecture Section 01,10353,0,10,100.0,2021-06-27 17:27:22.495394
Independent Study in Innovation and Entrepreneurship | I&E 391,IND Section 02,5427,0,1,100.0,2021-06-27 17:27:24.815323
Independent Study in Innovation and Entrepreneurship | I&E 391,IND Section 03,11899,0,1,100.0,2021-06-27 17:27:27.211904
Independent Study in Innovation and Entrepreneurship | I&E 391,IND Section 04,11945,0,1,100.0,2021-06-27 17:27:29.622396
Independent Study in Innovation and Entrepreneurship | I&E 391,IND Section 05,12019,0,1,100.0,2021-06-27 17:27:32.083808
Research Independent Study in Innovation and Entrepreneurship | I&E 393,IND Section 02,5428,8,8,0.0,2021-06-27 17:27:34.473763
New Ventures: Development | I&E 395,Lecture Section 01,5429,3,10,70.0,2021-06-27 17:27:36.949233
Innovation and Entrepreneurship Capstone: Ideas into Action | I&E 499,Lecture Section 01,5430,1,30,96.66666666666667,2021-06-27 17:27:39.403821
Innovation and Entrepreneurship Capstone: Ideas into Action | I&E 499,Lecture Section 02,5431,10,30,66.66666666666666,2021-06-27 17:27:41.805044
Special Topics | I&E 89S,SEM Section 07,10669,1,18,94.44444444444444,2021-06-27 18:23:16.993934
Learning to Fail | I&E 252,Lecture Section 01,5421,0,18,100.0,2021-06-27 18:23:19.408241
Social Marketing: From Literary Celebrities to Instagram Influencers | I&E 253,Lecture Section 01,5422,4,40,90.0,2021-06-27 18:23:21.911186
"Arts, Film, Or Media Practicum | I&E 259",FLD Section 01,10797,1,12,91.66666666666666,2021-06-27 18:23:24.456261
"Arts, Film, Or Media Practicum | I&E 259",FLD Section 02,12074,0,1,100.0,2021-06-27 18:23:26.870613
Introduction to Digital Feminism | I&E 265S,SEM Section 01,11153,0,15,100.0,2021-06-27 18:23:29.395253
Special Topics | I&E 290,Lecture Section 01,5424,0,16,100.0,2021-06-27 18:23:31.751581
Special Topics | I&E 290,Lecture Section 02,11296,0,30,100.0,2021-06-27 18:23:34.149959
Arts Entrepreneurship | I&E 295S,SEM Section 01,4289,3,18,83.33333333333334,2021-06-27 18:23:36.505774
Fieldwork Methods: Cultural Analysis and Interpretation | I&E 302,Lecture Section 01,5874,13,28,53.57142857142857,2021-06-27 18:23:38.952017
Non-Profit Cultural Institutions | I&E 310S,SEM Section 01,7865,1,16,93.75,2021-06-27 18:23:41.313187
Customer Empathy & Brand Experience Design | I&E 350,Lecture Section 01,7770,0,24,100.0,2021-06-27 18:23:43.656848
Strategies for Innovation and Entrepreneurship | I&E 352,Lecture Section 01,5425,3,30,90.0,2021-06-27 18:23:46.070525
Strategies for Innovation and Entrepreneurship | I&E 352,Lecture Section 02,5426,1,30,96.66666666666667,2021-06-27 18:23:48.474862
Advanced Special Topics | I&E 390,Lecture Section 01,10353,0,10,100.0,2021-06-27 18:23:50.924672
Independent Study in Innovation and Entrepreneurship | I&E 391,IND Section 02,5427,0,1,100.0,2021-06-27 18:23:53.289163
Independent Study in Innovation and Entrepreneurship | I&E 391,IND Section 03,11899,0,1,100.0,2021-06-27 18:23:55.805453
Independent Study in Innovation and Entrepreneurship | I&E 391,IND Section 04,11945,0,1,100.0,2021-06-27 18:23:58.216308
Independent Study in Innovation and Entrepreneurship | I&E 391,IND Section 05,12019,0,1,100.0,2021-06-27 18:24:00.609421
Research Independent Study in Innovation and Entrepreneurship | I&E 393,IND Section 02,5428,8,8,0.0,2021-06-27 18:24:02.971662
New Ventures: Development | I&E 395,Lecture Section 01,5429,3,10,70.0,2021-06-27 18:24:05.332688
Innovation and Entrepreneurship Capstone: Ideas into Action | I&E 499,Lecture Section 01,5430,1,30,96.66666666666667,2021-06-27 18:24:07.730780
Innovation and Entrepreneurship Capstone: Ideas into Action | I&E 499,Lecture Section 02,5431,10,30,66.66666666666666,2021-06-27 18:24:10.062651
