Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First Year Seminar in Italian | ITALIAN 89S,SEM Section 01,9482,0,18,100.0,2021-06-27 17:30:17.796739
Elementary Italian 1 | ITALIAN 101,Lecture Section 01,9368,4,15,73.33333333333333,2021-06-27 17:30:20.204835
Elementary Italian 1 | ITALIAN 101,Lecture Section 02,9369,0,15,100.0,2021-06-27 17:30:22.572935
Elementary Italian 1 | ITALIAN 101,Lecture Section 03,9370,8,15,46.666666666666664,2021-06-27 17:30:24.913412
Elementary Italian 1 | ITALIAN 101,Lecture Section 04,9371,0,15,100.0,2021-06-27 17:30:27.277432
Elementary Italian 1 | ITALIAN 101,Lecture Section 05,11487,0,15,100.0,2021-06-27 17:30:29.682723
Elementary Italian 2 | ITALIAN 102,Lecture Section 02,9373,3,15,80.0,2021-06-27 17:30:32.062881
Elementary Italian 2 | ITALIAN 102,Lecture Section 03,9374,0,15,100.0,2021-06-27 17:30:34.400030
Elementary Italian 2 | ITALIAN 102,Lecture Section 04,9375,0,15,100.0,2021-06-27 17:30:36.732741
Elementary Italian 2 | ITALIAN 102,Lecture Section 05,9376,0,15,100.0,2021-06-27 17:30:39.064810
Elementary Italian 2 | ITALIAN 102,Lecture Section 06,11361,4,15,73.33333333333333,2021-06-27 17:30:41.490434
What Is Europe? | ITALIAN 201,Lecture Section 01,9466,1,21,95.23809523809523,2021-06-27 17:30:43.851625
Intermediate Italian | ITALIAN 203,Lecture Section 02,9379,2,15,86.66666666666667,2021-06-27 17:30:46.193070
Intermediate Italian | ITALIAN 203,Lecture Section 03,9380,0,15,100.0,2021-06-27 17:30:48.564412
Intermediate Italian | ITALIAN 203,Lecture Section 04,9381,1,15,93.33333333333333,2021-06-27 17:30:51.000849
Intermediate Italian | ITALIAN 203,Lecture Section 05,9382,0,15,100.0,2021-06-27 17:30:53.393192
"Introduction to Italian Studies: Language, Literature, Film | ITALIAN 301S",SEM Section 01,9383,8,15,46.666666666666664,2021-06-27 17:30:55.827985
"Italian Conversations: Explore Italy and Italians through Media, Film, Literature | ITALIAN 302S",SEM Section 01,9490,1,15,93.33333333333333,2021-06-27 17:30:58.215970
Italian Sociolinguistics | ITALIAN 303S,SEM Section 01,9445,15,18,16.666666666666664,2021-06-27 17:31:00.580998
Italian Studies Seminar | ITALIAN 328S,SEM Section 01,9509,13,18,27.77777777777778,2021-06-27 17:31:02.969474
America from Abroad: Literature and Cinema | ITALIAN 337,Lecture Section 01,9498,0,30,100.0,2021-06-27 17:31:05.333720
America from Abroad: Literature and Cinema Preceptorial | ITALIAN 337P,PRC Section 01P,11810,7,10,30.0,2021-06-27 17:31:07.804519
Boccaccio's Decameron | ITALIAN 338S,SEM Section 01,9452,4,14,71.42857142857143,2021-06-27 17:31:10.264178
Boccaccio's Decameron - Preceptorial | ITALIAN 338SP,PRC Section 01P,9454,12,14,14.285714285714285,2021-06-27 17:31:12.613356
Art in Renaissance Italy | ITALIAN 386,Lecture Section 01,3500,2,18,88.88888888888889,2021-06-27 17:31:14.978654
Research Independent Study | ITALIAN 394,IND Section 01,2891,1,1,0.0,2021-06-27 17:31:17.292531
Research Independent Study | ITALIAN 394,IND Section 02,2892,1,1,0.0,2021-06-27 17:31:19.627375
Research Independent Study | ITALIAN 494,IND Section 01,2893,1,1,0.0,2021-06-27 17:31:21.986637
Research Independent Study | ITALIAN 494,IND Section 02,2894,1,1,0.0,2021-06-27 17:31:24.310396
Honors Thesis | ITALIAN 495,IND Section 01,2895,1,1,0.0,2021-06-27 17:31:26.653547
Honors Thesis | ITALIAN 495,IND Section 02,2896,1,1,0.0,2021-06-27 17:31:29.021106
First Year Seminar in Italian | ITALIAN 89S,SEM Section 01,9482,0,18,100.0,2021-06-27 18:27:16.931844
