Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Introduction to Cultural Anthropology | ICS 101,Lecture Section 01,5868,3,49,93.87755102040816,2021-06-27 17:26:54.990847
Introduction to Cultural Anthropology | ICS 101,Lecture Section 02,5869,13,25,48.0,2021-06-27 17:26:57.419915
Introduction to Cultural Anthropology | ICS 101,Lecture Section 03,11363,3,3,0.0,2021-06-27 17:26:59.944940
AIDS and Other Emerging Diseases | ICS 103,Lecture Section 01,9218,7,160,95.625,2021-06-27 17:27:02.355450
AIDS and Other Emerging Diseases | ICS 103,Lecture Section 02,9219,0,40,100.0,2021-06-27 17:27:04.845269
Introduction to Latino/a Studies in the Global South | ICS 106,Lecture Section 01,5086,7,12,41.66666666666667,2021-06-27 17:27:07.424485
Introduction to African Studies (DS3 or DS4) | ICS 110,Lecture Section 01,5535,12,50,76.0,2021-06-27 17:27:09.807993
Traditions in Documentary Studies | ICS 111,Lecture Section 01,3112,2,40,95.0,2021-06-27 17:27:12.168470
Introduction to Human Rights: Gateway for the Human Rights Certificate | ICS 113,Lecture Section 01,7731,3,25,88.0,2021-06-27 17:27:14.519017
Introduction to Human Rights: Gateway for the Human Rights Certificate | ICS 113,Lecture Section 02,7735,1,5,80.0,2021-06-27 17:27:16.895333
Gateway Seminar: Empires in Historical Perspective | ICS 157S,SEM Section 01,7085,2,18,88.88888888888889,2021-06-27 17:27:19.258083
Advertising and Society: Global Perspective (DS4) | ICS 169,Lecture Section 01,10850,0,32,100.0,2021-06-27 17:27:21.708377
Gateway Seminar: Civil Rights and Asian Americans | ICS 183S,SEM Section 01,7090,3,18,83.33333333333334,2021-06-27 17:27:24.088758
Selected Topics in International Comparative Studies | ICS 190S,SEM Section 01,10324,0,15,100.0,2021-06-27 17:27:26.468616
Comparative Approaches to Global Issues | ICS 195,Lecture Section 01,5392,7,44,84.0909090909091,2021-06-27 17:27:28.873393
Comparative Approaches to Global Issues | ICS 195,Lecture Section 02,5393,3,5,40.0,2021-06-27 17:27:31.299368
Gender and Culture | ICS 203,Lecture Section 01,10318,13,25,48.0,2021-06-27 17:27:33.775481
Gender and Culture | ICS 203,Lecture Section 02,10321,2,5,60.0,2021-06-27 17:27:36.191095
Pigging Out: The Cultural Politics of Food | ICS 206,Lecture Section 01,5551,2,15,86.66666666666667,2021-06-27 17:27:38.563281
Gender and Language | ICS 207,Lecture Section 01,4394,1,16,93.75,2021-06-27 17:27:40.955395
