Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Elementary Korean | KOREAN 102,Lecture Section 001,6622,0,18,100.0,2021-06-27 17:28:36.821764
Elementary Korean | KOREAN 102,Lecture Section 002,6623,11,18,38.88888888888889,2021-06-27 17:28:39.202047
Elementary Korean | KOREAN 102,Discussion Section 01D,6624,0,18,100.0,2021-06-27 17:28:41.588865
Elementary Korean | KOREAN 102,Discussion Section 02D,6625,11,18,38.88888888888889,2021-06-27 17:28:43.949491
Intermediate Korean | KOREAN 204,Lecture Section 001,6626,1,18,94.44444444444444,2021-06-27 17:28:46.317442
Intermediate Korean | KOREAN 204,Discussion Section 01D,6627,1,16,93.75,2021-06-27 17:28:48.670466
Intermediate Korean | KOREAN 204,Discussion Section 02D,11249,0,2,100.0,2021-06-27 17:28:51.050262
Advanced Korean | KOREAN 306S,SEM Section 01,6628,8,18,55.55555555555556,2021-06-27 17:28:53.401764
Independent Study | KOREAN 391,IND Section 01,10278,4,4,0.0,2021-06-27 17:28:55.785962
Independent Study | KOREAN 391,IND Section 02,10279,4,4,0.0,2021-06-27 17:28:58.175087
Issues in Korean Language and Society I | KOREAN 407S,SEM Section 01,6629,10,18,44.44444444444444,2021-06-27 17:29:00.495076
Elementary Korean | KOREAN 102,Lecture Section 001,6622,0,18,100.0,2021-06-27 18:25:16.564895
Elementary Korean | KOREAN 102,Lecture Section 002,6623,11,18,38.88888888888889,2021-06-27 18:25:18.939251
Elementary Korean | KOREAN 102,Discussion Section 01D,6624,0,18,100.0,2021-06-27 18:25:21.372424
Elementary Korean | KOREAN 102,Discussion Section 02D,6625,11,18,38.88888888888889,2021-06-27 18:25:23.772714
Intermediate Korean | KOREAN 204,Lecture Section 001,6626,1,18,94.44444444444444,2021-06-27 18:25:26.156615
Intermediate Korean | KOREAN 204,Discussion Section 01D,6627,1,16,93.75,2021-06-27 18:25:28.540377
Intermediate Korean | KOREAN 204,Discussion Section 02D,11249,0,2,100.0,2021-06-27 18:25:30.934312
Advanced Korean | KOREAN 306S,SEM Section 01,6628,8,18,55.55555555555556,2021-06-27 18:25:33.277339
Independent Study | KOREAN 391,IND Section 01,10278,4,4,0.0,2021-06-27 18:25:35.657277
Independent Study | KOREAN 391,IND Section 02,10279,4,4,0.0,2021-06-27 18:25:38.127213
Issues in Korean Language and Society I | KOREAN 407S,SEM Section 01,6629,10,18,44.44444444444444,2021-06-27 18:25:40.542316
