Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Advertising and Society: Global Perspective (DS4) | LINGUIST 170,Lecture Section 01,10848,0,32,100.0,2021-06-27 17:28:20.792876
Introduction to Linguistics | LINGUIST 201,Lecture Section 01,4378,3,15,80.0,2021-06-27 17:28:23.153985
Introduction to Linguistics | LINGUIST 201,Lecture Section 02,4379,1,15,93.33333333333333,2021-06-27 17:28:25.502880
Introduction to Linguistics | LINGUIST 201,Lecture Section 03,10287,5,22,77.27272727272727,2021-06-27 17:28:27.888597
Languages of the World | LINGUIST 202,Lecture Section 01,4380,0,15,100.0,2021-06-27 17:28:30.236372
Languages of the World | LINGUIST 202,Lecture Section 02,10290,1,15,93.33333333333333,2021-06-27 17:28:32.614318
The Law and Language | LINGUIST 205,Lecture Section 01,4381,0,16,100.0,2021-06-27 17:28:35.009988
The Law and Language | LINGUIST 205,Lecture Section 02,10884,0,10,100.0,2021-06-27 17:28:37.403470
Variety in Language: English in the United States | LINGUIST 206,Lecture Section 01,4382,1,16,93.75,2021-06-27 17:28:39.761560
Variety in Language: English in the United States | LINGUIST 206,Lecture Section 02,10886,0,3,100.0,2021-06-27 17:28:42.167377
Psychology of Language | LINGUIST 207,Lecture Section 01,4545,2,20,90.0,2021-06-27 17:28:44.512430
Philosophy of Mind | LINGUIST 208,Lecture Section 01,6961,1,16,93.75,2021-06-27 17:28:46.902909
Advanced Spanish Grammar | LINGUIST 301,Lecture Section 01,9429,3,15,80.0,2021-06-27 17:28:49.288375
Italian Sociolinguistics | LINGUIST 305S,SEM Section 01,9446,15,18,16.666666666666664,2021-06-27 17:28:51.793852
Translating Spanish-English and English-Spanish | LINGUIST 310,Lecture Section 01,9478,0,15,100.0,2021-06-27 17:28:54.136551
Acquisition of Japanese as a Second Language | LINGUIST 315S,SEM Section 01,6654,4,12,66.66666666666666,2021-06-27 17:28:56.474475
"Sociolinguistic Landscapes: German Language, Society, and Identity | LINGUIST 358S",SEM Section 01,4023,9,18,50.0,2021-06-27 17:28:58.814468
Gender and Language | LINGUIST 364,Lecture Section 01,4383,1,16,93.75,2021-06-27 17:29:01.184597
Narratives of Migration | LINGUIST 397S,SEM Section 01,5687,1,12,91.66666666666666,2021-06-27 17:29:03.554385
Identity and Linguistic Rights in the Spanish Speaking Americas | LINGUIST 409S,SEM Section 01,9488,7,12,41.66666666666667,2021-06-27 17:29:05.979985
Language and Politics: Global Perspectives | LINGUIST 471S,SEM Section 01,4384,0,11,100.0,2021-06-27 17:29:08.353150
Language and Politics: Global Perspectives | LINGUIST 471S,SEM Section 02,10293,1,11,90.9090909090909,2021-06-27 17:29:10.777868
Research Independent Study | LINGUIST 494,IND Section 01,11790,0,1,100.0,2021-06-27 17:29:13.198868
Research Independent Study | LINGUIST 494,IND Section 02,11791,1,1,0.0,2021-06-27 17:29:15.606433
Research Independent Study | LINGUIST 494,IND Section 03,11792,1,1,0.0,2021-06-27 17:29:18.035349
Advertising and Society: Global Perspective (DS4) | LINGUIST 170,Lecture Section 01,10848,0,32,100.0,2021-06-27 18:25:05.287082
Introduction to Linguistics | LINGUIST 201,Lecture Section 01,4378,3,15,80.0,2021-06-27 18:25:07.617507
Introduction to Linguistics | LINGUIST 201,Lecture Section 02,4379,1,15,93.33333333333333,2021-06-27 18:25:09.968074
Introduction to Linguistics | LINGUIST 201,Lecture Section 03,10287,5,22,77.27272727272727,2021-06-27 18:25:12.352073
Languages of the World | LINGUIST 202,Lecture Section 01,4380,0,15,100.0,2021-06-27 18:25:14.785569
Languages of the World | LINGUIST 202,Lecture Section 02,10290,1,15,93.33333333333333,2021-06-27 18:25:17.188478
The Law and Language | LINGUIST 205,Lecture Section 01,4381,0,16,100.0,2021-06-27 18:25:19.498609
The Law and Language | LINGUIST 205,Lecture Section 02,10884,0,10,100.0,2021-06-27 18:25:21.876833
Variety in Language: English in the United States | LINGUIST 206,Lecture Section 01,4382,1,16,93.75,2021-06-27 18:25:24.197954
Variety in Language: English in the United States | LINGUIST 206,Lecture Section 02,10886,0,3,100.0,2021-06-27 18:25:26.616000
Psychology of Language | LINGUIST 207,Lecture Section 01,4545,2,20,90.0,2021-06-27 18:25:28.980270
Philosophy of Mind | LINGUIST 208,Lecture Section 01,6961,1,16,93.75,2021-06-27 18:25:31.314785
Advanced Spanish Grammar | LINGUIST 301,Lecture Section 01,9429,3,15,80.0,2021-06-27 18:25:33.658220
Italian Sociolinguistics | LINGUIST 305S,SEM Section 01,9446,15,18,16.666666666666664,2021-06-27 18:25:35.988634
Translating Spanish-English and English-Spanish | LINGUIST 310,Lecture Section 01,9478,0,15,100.0,2021-06-27 18:25:38.425990
Acquisition of Japanese as a Second Language | LINGUIST 315S,SEM Section 01,6654,4,12,66.66666666666666,2021-06-27 18:25:40.809922
"Sociolinguistic Landscapes: German Language, Society, and Identity | LINGUIST 358S",SEM Section 01,4023,9,18,50.0,2021-06-27 18:25:43.198700
Gender and Language | LINGUIST 364,Lecture Section 01,4383,1,16,93.75,2021-06-27 18:25:45.545068
Narratives of Migration | LINGUIST 397S,SEM Section 01,5687,1,12,91.66666666666666,2021-06-27 18:25:47.873541
Identity and Linguistic Rights in the Spanish Speaking Americas | LINGUIST 409S,SEM Section 01,9488,7,12,41.66666666666667,2021-06-27 18:25:50.280671
Language and Politics: Global Perspectives | LINGUIST 471S,SEM Section 01,4384,0,11,100.0,2021-06-27 18:25:52.603815
Language and Politics: Global Perspectives | LINGUIST 471S,SEM Section 02,10293,1,11,90.9090909090909,2021-06-27 18:25:54.968354
Research Independent Study | LINGUIST 494,IND Section 01,11790,0,1,100.0,2021-06-27 18:25:57.359600
Research Independent Study | LINGUIST 494,IND Section 02,11791,1,1,0.0,2021-06-27 18:25:59.763171
Research Independent Study | LINGUIST 494,IND Section 03,11792,1,1,0.0,2021-06-27 18:26:02.132434
