Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Early Modern Europe | MEDREN 125,Lecture Section 01,7080,30,35,14.285714285714285,2021-06-27 17:39:57.725637
Gateway Seminar: Disease in the Premodern World | MEDREN 145S,SEM Section 01,10041,0,15,100.0,2021-06-27 17:40:00.268781
Special Topics in Medieval Renaissance Studies | MEDREN 190S,SEM Section 03,10030,16,18,11.11111111111111,2021-06-27 17:40:02.755882
Music History II: 1600 through Mozart | MEDREN 202S,SEM Section 01,10539,8,18,55.55555555555556,2021-06-27 17:40:05.194799
Gothic Cathedrals | MEDREN 215,Lecture Section 001,3497,2,20,90.0,2021-06-27 17:40:07.562953
Gothic Cathedrals | MEDREN 215,Laboratory Section 01L,3498,2,20,90.0,2021-06-27 17:40:09.931584
Art in Renaissance Italy | MEDREN 225,Lecture Section 01,3499,2,18,88.88888888888889,2021-06-27 17:40:12.356632
Pilgrimage and Tourism | MEDREN 236,Lecture Section 01,10893,6,20,70.0,2021-06-27 17:40:14.783287
Islamic Civilization I | MEDREN 268,Lecture Section 01,7271,34,45,24.444444444444443,2021-06-27 17:40:17.240407
Tudor/Stuart Britain | MEDREN 275,Lecture Section 01,7112,9,18,50.0,2021-06-27 17:40:19.588621
Muhammad: The Prophet of Islam | MEDREN 323S,SEM Section 01,11214,8,18,55.55555555555556,2021-06-27 17:40:21.969285
Shakespeare | MEDREN 330,Lecture Section 01,5676,28,45,37.77777777777778,2021-06-27 17:40:24.321324
Shakespeare's Nature | MEDREN 336S,SEM Section 01,5678,0,12,100.0,2021-06-27 17:40:26.663195
Boccaccio's Decameron | MEDREN 338S,SEM Section 01,9453,4,14,71.42857142857143,2021-06-27 17:40:29.005153
Medieval Christianity in Film and Fiction | MEDREN 354,Lecture Section 01,7256,35,45,22.22222222222222,2021-06-27 17:40:31.342353
"Muslim Philosophy and Theology, an introduction | MEDREN 374S",SEM Section 01,11208,14,18,22.22222222222222,2021-06-27 17:40:33.809142
Seminar in Medieval and Renaissance Studies | MEDREN 390S,SEM Section 01,9385,0,12,100.0,2021-06-27 17:40:36.226555
Independent Study: Thesis | MEDREN 491,IND Section 01,11946,0,1,100.0,2021-06-27 17:40:38.744104
Early Modern Europe | MEDREN 125,Lecture Section 01,7080,30,35,14.285714285714285,2021-06-27 18:35:44.849960
Gateway Seminar: Disease in the Premodern World | MEDREN 145S,SEM Section 01,10041,0,15,100.0,2021-06-27 18:35:47.264282
Special Topics in Medieval Renaissance Studies | MEDREN 190S,SEM Section 03,10030,16,18,11.11111111111111,2021-06-27 18:35:49.656033
Music History II: 1600 through Mozart | MEDREN 202S,SEM Section 01,10539,8,18,55.55555555555556,2021-06-27 18:35:52.033291
Gothic Cathedrals | MEDREN 215,Lecture Section 001,3497,2,20,90.0,2021-06-27 18:35:54.352185
Gothic Cathedrals | MEDREN 215,Laboratory Section 01L,3498,2,20,90.0,2021-06-27 18:35:56.688224
Art in Renaissance Italy | MEDREN 225,Lecture Section 01,3499,2,18,88.88888888888889,2021-06-27 18:35:59.036955
Pilgrimage and Tourism | MEDREN 236,Lecture Section 01,10893,6,20,70.0,2021-06-27 18:36:01.448355
Islamic Civilization I | MEDREN 268,Lecture Section 01,7271,34,45,24.444444444444443,2021-06-27 18:36:03.809232
Tudor/Stuart Britain | MEDREN 275,Lecture Section 01,7112,9,18,50.0,2021-06-27 18:36:06.188617
Muhammad: The Prophet of Islam | MEDREN 323S,SEM Section 01,11214,8,18,55.55555555555556,2021-06-27 18:36:08.626332
Shakespeare | MEDREN 330,Lecture Section 01,5676,28,45,37.77777777777778,2021-06-27 18:36:10.938452
Shakespeare's Nature | MEDREN 336S,SEM Section 01,5678,0,12,100.0,2021-06-27 18:36:13.293431
Boccaccio's Decameron | MEDREN 338S,SEM Section 01,9453,4,14,71.42857142857143,2021-06-27 18:36:15.786876
Medieval Christianity in Film and Fiction | MEDREN 354,Lecture Section 01,7256,35,45,22.22222222222222,2021-06-27 18:36:18.184699
"Muslim Philosophy and Theology, an introduction | MEDREN 374S",SEM Section 01,11208,14,18,22.22222222222222,2021-06-27 18:36:20.762974
Seminar in Medieval and Renaissance Studies | MEDREN 390S,SEM Section 01,9385,0,12,100.0,2021-06-27 18:36:23.217439
Independent Study: Thesis | MEDREN 491,IND Section 01,11946,0,1,100.0,2021-06-27 18:36:25.635133
