Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Research Independent Study I | MGM 293,IND Section 01,2968,5,5,0.0,2021-06-27 17:40:55.774397
Research Independent Study I | MGM 293,IND Section 02,2969,3,3,0.0,2021-06-27 17:40:58.207664
Research Independent Study I | MGM 293,IND Section 03,2970,3,3,0.0,2021-06-27 17:41:00.620089
Research Independent Study I | MGM 293,IND Section 04,2971,2,3,33.33333333333333,2021-06-27 17:41:03.025353
Research Independent Study I | MGM 293,IND Section 05,2972,3,3,0.0,2021-06-27 17:41:05.404197
Research Independent Study I | MGM 293,IND Section 06,2973,3,3,0.0,2021-06-27 17:41:07.753310
Research Independent Study I | MGM 293,IND Section 07,2974,3,3,0.0,2021-06-27 17:41:10.148603
Research Independent Study I | MGM 293,IND Section 08,2975,3,3,0.0,2021-06-27 17:41:12.528635
Research Independent Study I | MGM 293,IND Section 09,2976,3,3,0.0,2021-06-27 17:41:14.879411
Research Independent Study I | MGM 293,IND Section 10,2977,3,3,0.0,2021-06-27 17:41:17.242570
Research Independent Study I | MGM 293,IND Section 11,2978,3,3,0.0,2021-06-27 17:41:19.592140
Research Independent Study I | MGM 293,IND Section 12,2979,3,3,0.0,2021-06-27 17:41:21.943102
Research Independent Study I | MGM 293,IND Section 13,2980,3,3,0.0,2021-06-27 17:41:24.352002
Research Independent Study I | MGM 293,IND Section 14,2981,3,3,0.0,2021-06-27 17:41:26.702794
Research Independent Study I | MGM 293,IND Section 15,2982,3,3,0.0,2021-06-27 17:41:29.057253
Research Independent Study I | MGM 293,IND Section 16,2983,3,3,0.0,2021-06-27 17:41:31.407797
Research Independent Study I | MGM 293,IND Section 17,2984,3,3,0.0,2021-06-27 17:41:33.745093
Research Independent Study I | MGM 293,IND Section 18,2985,3,3,0.0,2021-06-27 17:41:36.084122
Research Independent Study I | MGM 293,IND Section 19,2986,3,3,0.0,2021-06-27 17:41:38.475126
Research Independent Study I | MGM 293,IND Section 20,2987,3,3,0.0,2021-06-27 17:41:40.799782
Research Independent Study I | MGM 293,IND Section 21,2988,3,3,0.0,2021-06-27 17:41:43.106253
Research Independent Study I | MGM 293,IND Section 22,2989,2,2,0.0,2021-06-27 17:41:45.438781
Research Independent Study I | MGM 293,IND Section 23,2990,2,2,0.0,2021-06-27 17:41:47.772728
Research Independent Study I | MGM 293,IND Section 24,2991,2,2,0.0,2021-06-27 17:41:50.211156
Research Independent Study I | MGM 293,IND Section 25,2992,2,2,0.0,2021-06-27 17:41:52.527941
Research Independent Study I | MGM 293,IND Section 26,2993,2,2,0.0,2021-06-27 17:41:54.844408
Research Independent Study I | MGM 293,IND Section 27,2994,2,2,0.0,2021-06-27 17:41:57.175831
Research Independent Study I | MGM 293,IND Section 28,2995,2,2,0.0,2021-06-27 17:41:59.526003
Research Independent Study I | MGM 293,IND Section 29,2996,1,2,50.0,2021-06-27 17:42:01.924173
