Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Organizational Leadership & Management | MMS 197,Lecture Section 01,7277,0,32,100.0,2021-06-27 17:30:32.944436
Marketing Management | MMS 220,Lecture Section 01,7278,3,15,80.0,2021-06-27 17:30:35.315207
Game Changers: From Panda Diplomacy to Zipcar | MMS 230,Lecture Section 01,7279,4,15,73.33333333333333,2021-06-27 17:30:37.664427
Voices in Marketing: Advertising in Spanish | MMS 273T-1,TUT Section 01,10351,3,8,62.5,2021-06-27 17:30:40.037136
Voices in Marketing: Advertising in French | MMS 273T-2,TUT Section 01,10350,3,8,62.5,2021-06-27 17:30:42.403916
Business of Sport: A Comprehensive Look at a Powerhouse Global Industry | MMS 275,Lecture Section 01,7280,0,27,100.0,2021-06-27 17:30:44.744868
Managerial Finance | MMS 370,Lecture Section 01,7281,8,40,80.0,2021-06-27 17:30:47.115708
New Ventures: Development | MMS 395,Lecture Section 01,5443,3,10,70.0,2021-06-27 17:30:49.449883
Markets and Management Capstone | MMS 450,Lecture Section 01,7282,0,18,100.0,2021-06-27 17:30:51.780879
Markets and Management Capstone | MMS 450,Lecture Section 02,7283,0,18,100.0,2021-06-27 17:30:54.138385
Markets and Management Capstone | MMS 450,Lecture Section 03,7284,1,18,94.44444444444444,2021-06-27 17:30:56.499876
Organizational Leadership & Management | MMS 197,Lecture Section 01,7277,0,32,100.0,2021-06-27 18:26:45.730248
Marketing Management | MMS 220,Lecture Section 01,7278,3,15,80.0,2021-06-27 18:26:48.170637
Game Changers: From Panda Diplomacy to Zipcar | MMS 230,Lecture Section 01,7279,4,15,73.33333333333333,2021-06-27 18:26:50.601632
Voices in Marketing: Advertising in Spanish | MMS 273T-1,TUT Section 01,10351,3,8,62.5,2021-06-27 18:26:53.048299
Voices in Marketing: Advertising in French | MMS 273T-2,TUT Section 01,10350,3,8,62.5,2021-06-27 18:26:55.521161
Business of Sport: A Comprehensive Look at a Powerhouse Global Industry | MMS 275,Lecture Section 01,7280,0,27,100.0,2021-06-27 18:26:57.963706
Managerial Finance | MMS 370,Lecture Section 01,7281,8,40,80.0,2021-06-27 18:27:00.337046
New Ventures: Development | MMS 395,Lecture Section 01,5443,3,10,70.0,2021-06-27 18:27:02.734680
Markets and Management Capstone | MMS 450,Lecture Section 01,7282,0,18,100.0,2021-06-27 18:27:05.084783
Markets and Management Capstone | MMS 450,Lecture Section 02,7283,0,18,100.0,2021-06-27 18:27:07.504173
Markets and Management Capstone | MMS 450,Lecture Section 03,7284,1,18,94.44444444444444,2021-06-27 18:27:09.959781
