Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First-Year Seminar | MUSIC 89S,SEM Section 04,4284,7,14,50.0,2021-06-27 17:31:46.776234
Class Piano | MUSIC 101-1,MUS Section 01,4067,0,5,100.0,2021-06-27 17:31:49.169180
Class Piano | MUSIC 101-1,MUS Section 02,4068,0,5,100.0,2021-06-27 17:31:51.555151
Class Piano | MUSIC 101-1,MUS Section 03,4069,0,5,100.0,2021-06-27 17:31:53.956871
Class Piano | MUSIC 101-1,MUS Section 04,4070,0,5,100.0,2021-06-27 17:31:56.321229
Class Piano | MUSIC 101-1,MUS Section 05,4071,1,5,80.0,2021-06-27 17:31:58.696712
Class Voice | MUSIC 101-2,MUS Section 01,4072,0,3,100.0,2021-06-27 17:32:01.079305
Class Voice | MUSIC 101-2,MUS Section 02,4073,0,3,100.0,2021-06-27 17:32:03.452454
Class Voice | MUSIC 101-2,MUS Section 03,4074,0,3,100.0,2021-06-27 17:32:05.797367
Class Voice | MUSIC 101-2,MUS Section 04,4075,0,3,100.0,2021-06-27 17:32:08.185674
Introductory Guitar Class | MUSIC 101-3,MUS Section 01,4076,2,8,75.0,2021-06-27 17:32:10.564099
Introductory Guitar Class | MUSIC 101-3,MUS Section 02,4077,2,8,75.0,2021-06-27 17:32:12.957524
Introductory Guitar Class | MUSIC 101-3,MUS Section 03,4078,2,8,75.0,2021-06-27 17:32:15.343749
Djembe Class | MUSIC 101-4,MUS Section 01,4079,12,12,0.0,2021-06-27 17:32:17.767755
Class Improvisation | MUSIC 101-5,MUS Section 01,11438,5,10,50.0,2021-06-27 17:32:20.275584
Classical Piano | MUSIC 103-1,MUS Section 01,4081,10,10,0.0,2021-06-27 17:32:22.661441
Classical Piano | MUSIC 103-1,MUS Section 02,4082,8,10,20.0,2021-06-27 17:32:25.069291
Classical Piano | MUSIC 103-1,MUS Section 03,4083,10,10,0.0,2021-06-27 17:32:27.597292
Classical Piano | MUSIC 103-1,MUS Section 04,4084,10,10,0.0,2021-06-27 17:32:30.108561
Classical Piano | MUSIC 103-1,MUS Section 05,4085,8,10,20.0,2021-06-27 17:32:32.589500
Classical Piano | MUSIC 103-1,MUS Section 06,4086,5,5,0.0,2021-06-27 17:32:35.027294
Jazz Piano | MUSIC 103-2,MUS Section 01,4087,5,10,50.0,2021-06-27 17:32:37.540299
Organ | MUSIC 103-3,MUS Section 01,4088,9,10,10.0,2021-06-27 17:32:40.145336
Harpsichord | MUSIC 103-4,MUS Section 01,4089,10,10,0.0,2021-06-27 17:32:42.645502
Violin | MUSIC 104-1,MUS Section 01,4090,10,10,0.0,2021-06-27 17:32:45.101708
Violin | MUSIC 104-1,MUS Section 02,4091,10,10,0.0,2021-06-27 17:32:47.567432
Violin | MUSIC 104-1,MUS Section 03,4092,9,10,10.0,2021-06-27 17:32:50.023591
Violin | MUSIC 104-1,MUS Section 04,4093,10,10,0.0,2021-06-27 17:32:52.471009
Violin | MUSIC 104-1,MUS Section 05,4094,10,10,0.0,2021-06-27 17:32:54.845294
Violin | MUSIC 104-1,MUS Section 06,10023,9,10,10.0,2021-06-27 17:32:57.258739
Viola | MUSIC 104-2,MUS Section 01,4095,10,10,0.0,2021-06-27 17:32:59.729521
Viola | MUSIC 104-2,MUS Section 02,4096,10,10,0.0,2021-06-27 17:33:02.123602
Cello | MUSIC 104-3,MUS Section 01,4097,8,10,20.0,2021-06-27 17:33:04.506670
Double Bass | MUSIC 104-4,MUS Section 01,4098,10,10,0.0,2021-06-27 17:33:06.860621
Classical Guitar | MUSIC 104-5,MUS Section 01,4099,8,10,20.0,2021-06-27 17:33:09.193021
Jazz Guitar | MUSIC 104-6,MUS Section 01,4100,10,10,0.0,2021-06-27 17:33:11.551601
Harp | MUSIC 104-7,MUS Section 01,4101,10,10,0.0,2021-06-27 17:33:13.879106
Flute | MUSIC 105-1,MUS Section 01,4102,4,10,60.0,2021-06-27 17:33:16.223011
Flute | MUSIC 105-1,MUS Section 02,10620,10,10,0.0,2021-06-27 17:33:18.565186
Oboe | MUSIC 105-2,MUS Section 01,4103,10,10,0.0,2021-06-27 17:33:20.900345
Clarinet | MUSIC 105-3,MUS Section 01,4104,10,10,0.0,2021-06-27 17:33:23.216636
Bassoon | MUSIC 105-4,MUS Section 01,4105,10,10,0.0,2021-06-27 17:33:25.570022
Saxophone | MUSIC 105-5,MUS Section 01,4106,9,10,10.0,2021-06-27 17:33:27.912500
Jazz Saxophone | MUSIC 105-6,MUS Section 01,4107,10,10,0.0,2021-06-27 17:33:30.254279
Trumpet | MUSIC 106-1,MUS Section 01,4108,10,10,0.0,2021-06-27 17:33:32.623768
French Horn | MUSIC 106-2,MUS Section 01,4109,9,10,10.0,2021-06-27 17:33:34.978126
Trombone | MUSIC 106-3,MUS Section 01,4110,10,10,0.0,2021-06-27 17:33:37.349687
Tuba | MUSIC 106-4,MUS Section 01,4111,10,10,0.0,2021-06-27 17:33:39.746289
Percussion | MUSIC 107-1,MUS Section 01,4112,12,12,0.0,2021-06-27 17:33:42.093224
Introduction to Jazz | MUSIC 140,Lecture Section 01,4113,1,16,93.75,2021-06-27 17:33:44.449421
Meet the Beatles and the 1960s | MUSIC 144,Lecture Section 01,4114,1,49,97.95918367346938,2021-06-27 17:33:46.784999
Motown and American Soul Music | MUSIC 146,Lecture Section 01,4115,2,16,87.5,2021-06-27 17:33:49.138605
Introduction to Music Theory | MUSIC 161,Lecture Section 01,4116,4,16,75.0,2021-06-27 17:33:51.594508
Introduction to Music Theory Through Music Software and Digital Audio Workspaces | MUSIC 161-2,Lecture Section 01,10414,4,16,75.0,2021-06-27 17:33:53.995110
Let's Dance! Live Art and Performance | MUSIC 165,Lecture Section 01,5727,6,9,33.33333333333333,2021-06-27 17:33:56.306743
Let's Dance! Live Art and Performance | MUSIC 165,Lecture Section 02,5729,9,9,0.0,2021-06-27 17:33:58.611811
The Songwriter's Vocabulary | MUSIC 176,Lecture Section 01,10024,8,16,50.0,2021-06-27 17:34:00.959226
Special Topics in Music | MUSIC 190S,SEM Section 01,4118,1,16,93.75,2021-06-27 17:34:03.273158
