Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Structure and Properties of Solids | ME 221L,Lecture Section 001,7536,10,45,77.77777777777779,2021-06-27 17:35:38.582395
Structure and Properties of Solids | ME 221L,Laboratory Section 01L,7537,0,10,100.0,2021-06-27 17:35:40.977856
Structure and Properties of Solids | ME 221L,Laboratory Section 02L,7538,7,10,30.0,2021-06-27 17:35:43.427474
Structure and Properties of Solids | ME 221L,Laboratory Section 03L,7539,2,10,80.0,2021-06-27 17:35:45.931420
Structure and Properties of Solids | ME 221L,Laboratory Section 04L,10387,1,5,80.0,2021-06-27 17:35:48.382364
Structure and Properties of Solids | ME 221L,Laboratory Section 05L,10388,1,5,80.0,2021-06-27 17:35:50.841493
Structure and Properties of Solids | ME 221L,Laboratory Section 06L,10389,0,5,100.0,2021-06-27 17:35:53.251897
Mechanical Engineering Analysis for Design | ME 321L,Lecture Section 001,7540,32,70,54.285714285714285,2021-06-27 17:35:55.703762
Mechanical Engineering Analysis for Design | ME 321L,REC Section 01R,7541,1,35,97.14285714285714,2021-06-27 17:35:58.167345
Mechanical Engineering Analysis for Design | ME 321L,REC Section 02R,7542,31,35,11.428571428571429,2021-06-27 17:36:00.582046
Thermodynamics | ME 331L,Lecture Section 001,7543,18,50,64.0,2021-06-27 17:36:03.108198
Thermodynamics | ME 331L,Laboratory Section 01L,7544,20,50,60.0,2021-06-27 17:36:05.569024
Thermodynamics | ME 331L,Laboratory Section 02L,11324,0,1,100.0,2021-06-27 17:36:08.023198
Fluid Mechanics | ME 336L,Lecture Section 001,7545,0,50,100.0,2021-06-27 17:36:10.447765
Fluid Mechanics | ME 336L,Laboratory Section 01L,7546,0,50,100.0,2021-06-27 17:36:12.857654
Control of Dynamic Systems | ME 344L,Lecture Section 001,7547,30,60,50.0,2021-06-27 17:36:15.260549
Control of Dynamic Systems | ME 344L,Laboratory Section 01L,7548,10,15,33.33333333333333,2021-06-27 17:36:17.607064
Control of Dynamic Systems | ME 344L,Laboratory Section 02L,7549,6,15,60.0,2021-06-27 17:36:19.968579
