Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Seapower and Maritime Affairs | NAVALSCI 111,Lecture Section 01,7873,2,10,80.0,2021-06-27 17:40:08.939907
First Year Naval Leadership Laboratory | NAVALSCI 189L,Laboratory Section 01L,7874,6,10,40.0,2021-06-27 17:40:11.291184
Naval Leadership and Management | NAVALSCI 223,Lecture Section 01,7875,4,10,60.0,2021-06-27 17:40:13.647500
Concepts and Analyses of Naval Tactical Systems | NAVALSCI 231,Lecture Section 01,7876,4,7,42.857142857142854,2021-06-27 17:40:16.004602
Second Year Leadership Laboratory | NAVALSCI 289L,Laboratory Section 01L,7877,6,10,40.0,2021-06-27 17:40:18.371911
Third Year Naval Leadership Laboratory | NAVALSCI 389L,Laboratory Section 01L,7878,8,10,20.0,2021-06-27 17:40:20.738163
Naval Operations | NAVALSCI 453,SEM Section 01,7879,4,10,60.0,2021-06-27 17:40:23.076449
Naval Operations | NAVALSCI 453,SEM Section 02,11837,1,2,50.0,2021-06-27 17:40:25.478799
Fourth Year Naval Leadership Laboratory | NAVALSCI 489L,Laboratory Section 01L,7880,4,10,60.0,2021-06-27 17:40:27.868781
Seapower and Maritime Affairs | NAVALSCI 111,Lecture Section 01,7873,2,10,80.0,2021-06-27 18:36:31.082358
First Year Naval Leadership Laboratory | NAVALSCI 189L,Laboratory Section 01L,7874,6,10,40.0,2021-06-27 18:36:33.516908
Naval Leadership and Management | NAVALSCI 223,Lecture Section 01,7875,4,10,60.0,2021-06-27 18:36:35.908950
Concepts and Analyses of Naval Tactical Systems | NAVALSCI 231,Lecture Section 01,7876,4,7,42.857142857142854,2021-06-27 18:36:38.305031
Second Year Leadership Laboratory | NAVALSCI 289L,Laboratory Section 01L,7877,6,10,40.0,2021-06-27 18:36:40.694114
Third Year Naval Leadership Laboratory | NAVALSCI 389L,Laboratory Section 01L,7878,8,10,20.0,2021-06-27 18:36:43.104961
Naval Operations | NAVALSCI 453,SEM Section 01,7879,4,10,60.0,2021-06-27 18:36:45.600459
Naval Operations | NAVALSCI 453,SEM Section 02,11837,1,2,50.0,2021-06-27 18:36:48.068969
Fourth Year Naval Leadership Laboratory | NAVALSCI 489L,Laboratory Section 01L,7880,4,10,60.0,2021-06-27 18:36:50.472884
