Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Biological Bases of Behavior: Introduction and Survey | NEUROSCI 101,Lecture Section 001,4539,19,125,84.8,2021-06-27 17:32:54.893941
Biological Bases of Behavior: Introduction and Survey | NEUROSCI 101,Discussion Section 01D,4540,8,25,68.0,2021-06-27 17:32:57.326113
Biological Bases of Behavior: Introduction and Survey | NEUROSCI 101,Discussion Section 02D,4541,2,25,92.0,2021-06-27 17:32:59.862176
Biological Bases of Behavior: Introduction and Survey | NEUROSCI 101,Discussion Section 03D,4542,8,25,68.0,2021-06-27 17:33:02.301123
Biological Bases of Behavior: Introduction and Survey | NEUROSCI 101,Discussion Section 04D,4543,0,25,100.0,2021-06-27 17:33:04.742078
Biological Bases of Behavior: Introduction and Survey | NEUROSCI 101,Discussion Section 05D,4544,1,25,96.0,2021-06-27 17:33:07.126487
Research Practicum | NEUROSCI 150,IND Section 01,3787,0,1,100.0,2021-06-27 17:33:09.599715
Research Practicum | NEUROSCI 150,IND Section 02,3788,0,1,100.0,2021-06-27 17:33:12.029597
Research Practicum | NEUROSCI 150,IND Section 03,3789,0,1,100.0,2021-06-27 17:33:14.497138
Research Practicum | NEUROSCI 150,IND Section 04,3790,0,1,100.0,2021-06-27 17:33:16.880506
Research Practicum | NEUROSCI 150,IND Section 05,3791,1,1,0.0,2021-06-27 17:33:19.257653
Research Practicum | NEUROSCI 150,IND Section 06,3792,0,1,100.0,2021-06-27 17:33:21.650886
Research Practicum | NEUROSCI 150,IND Section 07,3793,0,1,100.0,2021-06-27 17:33:24.068626
Research Practicum | NEUROSCI 150,IND Section 08,3794,0,1,100.0,2021-06-27 17:33:26.499662
Research Practicum | NEUROSCI 150,IND Section 09,3795,1,1,0.0,2021-06-27 17:33:28.950912
Research Practicum | NEUROSCI 150,IND Section 10,3796,1,1,0.0,2021-06-27 17:33:31.349974
Research Practicum | NEUROSCI 150,IND Section 11,3797,1,1,0.0,2021-06-27 17:33:33.816144
Research Practicum | NEUROSCI 150,IND Section 12,3798,1,1,0.0,2021-06-27 17:33:36.230071
Research Practicum | NEUROSCI 150,IND Section 13,3799,1,1,0.0,2021-06-27 17:33:38.586148
Research Practicum | NEUROSCI 150,IND Section 14,3800,1,1,0.0,2021-06-27 17:33:40.943002
Research Practicum | NEUROSCI 150,IND Section 15,3801,1,1,0.0,2021-06-27 17:33:43.300562
Introduction to Cognitive Neuroscience | NEUROSCI 212D,Lecture Section 001,4546,-1,45,102.22222222222221,2021-06-27 17:33:45.675754
Introduction to Cognitive Neuroscience | NEUROSCI 212D,Lecture Section 002,4547,1,4,75.0,2021-06-27 17:33:48.047611
Introduction to Cognitive Neuroscience | NEUROSCI 212D,Discussion Section 01D,4548,-1,23,104.34782608695652,2021-06-27 17:33:50.399477
