Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Research Independent Study | PATHOL 293,IND Section 01,7885,10,10,0.0,2021-06-27 17:41:17.439836
Research Independent Study | PATHOL 293,IND Section 02,7886,10,10,0.0,2021-06-27 17:41:19.880772
Research Independent Study | PATHOL 293,IND Section 03,7887,10,10,0.0,2021-06-27 17:41:22.263615
Research Independent Study | PATHOL 293,IND Section 04,7888,10,10,0.0,2021-06-27 17:41:24.642719
Research Independent Study | PATHOL 293,IND Section 05,7889,10,10,0.0,2021-06-27 17:41:27.157200
Research Independent Study | PATHOL 293,IND Section 06,7890,10,10,0.0,2021-06-27 17:41:29.515181
Research Independent Study | PATHOL 293,IND Section 07,7891,10,10,0.0,2021-06-27 17:41:31.871217
Research Independent Study | PATHOL 293,IND Section 08,7892,10,10,0.0,2021-06-27 17:41:34.227329
Research Independent Study | PATHOL 293,IND Section 09,7893,10,10,0.0,2021-06-27 17:41:36.570605
Research Independent Study | PATHOL 293,IND Section 10,7894,9,10,10.0,2021-06-27 17:41:38.934008
Research Independent Study | PATHOL 293,IND Section 11,7895,10,10,0.0,2021-06-27 17:41:41.279607
Research Independent Study | PATHOL 293,IND Section 12,7896,10,10,0.0,2021-06-27 17:41:43.668417
Research Independent Study | PATHOL 293,IND Section 13,7897,10,10,0.0,2021-06-27 17:41:45.979335
Research Independent Study | PATHOL 293,IND Section 14,7898,8,10,20.0,2021-06-27 17:41:48.303368
Research Independent Study | PATHOL 293,IND Section 16,7899,8,10,20.0,2021-06-27 17:41:50.649966
Research Independent Study | PATHOL 293,IND Section 17,7900,10,10,0.0,2021-06-27 17:41:52.995187
Research Independent Study | PATHOL 293,IND Section 18,7901,10,10,0.0,2021-06-27 17:41:55.517039
Research Independent Study | PATHOL 293,IND Section 20,7902,10,10,0.0,2021-06-27 17:41:57.850182
Research Independent Study | PATHOL 293,IND Section 22,7903,10,10,0.0,2021-06-27 17:42:00.282957
Research Independent Study | PATHOL 293,IND Section 23,7904,10,10,0.0,2021-06-27 17:42:02.680805
Research Independent Study | PATHOL 293,IND Section 25,7905,9,10,10.0,2021-06-27 17:42:05.045988
Research Independent Study | PATHOL 293,IND Section 27,7906,10,10,0.0,2021-06-27 17:42:07.455221
Research Independent Study | PATHOL 293,IND Section 28,7907,10,10,0.0,2021-06-27 17:42:09.824038
Research Independent Study | PATHOL 293,IND Section 29,7908,10,10,0.0,2021-06-27 17:42:12.341324
Research Independent Study | PATHOL 293,IND Section 30,7909,4,5,20.0,2021-06-27 17:42:14.662935
Research Independent Study | PATHOL 293,IND Section 31,7910,10,10,0.0,2021-06-27 17:42:16.990412
Research Independent Study | PATHOL 293,IND Section 32,7911,5,5,0.0,2021-06-27 17:42:19.319419
Research Independent Study | PATHOL 293,IND Section 01,7885,10,10,0.0,2021-06-27 18:37:51.914367
Research Independent Study | PATHOL 293,IND Section 02,7886,10,10,0.0,2021-06-27 18:37:54.302240
Research Independent Study | PATHOL 293,IND Section 03,7887,10,10,0.0,2021-06-27 18:37:56.664618
Research Independent Study | PATHOL 293,IND Section 04,7888,10,10,0.0,2021-06-27 18:37:59.005919
Research Independent Study | PATHOL 293,IND Section 05,7889,10,10,0.0,2021-06-27 18:38:01.336959
Research Independent Study | PATHOL 293,IND Section 06,7890,10,10,0.0,2021-06-27 18:38:03.649211
Research Independent Study | PATHOL 293,IND Section 07,7891,10,10,0.0,2021-06-27 18:38:05.979835
Research Independent Study | PATHOL 293,IND Section 08,7892,10,10,0.0,2021-06-27 18:38:08.325058
Research Independent Study | PATHOL 293,IND Section 09,7893,10,10,0.0,2021-06-27 18:38:10.708450
Research Independent Study | PATHOL 293,IND Section 10,7894,9,10,10.0,2021-06-27 18:38:13.036013
Research Independent Study | PATHOL 293,IND Section 11,7895,10,10,0.0,2021-06-27 18:38:15.360383
Research Independent Study | PATHOL 293,IND Section 12,7896,10,10,0.0,2021-06-27 18:38:17.688944
Research Independent Study | PATHOL 293,IND Section 13,7897,10,10,0.0,2021-06-27 18:38:20.022769
Research Independent Study | PATHOL 293,IND Section 14,7898,8,10,20.0,2021-06-27 18:38:22.415951
Research Independent Study | PATHOL 293,IND Section 16,7899,8,10,20.0,2021-06-27 18:38:24.749686
Research Independent Study | PATHOL 293,IND Section 17,7900,10,10,0.0,2021-06-27 18:38:27.079764
Research Independent Study | PATHOL 293,IND Section 18,7901,10,10,0.0,2021-06-27 18:38:29.432791
Research Independent Study | PATHOL 293,IND Section 20,7902,10,10,0.0,2021-06-27 18:38:31.757102
Research Independent Study | PATHOL 293,IND Section 22,7903,10,10,0.0,2021-06-27 18:38:34.075256
Research Independent Study | PATHOL 293,IND Section 23,7904,10,10,0.0,2021-06-27 18:38:36.404507
Research Independent Study | PATHOL 293,IND Section 25,7905,9,10,10.0,2021-06-27 18:38:38.760761
Research Independent Study | PATHOL 293,IND Section 27,7906,10,10,0.0,2021-06-27 18:38:41.259991
Research Independent Study | PATHOL 293,IND Section 28,7907,10,10,0.0,2021-06-27 18:38:43.620480
Research Independent Study | PATHOL 293,IND Section 29,7908,10,10,0.0,2021-06-27 18:38:45.953610
Research Independent Study | PATHOL 293,IND Section 30,7909,4,5,20.0,2021-06-27 18:38:48.290404
Research Independent Study | PATHOL 293,IND Section 31,7910,10,10,0.0,2021-06-27 18:38:50.642326
Research Independent Study | PATHOL 293,IND Section 32,7911,5,5,0.0,2021-06-27 18:38:52.980672
