Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First Year Seminar in Portuguese | PORTUGUE 89S,SEM Section 01,9455,0,18,100.0,2021-06-27 17:39:38.618571
Elementary Portuguese II | PORTUGUE 102,Lecture Section 01,9388,2,18,88.88888888888889,2021-06-27 17:39:40.991364
Accelerated Elementary Portuguese | PORTUGUE 112,Lecture Section 01,9434,7,18,61.111111111111114,2021-06-27 17:39:43.438143
Advanced Intermediate Portuguese | PORTUGUE 204,Lecture Section 01,9435,9,18,50.0,2021-06-27 17:39:45.788181
Research Independent Study | PORTUGUE 394,IND Section 01,2899,1,1,0.0,2021-06-27 17:39:48.160802
Research Independent Study | PORTUGUE 394,IND Section 02,2900,1,1,0.0,2021-06-27 17:39:50.564775
Research Independent Study | PORTUGUE 494,IND Section 01,2901,1,1,0.0,2021-06-27 17:39:52.929942
First Year Seminar in Portuguese | PORTUGUE 89S,SEM Section 01,9455,0,18,100.0,2021-06-27 18:34:30.087009
Elementary Portuguese II | PORTUGUE 102,Lecture Section 01,9388,2,18,88.88888888888889,2021-06-27 18:34:32.483214
Accelerated Elementary Portuguese | PORTUGUE 112,Lecture Section 01,9434,7,18,61.111111111111114,2021-06-27 18:34:34.903607
Advanced Intermediate Portuguese | PORTUGUE 204,Lecture Section 01,9435,9,18,50.0,2021-06-27 18:34:37.326122
Research Independent Study | PORTUGUE 394,IND Section 01,2899,1,1,0.0,2021-06-27 18:34:39.792722
Research Independent Study | PORTUGUE 394,IND Section 02,2900,1,1,0.0,2021-06-27 18:34:42.275034
Research Independent Study | PORTUGUE 494,IND Section 01,2901,1,1,0.0,2021-06-27 18:34:44.629320
