Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
SPIRE First Year Lecture | PSY 87S,SEM Section 01,10537,0,15,100.0,2021-06-27 18:35:30.267811
SPIRE First Year Lecture | PSY 87S,SEM Section 02,10538,0,3,100.0,2021-06-27 18:35:32.758273
First-Year Seminar | PSY 89S,SEM Section 01,4537,0,15,100.0,2021-06-27 18:35:35.200180
First-Year Seminar | PSY 89S,SEM Section 07,10666,1,18,94.44444444444444,2021-06-27 18:35:37.625066
Introductory Psychology | PSY 101,Lecture Section 001,4427,0,311,100.0,2021-06-27 18:35:40.009018
Introductory Psychology | PSY 101,Discussion Section 01D,4428,0,8,100.0,2021-06-27 18:35:42.533867
Introductory Psychology | PSY 101,Discussion Section 02D,4429,0,8,100.0,2021-06-27 18:35:44.932397
Introductory Psychology | PSY 101,Discussion Section 03D,4430,0,8,100.0,2021-06-27 18:35:47.264266
Introductory Psychology | PSY 101,Discussion Section 04D,4431,0,8,100.0,2021-06-27 18:35:49.617807
Introductory Psychology | PSY 101,Discussion Section 05D,4432,0,8,100.0,2021-06-27 18:35:51.952818
Introductory Psychology | PSY 101,Discussion Section 06D,4433,0,8,100.0,2021-06-27 18:35:54.302194
Introductory Psychology | PSY 101,Discussion Section 07D,4434,0,8,100.0,2021-06-27 18:35:56.652309
Introductory Psychology | PSY 101,Discussion Section 08D,4435,0,8,100.0,2021-06-27 18:35:58.986180
Introductory Psychology | PSY 101,Discussion Section 09D,4436,0,8,100.0,2021-06-27 18:36:01.313176
Introductory Psychology | PSY 101,Discussion Section 10D,4437,0,8,100.0,2021-06-27 18:36:03.743335
Introductory Psychology | PSY 101,Discussion Section 11D,4438,0,8,100.0,2021-06-27 18:36:06.125720
Introductory Psychology | PSY 101,Discussion Section 12D,4439,0,8,100.0,2021-06-27 18:36:08.529174
Introductory Psychology | PSY 101,Discussion Section 13D,4440,0,14,100.0,2021-06-27 18:36:10.867837
Introductory Psychology | PSY 101,Discussion Section 14D,4441,0,14,100.0,2021-06-27 18:36:13.222543
Introductory Psychology | PSY 101,Discussion Section 15D,4442,0,8,100.0,2021-06-27 18:36:15.781081
Introductory Psychology | PSY 101,Discussion Section 16D,4443,0,7,100.0,2021-06-27 18:36:18.187303
Introductory Psychology | PSY 101,Discussion Section 17D,4444,0,8,100.0,2021-06-27 18:36:20.766666
Introductory Psychology | PSY 101,Discussion Section 18D,4445,0,8,100.0,2021-06-27 18:36:23.187143
Introductory Psychology | PSY 101,Discussion Section 19D,4446,0,8,100.0,2021-06-27 18:36:25.553784
Introductory Psychology | PSY 101,Discussion Section 20D,4885,0,8,100.0,2021-06-27 18:36:27.895925
Introductory Psychology | PSY 101,Discussion Section 21D,4447,0,14,100.0,2021-06-27 18:36:30.291727
Introductory Psychology | PSY 101,Discussion Section 22D,4448,0,8,100.0,2021-06-27 18:36:32.707477
Introductory Psychology | PSY 101,Discussion Section 23D,4449,0,8,100.0,2021-06-27 18:36:35.137294
Introductory Psychology | PSY 101,Discussion Section 24D,4450,0,8,100.0,2021-06-27 18:36:37.441147
Introductory Psychology | PSY 101,Discussion Section 25D,4451,0,7,100.0,2021-06-27 18:36:39.804612
Introductory Psychology | PSY 101,Discussion Section 26D,4452,0,8,100.0,2021-06-27 18:36:42.160105
Introductory Psychology | PSY 101,Discussion Section 27D,4453,0,8,100.0,2021-06-27 18:36:44.509931
Introductory Psychology | PSY 101,Discussion Section 28D,4454,0,8,100.0,2021-06-27 18:36:46.834127
Introductory Psychology | PSY 101,Discussion Section 29D,4455,0,14,100.0,2021-06-27 18:36:49.135530
Introductory Psychology | PSY 101,Discussion Section 30D,4456,0,8,100.0,2021-06-27 18:36:51.464001
Introductory Psychology | PSY 101,Discussion Section 31D,4457,0,8,100.0,2021-06-27 18:36:53.774113
Introductory Psychology | PSY 101,Discussion Section 32D,4458,0,8,100.0,2021-06-27 18:36:56.120976
Cognitive Psychology: Introduction and Survey | PSY 102,Lecture Section 001,4459,0,100,100.0,2021-06-27 18:36:58.471114
Cognitive Psychology: Introduction and Survey | PSY 102,Discussion Section 01D,4460,1,25,96.0,2021-06-27 18:37:00.806174
Cognitive Psychology: Introduction and Survey | PSY 102,Discussion Section 02D,4461,3,25,88.0,2021-06-27 18:37:03.165152
Cognitive Psychology: Introduction and Survey | PSY 102,Discussion Section 03D,4462,0,25,100.0,2021-06-27 18:37:05.527503
Cognitive Psychology: Introduction and Survey | PSY 102,Discussion Section 04D,4463,0,25,100.0,2021-06-27 18:37:07.896837
Developmental Psychology: Introduction and Survey | PSY 103D,Lecture Section 001,4464,10,100,90.0,2021-06-27 18:37:10.240004
