Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First-Year Seminar | RELIGION 89S,SEM Section 01,4065,1,15,93.33333333333333,2021-06-27 18:36:57.619097
Buddhism | RELIGION 120,Lecture Section 01,7156,8,20,60.0,2021-06-27 18:37:00.075761
The Old Testament/Hebrew Bible | RELIGION 145,Lecture Section 01,7157,39,45,13.333333333333334,2021-06-27 18:37:02.498654
"Hinduism and Judaism: Culture, Religion, and Identity | RELIGION 216S",SEM Section 01,7158,4,18,77.77777777777779,2021-06-27 18:37:04.948055
Intermediate Sanskrit | RELIGION 222,Lecture Section 01,11575,18,20,10.0,2021-06-27 18:37:07.334552
Muhammad: The Prophet of Islam | RELIGION 223S,SEM Section 01,7727,8,18,55.55555555555556,2021-06-27 18:37:09.716015
Dance and Dance Theater of Asia | RELIGION 241,Lecture Section 01,5745,0,10,100.0,2021-06-27 18:37:12.060229
Religion and Sport | RELIGION 249S,SEM Section 01,7159,0,18,100.0,2021-06-27 18:37:14.406545
Religion and the Novel in Modern India | RELIGION 258,Lecture Section 01,7160,27,45,40.0,2021-06-27 18:37:16.761641
Pilgrimage and Tourism | RELIGION 260,Lecture Section 01,3501,6,20,70.0,2021-06-27 18:37:19.139636
Medieval Christianity in Film and Fiction | RELIGION 261,Lecture Section 01,7161,35,45,22.22222222222222,2021-06-27 18:37:21.550291
The Transnational Realities of an Ancient Tradition | RELIGION 265,Lecture Section 01,9740,41,45,8.88888888888889,2021-06-27 18:37:23.884621
Spiritual But Not Religious | RELIGION 267,Lecture Section 01,7162,36,45,20.0,2021-06-27 18:37:26.214251
Religion and Film | RELIGION 268,Lecture Section 01,7163,0,45,100.0,2021-06-27 18:37:28.533662
Religion and Film | RELIGION 268,Lecture Section 02,7164,0,45,100.0,2021-06-27 18:37:30.904524
American Apocalypse: Beat Generation Spirituality | RELIGION 281,Lecture Section 01,7165,45,45,0.0,2021-06-27 18:37:33.233987
Special Topics in Religion | RELIGION 290S,SEM Section 01,7166,12,18,33.33333333333333,2021-06-27 18:37:35.541576
Independent Study | RELIGION 291,IND Section 01,7167,1,1,0.0,2021-06-27 18:37:37.882039
Independent Study | RELIGION 291,IND Section 02,7168,1,1,0.0,2021-06-27 18:37:40.225783
Independent Study | RELIGION 291,IND Section 03,7169,1,1,0.0,2021-06-27 18:37:42.547340
