Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Elementary Russian II | RUSSIAN 102,Lecture Section 01,4402,12,16,25.0,2021-06-27 17:32:19.859832
Elementary Russian II | RUSSIAN 102,Lecture Section 02,4403,8,16,50.0,2021-06-27 17:32:22.274462
Elementary Russian II | RUSSIAN 102,Lecture Section 03,12026,0,1,100.0,2021-06-27 17:32:24.771649
Intensive Russian | RUSSIAN 111,Lecture Section 01,10299,1,8,87.5,2021-06-27 17:32:27.272879
Intermediate Russian II | RUSSIAN 204,Lecture Section 01,4404,10,16,37.5,2021-06-27 17:32:29.704536
Directing | RUSSIAN 255S,SEM Section 01,9733,3,12,75.0,2021-06-27 17:32:32.131312
Contemporary Russian Composition and Readings | RUSSIAN 302S,SEM Section 01,4405,7,10,30.0,2021-06-27 17:32:34.481039
Russian Short Fiction | RUSSIAN 316,Lecture Section 01,10302,7,16,56.25,2021-06-27 17:32:36.888175
Russian Short Fiction | RUSSIAN 316,Lecture Section 02,10303,19,20,5.0,2021-06-27 17:32:39.293047
Follow the Ruble: Money in Russian Literature and Culture | RUSSIAN 318,Lecture Section 01,4406,4,16,75.0,2021-06-27 17:32:41.661345
Follow the Ruble: Money in Russian Literature and Culture | RUSSIAN 318,Lecture Section 02,10300,18,20,10.0,2021-06-27 17:32:44.115107
Dostoevsky | RUSSIAN 323,Lecture Section 01,4407,5,16,68.75,2021-06-27 17:32:46.469382
Dostoevsky | RUSSIAN 323,Lecture Section 02,10304,19,20,5.0,2021-06-27 17:32:48.952318
End of Russian Socialism: History of Perestroika | RUSSIAN 352,Lecture Section 01,7113,35,40,12.5,2021-06-27 17:32:51.339154
The Russian Empire | RUSSIAN 356,Lecture Section 01,4423,15,18,16.666666666666664,2021-06-27 17:32:53.692293
Languages of the World | RUSSIAN 362,Lecture Section 01,4389,0,15,100.0,2021-06-27 17:32:56.034430
Languages of the World | RUSSIAN 362,Lecture Section 02,10291,1,15,93.33333333333333,2021-06-27 17:32:58.398403
Gender and Language | RUSSIAN 364,Lecture Section 01,4395,1,16,93.75,2021-06-27 17:33:00.712594
Global Russia | RUSSIAN 399,Lecture Section 01,11864,9,16,43.75,2021-06-27 17:33:03.087870
Global Russia | RUSSIAN 399,Lecture Section 02,11868,18,20,10.0,2021-06-27 17:33:05.443382
"Advanced Russian: Readings, Translation, and Syntax | RUSSIAN 402",Lecture Section 01,4409,3,8,62.5,2021-06-27 17:33:07.757646
Soviet Life through the Camera's Lens | RUSSIAN 433S,SEM Section 01,10305,10,16,37.5,2021-06-27 17:33:10.144293
Research Independent Study | RUSSIAN 494,IND Section 01,11787,0,1,100.0,2021-06-27 17:33:12.561464
Research Independent Study | RUSSIAN 494,IND Section 02,11788,0,1,100.0,2021-06-27 17:33:15.059534
Research Independent Study | RUSSIAN 494,IND Section 03,11789,1,1,0.0,2021-06-27 17:33:17.444365
Elementary Russian II | RUSSIAN 102,Lecture Section 01,4402,12,16,25.0,2021-06-27 18:29:21.387946
Elementary Russian II | RUSSIAN 102,Lecture Section 02,4403,8,16,50.0,2021-06-27 18:29:24.039079
Elementary Russian II | RUSSIAN 102,Lecture Section 03,12026,0,1,100.0,2021-06-27 18:29:26.806250
Intensive Russian | RUSSIAN 111,Lecture Section 01,10299,1,8,87.5,2021-06-27 18:29:29.479207
Intermediate Russian II | RUSSIAN 204,Lecture Section 01,4404,10,16,37.5,2021-06-27 18:29:31.955802
Directing | RUSSIAN 255S,SEM Section 01,9733,3,12,75.0,2021-06-27 18:29:34.473700
Contemporary Russian Composition and Readings | RUSSIAN 302S,SEM Section 01,4405,7,10,30.0,2021-06-27 18:29:36.909955
Russian Short Fiction | RUSSIAN 316,Lecture Section 01,10302,7,16,56.25,2021-06-27 18:29:39.309380
Russian Short Fiction | RUSSIAN 316,Lecture Section 02,10303,19,20,5.0,2021-06-27 18:29:41.769933
Follow the Ruble: Money in Russian Literature and Culture | RUSSIAN 318,Lecture Section 01,4406,4,16,75.0,2021-06-27 18:29:44.121975
Follow the Ruble: Money in Russian Literature and Culture | RUSSIAN 318,Lecture Section 02,10300,18,20,10.0,2021-06-27 18:29:46.525592
Dostoevsky | RUSSIAN 323,Lecture Section 01,4407,5,16,68.75,2021-06-27 18:29:48.910387
Dostoevsky | RUSSIAN 323,Lecture Section 02,10304,19,20,5.0,2021-06-27 18:29:51.399564
End of Russian Socialism: History of Perestroika | RUSSIAN 352,Lecture Section 01,7113,35,40,12.5,2021-06-27 18:29:53.782978
The Russian Empire | RUSSIAN 356,Lecture Section 01,4423,15,18,16.666666666666664,2021-06-27 18:29:56.168487
