Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Introduction to the United States Health Care System | SCISOC 165,Lecture Section 01,9060,0,35,100.0,2021-06-27 17:33:32.405031
Introduction to the United States Health Care System | SCISOC 165,Lecture Section 02,9061,0,1,100.0,2021-06-27 17:33:34.793943
"Stigma, Mental Illness and Ethnicity: From News Media and Pop Culture to Policy and Back | SCISOC 210S",SEM Section 01,10202,9,18,50.0,2021-06-27 17:33:37.237988
Risk | SCISOC 235,Lecture Section 01,3286,6,50,88.0,2021-06-27 17:33:39.611213
Science and Society | SCISOC 256,Lecture Section 01,3287,3,18,83.33333333333334,2021-06-27 17:33:42.013419
Science and Society | SCISOC 256,Lecture Section 02,10203,1,20,95.0,2021-06-27 17:33:44.429282
Sexuality and the Law | SCISOC 272S,SEM Section 01,7765,3,15,80.0,2021-06-27 17:33:46.759763
Topics in Science & Society | SCISOC 290,Lecture Section 01,10204,16,16,0.0,2021-06-27 17:33:49.155585
Special Topics in Genome Sciences | SCISOC 290S,SEM Section 03,10323,0,15,100.0,2021-06-27 17:33:51.592471
Research Independent Study in Science & Society | SCISOC 293,IND Section 01,3289,1,10,90.0,2021-06-27 17:33:53.910855
Research Independent Study in Science & Society | SCISOC 293,IND Section 02,3290,0,1,100.0,2021-06-27 17:33:56.306743
Research Independent Study in Science & Society | SCISOC 293,IND Section 03,3291,10,10,0.0,2021-06-27 17:33:58.622974
Research Independent Study in Science & Society | SCISOC 293,IND Section 04,3292,1,1,0.0,2021-06-27 17:34:00.932636
Research Independent Study in Science & Society | SCISOC 294,IND Section 01,3293,1,1,0.0,2021-06-27 17:34:03.252725
Research Independent Study in Science & Society | SCISOC 294,IND Section 02,3294,1,1,0.0,2021-06-27 17:34:05.580543
Research Independent Study in Science & Society | SCISOC 294,IND Section 03,3295,1,1,0.0,2021-06-27 17:34:07.997231
Research Independent Study in Science & Society | SCISOC 294,IND Section 04,3296,1,1,0.0,2021-06-27 17:34:10.327779
Feast and Famine: Food in Global History | SCISOC 371,Lecture Section 01,7146,15,40,62.5,2021-06-27 17:34:12.696598
Science & Society Capstone | SCISOC 498S,SEM Section 01,3298,6,12,50.0,2021-06-27 17:34:15.016398
Introduction to the United States Health Care System | SCISOC 165,Lecture Section 01,9060,0,35,100.0,2021-06-27 18:30:35.694833
Introduction to the United States Health Care System | SCISOC 165,Lecture Section 02,9061,0,1,100.0,2021-06-27 18:30:38.056848
"Stigma, Mental Illness and Ethnicity: From News Media and Pop Culture to Policy and Back | SCISOC 210S",SEM Section 01,10202,9,18,50.0,2021-06-27 18:30:40.474045
Risk | SCISOC 235,Lecture Section 01,3286,6,50,88.0,2021-06-27 18:30:42.810130
Science and Society | SCISOC 256,Lecture Section 01,3287,3,18,83.33333333333334,2021-06-27 18:30:45.155509
Science and Society | SCISOC 256,Lecture Section 02,10203,1,20,95.0,2021-06-27 18:30:47.545203
Sexuality and the Law | SCISOC 272S,SEM Section 01,7765,3,15,80.0,2021-06-27 18:30:49.884409
Topics in Science & Society | SCISOC 290,Lecture Section 01,10204,16,16,0.0,2021-06-27 18:30:52.323351
Special Topics in Genome Sciences | SCISOC 290S,SEM Section 03,10323,0,15,100.0,2021-06-27 18:30:54.710874
Research Independent Study in Science & Society | SCISOC 293,IND Section 01,3289,1,10,90.0,2021-06-27 18:30:57.070385
Research Independent Study in Science & Society | SCISOC 293,IND Section 02,3290,0,1,100.0,2021-06-27 18:30:59.411036
Research Independent Study in Science & Society | SCISOC 293,IND Section 03,3291,10,10,0.0,2021-06-27 18:31:01.772716
Research Independent Study in Science & Society | SCISOC 293,IND Section 04,3292,1,1,0.0,2021-06-27 18:31:04.134506
Research Independent Study in Science & Society | SCISOC 294,IND Section 01,3293,1,1,0.0,2021-06-27 18:31:06.509585
Research Independent Study in Science & Society | SCISOC 294,IND Section 02,3294,1,1,0.0,2021-06-27 18:31:08.826993
Research Independent Study in Science & Society | SCISOC 294,IND Section 03,3295,1,1,0.0,2021-06-27 18:31:11.138558
Research Independent Study in Science & Society | SCISOC 294,IND Section 04,3296,1,1,0.0,2021-06-27 18:31:13.451381
Feast and Famine: Food in Global History | SCISOC 371,Lecture Section 01,7146,15,40,62.5,2021-06-27 18:31:15.787706
Science & Society Capstone | SCISOC 498S,SEM Section 01,3298,6,12,50.0,2021-06-27 18:31:18.141449
