Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Elementary Spanish 1 | SPANISH 101,Lecture Section 01,9391,0,15,100.0,2021-06-27 17:37:57.680748
Elementary Spanish 1 | SPANISH 101,Lecture Section 02,9392,0,15,100.0,2021-06-27 17:38:00.041542
Elementary Spanish 1 | SPANISH 101,Lecture Section 03,9393,0,15,100.0,2021-06-27 17:38:02.415546
Elementary Spanish 2 | SPANISH 102,Lecture Section 01,9394,0,15,100.0,2021-06-27 17:38:04.770263
Elementary Spanish 2 | SPANISH 102,Lecture Section 02,9395,0,15,100.0,2021-06-27 17:38:07.127073
Elementary Spanish 2 | SPANISH 102,Lecture Section 03,9396,0,15,100.0,2021-06-27 17:38:09.495223
Elementary Spanish 2 | SPANISH 102,Lecture Section 04,9397,0,15,100.0,2021-06-27 17:38:11.999542
Elementary Spanish 2 | SPANISH 102,Lecture Section 05,9398,0,15,100.0,2021-06-27 17:38:14.453289
Introduction to Latino/a Studies in the Global South | SPANISH 160,Lecture Section 01,5089,7,12,41.66666666666667,2021-06-27 17:38:16.959343
Intermediate Spanish | SPANISH 203,Lecture Section 01,9399,1,15,93.33333333333333,2021-06-27 17:38:19.678012
Intermediate Spanish | SPANISH 203,Lecture Section 02,9400,0,15,100.0,2021-06-27 17:38:22.040967
Intermediate Spanish | SPANISH 203,Lecture Section 03,9401,0,15,100.0,2021-06-27 17:38:24.384991
Intermediate Spanish | SPANISH 203,Lecture Section 04,9402,0,15,100.0,2021-06-27 17:38:26.725933
Intermediate Spanish | SPANISH 203,Lecture Section 05,9403,0,15,100.0,2021-06-27 17:38:29.061663
Intermediate Spanish | SPANISH 203,Lecture Section 06,9404,0,15,100.0,2021-06-27 17:38:31.390775
Intermediate Spanish | SPANISH 203,Lecture Section 07,9405,0,15,100.0,2021-06-27 17:38:33.780572
Intermediate Spanish | SPANISH 203,Lecture Section 08,9406,1,15,93.33333333333333,2021-06-27 17:38:36.158771
Intermediate Spanish | SPANISH 203,Lecture Section 09,9407,0,15,100.0,2021-06-27 17:38:38.489024
Intermediate Spanish | SPANISH 203,Lecture Section 10,9408,5,15,66.66666666666666,2021-06-27 17:38:40.826862
Advanced Intermediate Spanish | SPANISH 204,Lecture Section 01,9409,1,15,93.33333333333333,2021-06-27 17:38:43.188742
Advanced Intermediate Spanish | SPANISH 204,Lecture Section 02,9410,0,15,100.0,2021-06-27 17:38:45.538538
Advanced Intermediate Spanish | SPANISH 204,Lecture Section 03,9411,0,15,100.0,2021-06-27 17:38:47.871967
Advanced Intermediate Spanish | SPANISH 204,Lecture Section 04,9412,1,15,93.33333333333333,2021-06-27 17:38:50.196611
Advanced Intermediate Spanish | SPANISH 204,Lecture Section 05,9413,0,15,100.0,2021-06-27 17:38:52.540504
Advanced Intermediate Spanish | SPANISH 204,Lecture Section 06,9414,0,15,100.0,2021-06-27 17:38:54.861474
Advanced Intermediate Spanish | SPANISH 204,Lecture Section 07,9415,4,15,73.33333333333333,2021-06-27 17:38:57.215582
Advanced Intermediate Spanish | SPANISH 204,Lecture Section 08,10708,2,15,86.66666666666667,2021-06-27 17:38:59.594908
Advanced Intermediate Spanish with Service-Learning | SPANISH 205,Lecture Section 01,9486,2,12,83.33333333333334,2021-06-27 17:39:01.936392
Voices in Public Policy: Spanish Tutorial | SPANISH 271T,TUT Section 01,9130,1,8,87.5,2021-06-27 17:39:04.294324
Voices in Marketing: Advertising in Spanish | SPANISH 275T-1,TUT Section 01,10352,3,8,62.5,2021-06-27 17:39:06.666742
Advanced Spanish Writing | SPANISH 301,Lecture Section 01,9416,1,12,91.66666666666666,2021-06-27 17:39:09.020450
Advanced Spanish Writing | SPANISH 301,Lecture Section 02,9417,0,12,100.0,2021-06-27 17:39:11.351453
Advanced Spanish Writing | SPANISH 301,Lecture Section 03,9418,1,12,91.66666666666666,2021-06-27 17:39:13.675082
