Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Data Analysis and Statistical Inference | STA 101L,Lecture Section 001,4886,1,90,98.88888888888889,2021-06-27 18:37:56.996900
Data Analysis and Statistical Inference | STA 101L,Lecture Section 002,4887,3,90,96.66666666666667,2021-06-27 18:37:59.394931
Data Analysis and Statistical Inference | STA 101L,Laboratory Section 01L,4888,1,25,96.0,2021-06-27 18:38:01.745078
Data Analysis and Statistical Inference | STA 101L,Laboratory Section 02L,4889,0,25,100.0,2021-06-27 18:38:04.084149
Data Analysis and Statistical Inference | STA 101L,Laboratory Section 03L,4890,0,25,100.0,2021-06-27 18:38:06.413541
Data Analysis and Statistical Inference | STA 101L,Laboratory Section 04L,4891,0,15,100.0,2021-06-27 18:38:08.759671
Data Analysis and Statistical Inference | STA 101L,Laboratory Section 05L,4892,3,25,88.0,2021-06-27 18:38:11.110796
Data Analysis and Statistical Inference | STA 101L,Laboratory Section 06L,4893,1,25,96.0,2021-06-27 18:38:13.445638
Data Analysis and Statistical Inference | STA 101L,Laboratory Section 07L,4894,0,25,100.0,2021-06-27 18:38:15.779928
Data Analysis and Statistical Inference | STA 101L,Laboratory Section 08L,4895,0,15,100.0,2021-06-27 18:38:18.095529
Introductory Biostatistics | STA 102L,Lecture Section 001,4896,23,90,74.44444444444444,2021-06-27 18:38:20.431399
Introductory Biostatistics | STA 102L,Laboratory Section 01L,4897,1,25,96.0,2021-06-27 18:38:22.769903
Introductory Biostatistics | STA 102L,Laboratory Section 02L,4898,0,25,100.0,2021-06-27 18:38:25.113036
Introductory Biostatistics | STA 102L,Laboratory Section 03L,4899,10,25,60.0,2021-06-27 18:38:27.438755
Introductory Biostatistics | STA 102L,Laboratory Section 04L,4900,12,15,20.0,2021-06-27 18:38:29.795845
Introduction to Data Science and Statistical Thinking | STA 199L,Lecture Section 001,4901,0,90,100.0,2021-06-27 18:38:32.113057
Introduction to Data Science and Statistical Thinking | STA 199L,Lecture Section 002,4902,2,90,97.77777777777777,2021-06-27 18:38:34.446060
Introduction to Data Science and Statistical Thinking | STA 199L,Lecture Section 003,4903,1,90,98.88888888888889,2021-06-27 18:38:36.769952
Introduction to Data Science and Statistical Thinking | STA 199L,Lecture Section 004,11980,0,1,100.0,2021-06-27 18:38:39.236216
Introduction to Data Science and Statistical Thinking | STA 199L,Laboratory Section 01L,4904,0,25,100.0,2021-06-27 18:38:41.606951
Introduction to Data Science and Statistical Thinking | STA 199L,Laboratory Section 02L,4905,0,25,100.0,2021-06-27 18:38:43.943397
Introduction to Data Science and Statistical Thinking | STA 199L,Laboratory Section 03L,4906,0,25,100.0,2021-06-27 18:38:46.360306
