Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First-Year Seminar | AAAS 89S,SEM Section 01,9343,0,18,100.0,2021-06-27 17:16:03.445365
First-Year Seminar | AAAS 89S,SEM Section 02,10832,0,15,100.0,2021-06-27 17:16:06.093564
Introduction to African American Studies | AAAS 102,Lecture Section 01,5517,0,25,100.0,2021-06-27 17:16:09.040855
Introduction to African Studies (DS3 or DS4) | AAAS 103,Lecture Section 01,5518,12,50,76.0,2021-06-27 17:16:11.822360
Introduction to Latino/a Studies in the Global South | AAAS 104,Lecture Section 01,5088,7,12,41.66666666666667,2021-06-27 17:16:14.821363
Gateway Seminar: Civil Rights and Asian Americans | AAAS 133S,SEM Section 01,7089,3,18,83.33333333333334,2021-06-27 17:16:17.890082
Introduction to Jazz | AAAS 140,Lecture Section 01,4285,1,16,93.75,2021-06-27 17:16:20.394036
Motown and American Soul Music | AAAS 146,Lecture Section 01,4286,2,16,87.5,2021-06-27 17:16:22.842049
Special Topics | AAAS 190S,SEM Section 01,3127,2,14,85.71428571428571,2021-06-27 17:16:25.238128
Anthropology of Money | AAAS 211,Lecture Section 01,5885,1,70,98.57142857142858,2021-06-27 17:16:27.588426
"War, Slavery, and Revolution in the Caribbean, 1700-1800 | AAAS 219",Lecture Section 01,7120,9,10,10.0,2021-06-27 17:16:29.909508
Documenting Black Experiences | AAAS 225S,SEM Section 01,3151,1,14,92.85714285714286,2021-06-27 17:16:32.322983
Crime and the City from Dickens to The Wire | AAAS 226,Lecture Section 01,7119,13,35,62.857142857142854,2021-06-27 17:16:34.874753
Fictions That Mark the Moment | AAAS 228S,SEM Section 01,5519,6,18,66.66666666666666,2021-06-27 17:16:37.261044
The South in Black and White | AAAS 230S,SEM Section 01,3145,1,15,93.33333333333333,2021-06-27 17:16:39.678746
Sociology of Racism in America | AAAS 246,Lecture Section 01,4372,18,35,48.57142857142857,2021-06-27 17:16:42.004472
Social Movements and Social Media | AAAS 247S,SEM Section 01,6159,0,18,100.0,2021-06-27 17:16:44.343095
Independent African American Cinema | AAAS 253S,SEM Section 01,10033,10,18,44.44444444444444,2021-06-27 17:16:46.713137
Latin American Wars of Independence | AAAS 264,Lecture Section 01,7109,21,35,40.0,2021-06-27 17:16:49.035366
Critical Pedagogy of Hip Hop | AAAS 286S,SEM Section 01,11160,0,18,100.0,2021-06-27 17:16:51.410080
"Africa and Arabia: Cultures, Communities, and Connections | AAAS 306",Lecture Section 01,6651,7,12,41.66666666666667,2021-06-27 17:16:53.756233
"Africa and Arabia: Cultures, Communities, and Connections | AAAS 306",Lecture Section 02,6653,1,6,83.33333333333334,2021-06-27 17:16:56.100565
Conflict Analysis in Africa (Case Studies) | AAAS 310S,SEM Section 01,5520,1,18,94.44444444444444,2021-06-27 17:16:58.483741
War and Public Health in Africa | AAAS 312,Lecture Section 01,10308,3,18,83.33333333333334,2021-06-27 17:17:00.871880
Introduction to Hip-Hop Production | AAAS 325S,SEM Section 01,10433,1,18,94.44444444444444,2021-06-27 17:17:03.234035
Black Popular Culture | AAAS 331,Lecture Section 02,5522,15,50,70.0,2021-06-27 17:17:05.629283
The History of Hip-Hop | AAAS 335,Lecture Section 01,5523,0,130,100.0,2021-06-27 17:17:08.008100
"The Civil War and Reconstruction: The United States, 1850-1880 | AAAS 342",Lecture Section 01,7128,10,30,66.66666666666666,2021-06-27 17:17:10.328021
White People: In Anthropological Perspective | AAAS 347S,SEM Section 01,5524,3,18,83.33333333333334,2021-06-27 17:17:12.664572
Contemporary South Africa | AAAS 349S,SEM Section 01,9742,5,18,72.22222222222221,2021-06-27 17:17:14.981053
