Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Elementary Arabic | ARABIC 101,Lecture Section 001,6570,10,18,44.44444444444444,2021-06-27 17:20:56.898326
Elementary Arabic | ARABIC 101,Discussion Section 01D,6571,10,18,44.44444444444444,2021-06-27 17:20:59.292877
Elementary Arabic | ARABIC 102,Lecture Section 001,6572,6,16,62.5,2021-06-27 17:21:01.742268
Elementary Arabic | ARABIC 102,Lecture Section 002,6573,10,16,37.5,2021-06-27 17:21:04.163952
Elementary Arabic | ARABIC 102,Lecture Section 003,11943,0,1,100.0,2021-06-27 17:21:06.710338
Elementary Arabic | ARABIC 102,Discussion Section 01D,6574,6,16,62.5,2021-06-27 17:21:09.048086
Elementary Arabic | ARABIC 102,Discussion Section 02D,6575,10,16,37.5,2021-06-27 17:21:11.445325
Elementary Arabic | ARABIC 102,Discussion Section 03D,11947,0,1,100.0,2021-06-27 17:21:13.865162
Intermediate Arabic | ARABIC 204,Lecture Section 01,6576,12,18,33.33333333333333,2021-06-27 17:21:16.251338
Intermediate Arabic | ARABIC 204,Lecture Section 02,11944,1,1,0.0,2021-06-27 17:21:18.626967
Media Arabic I: Arabic in Media and Documentary Film | ARABIC 281,Lecture Section 01,10254,10,12,16.666666666666664,2021-06-27 17:21:21.050231
Advanced Arabic | ARABIC 306,Lecture Section 01,6577,9,18,50.0,2021-06-27 17:21:23.410225
Independent Study | ARABIC 391,IND Section 01,10255,3,4,25.0,2021-06-27 17:21:25.827838
Independent Study | ARABIC 391,IND Section 02,10256,4,4,0.0,2021-06-27 17:21:28.307428
Issues in Arabic Language and Literature II | ARABIC 408,Lecture Section 01,6578,7,12,41.66666666666667,2021-06-27 17:21:30.643523
Elementary Arabic | ARABIC 101,Lecture Section 001,6570,10,18,44.44444444444444,2021-06-27 18:15:37.141071
Elementary Arabic | ARABIC 101,Discussion Section 01D,6571,10,18,44.44444444444444,2021-06-27 18:15:39.773614
Elementary Arabic | ARABIC 102,Lecture Section 001,6572,6,16,62.5,2021-06-27 18:15:42.297070
Elementary Arabic | ARABIC 102,Lecture Section 002,6573,10,16,37.5,2021-06-27 18:15:44.798933
Elementary Arabic | ARABIC 102,Lecture Section 003,11943,0,1,100.0,2021-06-27 18:15:47.377231
Elementary Arabic | ARABIC 102,Discussion Section 01D,6574,6,16,62.5,2021-06-27 18:15:49.856857
Elementary Arabic | ARABIC 102,Discussion Section 02D,6575,10,16,37.5,2021-06-27 18:15:52.347754
Elementary Arabic | ARABIC 102,Discussion Section 03D,11947,0,1,100.0,2021-06-27 18:15:54.827520
Intermediate Arabic | ARABIC 204,Lecture Section 01,6576,12,18,33.33333333333333,2021-06-27 18:15:57.228863
Intermediate Arabic | ARABIC 204,Lecture Section 02,11944,1,1,0.0,2021-06-27 18:15:59.748957
Media Arabic I: Arabic in Media and Documentary Film | ARABIC 281,Lecture Section 01,10254,10,12,16.666666666666664,2021-06-27 18:16:02.208589
Advanced Arabic | ARABIC 306,Lecture Section 01,6577,9,18,50.0,2021-06-27 18:16:04.620696
Independent Study | ARABIC 391,IND Section 01,10255,3,4,25.0,2021-06-27 18:16:07.115123
Independent Study | ARABIC 391,IND Section 02,10256,4,4,0.0,2021-06-27 18:16:09.593502
Issues in Arabic Language and Literature II | ARABIC 408,Lecture Section 01,6578,7,12,41.66666666666667,2021-06-27 18:16:11.953400
