Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First-Year Seminar | BIOLOGY 89S,SEM Section 01,9176,0,10,100.0,2021-06-27 17:16:35.388233
First-Year Seminar | BIOLOGY 89S,SEM Section 02,9177,0,15,100.0,2021-06-27 17:16:37.824993
AIDS and Other Emerging Diseases | BIOLOGY 154,Lecture Section 01,9216,7,160,95.625,2021-06-27 17:16:40.203620
AIDS and Other Emerging Diseases | BIOLOGY 154,Lecture Section 02,9217,0,40,100.0,2021-06-27 17:16:42.569004
Environmental Justice and Equity | BIOLOGY 156S,SEM Section 01,9297,1,12,91.66666666666666,2021-06-27 17:16:44.950276
The Dynamic Oceans | BIOLOGY 157,Lecture Section 01,8780,57,200,71.5,2021-06-27 17:16:47.289127
Gateway to Biology: Molecular Biology | BIOLOGY 201,Lecture Section 01,9291,69,100,31.0,2021-06-27 17:16:49.668771
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Lecture Section 001,9236,3,235,98.72340425531915,2021-06-27 17:16:52.043833
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 01L,9237,0,11,100.0,2021-06-27 17:16:54.430251
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 02L,9238,1,11,90.9090909090909,2021-06-27 17:16:56.808204
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 03L,9239,0,11,100.0,2021-06-27 17:16:59.187418
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 04L,9240,0,11,100.0,2021-06-27 17:17:01.536083
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 05L,9241,0,11,100.0,2021-06-27 17:17:03.863524
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 06L,9242,0,12,100.0,2021-06-27 17:17:06.234236
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 07L,9243,0,10,100.0,2021-06-27 17:17:08.574355
