Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 01,3158,18,18,0.0,2021-06-27 17:32:51.952724
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 02,3159,18,18,0.0,2021-06-27 17:32:54.328958
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 03,3160,17,18,5.555555555555555,2021-06-27 17:32:56.684163
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 04,3161,18,18,0.0,2021-06-27 17:32:59.041213
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 05,3162,18,18,0.0,2021-06-27 17:33:01.488316
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 06,3163,18,18,0.0,2021-06-27 17:33:03.825163
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 07,3164,18,18,0.0,2021-06-27 17:33:06.158335
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 08,3165,18,18,0.0,2021-06-27 17:33:08.504746
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 09,3166,18,18,0.0,2021-06-27 17:33:10.909401
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 10,3167,18,18,0.0,2021-06-27 17:33:13.351145
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 11,3168,18,18,0.0,2021-06-27 17:33:15.736586
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 12,3169,18,18,0.0,2021-06-27 17:33:18.061391
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 13,3170,18,18,0.0,2021-06-27 17:33:20.411533
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 14,3171,18,18,0.0,2021-06-27 17:33:22.732330
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 15,3172,18,18,0.0,2021-06-27 17:33:25.060226
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395-1,IND Section 01,3173,18,18,0.0,2021-06-27 17:33:27.427662
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395-1,IND Section 02,3174,18,18,0.0,2021-06-27 17:33:29.744689
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395-1,IND Section 03,3175,18,18,0.0,2021-06-27 17:33:32.096699
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395-1,IND Section 04,3176,18,18,0.0,2021-06-27 17:33:34.528095
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395-1,IND Section 05,3177,17,18,5.555555555555555,2021-06-27 17:33:36.876370
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395-1,IND Section 06,3178,18,18,0.0,2021-06-27 17:33:39.256950
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395-1,IND Section 07,3179,18,18,0.0,2021-06-27 17:33:41.574356
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395-1,IND Section 08,3180,18,18,0.0,2021-06-27 17:33:43.919134
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395-1,IND Section 09,3181,18,18,0.0,2021-06-27 17:33:46.270879
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395-1,IND Section 10,3182,18,18,0.0,2021-06-27 17:33:48.686469
