Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Research Independent Study | CELLBIO 493,IND Section 01,7776,1,1,0.0,2021-06-27 17:16:03.970865
Research Independent Study | CELLBIO 493,IND Section 02,7777,1,1,0.0,2021-06-27 17:16:06.497611
Research Independent Study | CELLBIO 493,IND Section 03,7778,0,1,100.0,2021-06-27 17:16:09.242112
Research Independent Study | CELLBIO 493,IND Section 04,7779,1,1,0.0,2021-06-27 17:16:12.036596
Research Independent Study | CELLBIO 493,IND Section 05,7780,1,1,0.0,2021-06-27 17:16:15.009911
Research Independent Study | CELLBIO 493,IND Section 07,7781,1,1,0.0,2021-06-27 17:16:18.091236
Research Independent Study | CELLBIO 493,IND Section 08,7782,0,1,100.0,2021-06-27 17:16:20.582496
Research Independent Study | CELLBIO 493,IND Section 09,7783,1,1,0.0,2021-06-27 17:16:23.018165
Research Independent Study | CELLBIO 493,IND Section 10,7784,1,1,0.0,2021-06-27 17:16:25.496071
Research Independent Study | CELLBIO 493,IND Section 11,7785,1,1,0.0,2021-06-27 17:16:27.853516
Research Independent Study | CELLBIO 493,IND Section 12,7786,1,1,0.0,2021-06-27 17:16:30.240349
Research Independent Study | CELLBIO 493,IND Section 13,7787,0,1,100.0,2021-06-27 17:16:32.689438
Research Independent Study | CELLBIO 493,IND Section 14,7788,1,1,0.0,2021-06-27 17:16:35.132312
Research Independent Study | CELLBIO 493,IND Section 15,7789,1,1,0.0,2021-06-27 17:16:37.532084
Research Independent Study | CELLBIO 493,IND Section 16,7790,1,1,0.0,2021-06-27 17:16:39.843231
Research Independent Study | CELLBIO 493,IND Section 17,7791,0,1,100.0,2021-06-27 17:16:42.153088
Research Independent Study | CELLBIO 493,IND Section 18,7792,0,1,100.0,2021-06-27 17:16:44.473688
Research Independent Study | CELLBIO 493,IND Section 19,7793,0,1,100.0,2021-06-27 17:16:46.782152
Research Independent Study | CELLBIO 493,IND Section 20,7794,1,1,0.0,2021-06-27 17:16:49.088360
Research Independent Study | CELLBIO 493,IND Section 23,7795,1,1,0.0,2021-06-27 17:16:51.451816
Research Independent Study | CELLBIO 493,IND Section 24,7796,1,1,0.0,2021-06-27 17:16:53.808729
Research Independent Study | CELLBIO 493,IND Section 25,7797,1,1,0.0,2021-06-27 17:16:56.186538
Research Independent Study | CELLBIO 493,IND Section 26,7798,1,1,0.0,2021-06-27 17:16:58.550839
Research Independent Study | CELLBIO 493,IND Section 27,7799,1,1,0.0,2021-06-27 17:17:00.883700
Research Independent Study | CELLBIO 493,IND Section 28,7800,1,1,0.0,2021-06-27 17:17:03.199783
Research Independent Study | CELLBIO 493,IND Section 29,7801,1,1,0.0,2021-06-27 17:17:05.592509
Research Independent Study | CELLBIO 493,IND Section 30,7802,1,1,0.0,2021-06-27 17:17:07.979570
Research Independent Study | CELLBIO 493,IND Section 32,7803,0,1,100.0,2021-06-27 17:17:10.320080
Research Independent Study | CELLBIO 493,IND Section 34,7804,1,1,0.0,2021-06-27 17:17:12.631831
Research Independent Study | CELLBIO 493,IND Section 35,7805,1,1,0.0,2021-06-27 17:17:14.958322
Research Independent Study | CELLBIO 493,IND Section 36,7806,1,1,0.0,2021-06-27 17:17:17.283189
Research Independent Study | CELLBIO 493,IND Section 37,7807,1,1,0.0,2021-06-27 17:17:19.640003
Research Independent Study | CELLBIO 493,IND Section 38,7808,1,1,0.0,2021-06-27 17:17:21.994736
Research Independent Study | CELLBIO 493,IND Section 40,7809,1,1,0.0,2021-06-27 17:17:24.318264
Research Independent Study | CELLBIO 493,IND Section 41,7810,1,1,0.0,2021-06-27 17:17:26.629397
Research Independent Study | CELLBIO 493,IND Section 42,7811,1,1,0.0,2021-06-27 17:17:28.952448
Research Independent Study | CELLBIO 493,IND Section 43,7812,1,1,0.0,2021-06-27 17:17:31.307722
Research Independent Study | CELLBIO 493,IND Section 44,7813,0,1,100.0,2021-06-27 17:17:33.644942
Research Independent Study | CELLBIO 493,IND Section 45,7814,0,1,100.0,2021-06-27 17:17:35.958714
Research Independent Study | CELLBIO 493,IND Section 46,7815,0,1,100.0,2021-06-27 17:17:38.292768
Research Independent Study | CELLBIO 493,IND Section 47,7816,1,1,0.0,2021-06-27 17:17:40.665524
Research Independent Study | CELLBIO 493,IND Section 48,7817,0,1,100.0,2021-06-27 17:17:43.014181
Research Independent Study | CELLBIO 493,IND Section 49,7818,1,1,0.0,2021-06-27 17:17:45.345766
Research Independent Study | CELLBIO 493,IND Section 50,7819,1,1,0.0,2021-06-27 17:17:47.686139
Research Independent Study | CELLBIO 493,IND Section 51,7820,1,1,0.0,2021-06-27 17:17:50.026360
Research Independent Study | CELLBIO 493,IND Section 52,7821,1,1,0.0,2021-06-27 17:17:52.349325
Research Independent Study | CELLBIO 493,IND Section 54,7822,1,1,0.0,2021-06-27 17:17:54.696953
