Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Introduction to Research in Chemistry | CHEM 81S,SEM Section 01,9824,9,18,50.0,2021-06-27 18:14:04.969928
Core Concepts in Chemistry | CHEM 101DL,Lecture Section 001,4592,14,56,75.0,2021-06-27 18:14:07.371007
Core Concepts in Chemistry | CHEM 101DL,Lecture Section 002,4593,8,85,90.58823529411765,2021-06-27 18:14:09.759570
Core Concepts in Chemistry | CHEM 101DL,Discussion Section 10D,4594,13,56,76.78571428571429,2021-06-27 18:14:12.155927
Core Concepts in Chemistry | CHEM 101DL,Discussion Section 21D,4595,9,85,89.41176470588236,2021-06-27 18:14:14.591087
Core Concepts in Chemistry (Lab) | CHEM 101L9,Laboratory Section 211,4596,2,12,83.33333333333334,2021-06-27 18:14:16.967359
Core Concepts in Chemistry (Lab) | CHEM 101L9,Laboratory Section 212,4597,0,12,100.0,2021-06-27 18:14:19.392827
Core Concepts in Chemistry (Lab) | CHEM 101L9,Laboratory Section 311,4600,0,12,100.0,2021-06-27 18:14:21.760711
Core Concepts in Chemistry (Lab) | CHEM 101L9,Laboratory Section 312,4601,3,12,75.0,2021-06-27 18:14:24.127225
Core Concepts in Chemistry (Lab) | CHEM 101L9,Laboratory Section 411,4604,3,12,75.0,2021-06-27 18:14:26.489335
Core Concepts in Chemistry (Lab) | CHEM 101L9,Laboratory Section 412,4605,2,12,83.33333333333334,2021-06-27 18:14:28.838372
Core Concepts in Chemistry (Lab) | CHEM 101L9,Laboratory Section 611,4608,2,12,83.33333333333334,2021-06-27 18:14:31.197998
Core Concepts in Chemistry (Lab) | CHEM 101L9,Laboratory Section 612,4609,4,12,66.66666666666666,2021-06-27 18:14:33.535192
Core Concepts in Chemistry (Lab) | CHEM 101L9,Laboratory Section 711,4612,4,12,66.66666666666666,2021-06-27 18:14:35.881747
Core Concepts in Chemistry (Lab) | CHEM 101L9,Laboratory Section 812,4617,1,12,91.66666666666666,2021-06-27 18:14:38.218311
Core Concepts in Chemistry (Lab) | CHEM 101L9,Laboratory Section 941,4620,4,12,66.66666666666666,2021-06-27 18:14:40.559214
Core Concepts in Chemistry (Lab) | CHEM 101L9,Laboratory Section 942,4621,0,12,100.0,2021-06-27 18:14:42.882892
Organic Chemistry I | CHEM 201DL,Lecture Section 001,4624,38,100,62.0,2021-06-27 18:14:45.211705
