Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Programming and Problem Solving | COMPSCI 94,Lecture Section 01,10200,0,32,100.0,2021-06-27 17:18:43.115642
Introduction to Computer Science | COMPSCI 101L,Lecture Section 001,6673,84,240,65.0,2021-06-27 17:18:45.585481
Introduction to Computer Science | COMPSCI 101L,Lecture Section 002,6674,13,72,81.94444444444444,2021-06-27 17:18:48.043858
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 01L,6675,4,15,73.33333333333333,2021-06-27 17:18:50.429996
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 02L,6676,1,22,95.45454545454545,2021-06-27 17:18:52.786860
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 03L,6677,1,16,93.75,2021-06-27 17:18:55.140597
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 04L,6678,1,22,95.45454545454545,2021-06-27 17:18:57.505167
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 05L,6679,2,22,90.9090909090909,2021-06-27 17:18:59.864787
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 06L,6680,0,22,100.0,2021-06-27 17:19:02.206654
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 07L,6681,1,20,95.0,2021-06-27 17:19:04.554661
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 09L,6683,0,7,100.0,2021-06-27 17:19:06.895344
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 10L,6684,0,12,100.0,2021-06-27 17:19:09.235979
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 11L,6685,2,10,80.0,2021-06-27 17:19:11.589344
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 13L,6687,4,16,75.0,2021-06-27 17:19:13.947160
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 14L,6688,4,22,81.81818181818183,2021-06-27 17:19:16.343737
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 15L,6689,3,18,83.33333333333334,2021-06-27 17:19:18.700172
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 16L,6690,0,14,100.0,2021-06-27 17:19:21.023307
Introduction to Digital Feminism | COMPSCI 112S,SEM Section 01,5175,0,15,100.0,2021-06-27 17:19:23.368711
Topics in Computer Science | COMPSCI 190,Lecture Section 01,6692,10,30,66.66666666666666,2021-06-27 17:19:25.702480
Data Structures and Algorithms | COMPSCI 201,Lecture Section 001,6693,139,324,57.098765432098766,2021-06-27 17:19:28.048281
Data Structures and Algorithms | COMPSCI 201,Lecture Section 002,6694,9,100,91.0,2021-06-27 17:19:30.445130
Data Structures and Algorithms | COMPSCI 201,Discussion Section 01D,6695,14,27,48.148148148148145,2021-06-27 17:19:32.844102
Data Structures and Algorithms | COMPSCI 201,Discussion Section 02D,6696,4,27,85.18518518518519,2021-06-27 17:19:35.202248
Data Structures and Algorithms | COMPSCI 201,Discussion Section 03D,6697,4,27,85.18518518518519,2021-06-27 17:19:37.526578
Data Structures and Algorithms | COMPSCI 201,Discussion Section 04D,6698,6,27,77.77777777777779,2021-06-27 17:19:39.863764
Data Structures and Algorithms | COMPSCI 201,Discussion Section 05D,6699,9,27,66.66666666666666,2021-06-27 17:19:42.183520
Data Structures and Algorithms | COMPSCI 201,Discussion Section 06D,6700,15,27,44.44444444444444,2021-06-27 17:19:44.506986
Data Structures and Algorithms | COMPSCI 201,Discussion Section 07D,6701,2,27,92.5925925925926,2021-06-27 17:19:46.810964
