Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Studies in Special Topics | CULANTH 80S,SEM Section 01,5863,0,15,100.0,2021-06-27 17:16:23.259165
First-Year Seminar | CULANTH 89S,SEM Section 01,4064,1,15,93.33333333333333,2021-06-27 17:16:25.723838
Introduction to Cultural Anthropology | CULANTH 101,Lecture Section 01,5751,3,49,93.87755102040816,2021-06-27 17:16:28.204105
Introduction to Cultural Anthropology | CULANTH 101,Lecture Section 02,5752,13,25,48.0,2021-06-27 17:16:30.733918
Introduction to Cultural Anthropology | CULANTH 101,Lecture Section 03,11362,3,3,0.0,2021-06-27 17:16:33.209393
Introduction to Human Rights: Gateway for the Human Rights Certificate | CULANTH 104,Lecture Section 01,7730,3,25,88.0,2021-06-27 17:16:35.668699
Introduction to Human Rights: Gateway for the Human Rights Certificate | CULANTH 104,Lecture Section 02,7734,1,5,80.0,2021-06-27 17:16:38.049287
Introduction to African Studies (DS3 or DS4) | CULANTH 105,Lecture Section 01,5532,12,50,76.0,2021-06-27 17:16:40.406780
The Documentary Experience: A Video Approach | CULANTH 106S,SEM Section 01,3113,1,12,91.66666666666666,2021-06-27 17:16:42.774057
The Documentary Experience: A Video Approach | CULANTH 106S,SEM Section 02,3118,0,3,100.0,2021-06-27 17:16:45.137620
Introduction to Sustainable Development | CULANTH 107,Lecture Section 01,5753,15,30,50.0,2021-06-27 17:16:47.488580
Empires in Modern European History | CULANTH 140S,SEM Section 01,7083,3,18,83.33333333333334,2021-06-27 17:16:49.825375
Advertising and Society: Global Perspective (DS4) | CULANTH 170,Lecture Section 01,10846,0,32,100.0,2021-06-27 17:16:52.265397
Comparative Approaches to Global Issues | CULANTH 195,Lecture Section 01,5403,7,44,84.0909090909091,2021-06-27 17:16:54.755180
Comparative Approaches to Global Issues | CULANTH 195,Lecture Section 02,5408,3,5,40.0,2021-06-27 17:16:57.193412
Introduction to Linguistics | CULANTH 201,Lecture Section 01,4386,3,15,80.0,2021-06-27 17:16:59.552883
Introduction to Linguistics | CULANTH 201,Lecture Section 02,4387,1,15,93.33333333333333,2021-06-27 17:17:01.900984
Introduction to Linguistics | CULANTH 201,Lecture Section 03,10288,5,22,77.27272727272727,2021-06-27 17:17:04.297440
Languages of the World | CULANTH 202,Lecture Section 01,4388,0,15,100.0,2021-06-27 17:17:06.646015
Languages of the World | CULANTH 202,Lecture Section 02,10289,1,15,93.33333333333333,2021-06-27 17:17:09.023396
The Law and Language | CULANTH 205,Lecture Section 01,4391,0,16,100.0,2021-06-27 17:17:11.353583
The Law and Language | CULANTH 205,Lecture Section 02,10885,0,10,100.0,2021-06-27 17:17:13.725116
Anthropology of Sports | CULANTH 207,LD Section 01,5754,0,28,100.0,2021-06-27 17:17:16.082444
Anthropology of Sports | CULANTH 207,LD Section 02,5755,0,2,100.0,2021-06-27 17:17:18.433670
"Arab Cultures: Literature, Politics, History | CULANTH 209",Lecture Section 01,6640,17,21,19.047619047619047,2021-06-27 17:17:20.768360
Global Culture | CULANTH 210,Lecture Section 01,5756,1,30,96.66666666666667,2021-06-27 17:17:23.138988
Gender and Language | CULANTH 232,Lecture Section 01,4393,1,16,93.75,2021-06-27 17:17:25.473678
Anthropology and Education | CULANTH 234S,SEM Section 01,5149,0,18,100.0,2021-06-27 17:17:27.797381
"Farmworkers in North Carolina: Roots of Poverty, Roots of Change | CULANTH 236S",SEM Section 01,3147,2,15,86.66666666666667,2021-06-27 17:17:30.166972
Love and Loneliness: What's Happening to Relationships in the Twenty-First Century? | CULANTH 240,Lecture Section 01,5757,0,35,100.0,2021-06-27 17:17:32.487494
Islamic Civilization I | CULANTH 256,Lecture Section 01,7269,34,45,24.444444444444443,2021-06-27 17:17:34.831800
Documenting Black Experiences | CULANTH 262S,SEM Section 01,3153,1,14,92.85714285714286,2021-06-27 17:17:37.142272
Gender and Culture | CULANTH 271,Lecture Section 01,10317,13,25,48.0,2021-06-27 17:17:39.514462
Gender and Culture | CULANTH 271,Lecture Section 02,10320,2,5,60.0,2021-06-27 17:17:41.871353
"Istanbul: Religion, Politics and Cosmopolitanism | CULANTH 283S",SEM Section 01,6643,12,15,20.0,2021-06-27 17:17:44.206002
Current Issues in Anthropology | CULANTH 290S,SEM Section 01,4288,11,18,38.88888888888889,2021-06-27 17:17:46.529164
Independent Study | CULANTH 291,IND Section 01,5758,10,10,0.0,2021-06-27 17:17:48.868584
Independent Study | CULANTH 291,IND Section 02,5759,10,10,0.0,2021-06-27 17:17:51.186047
Independent Study | CULANTH 291,IND Section 03,5760,10,10,0.0,2021-06-27 17:17:53.567845
Independent Study | CULANTH 291,IND Section 04,5761,10,10,0.0,2021-06-27 17:17:56.138421
Independent Study | CULANTH 291,IND Section 05,5762,8,10,20.0,2021-06-27 17:17:58.595935
Independent Study | CULANTH 291,IND Section 06,5763,10,10,0.0,2021-06-27 17:18:01.051287
Independent Study | CULANTH 291,IND Section 07,5764,10,10,0.0,2021-06-27 17:18:03.567722
Independent Study | CULANTH 291,IND Section 08,5765,10,10,0.0,2021-06-27 17:18:06.002663
Independent Study | CULANTH 291,IND Section 09,5766,10,10,0.0,2021-06-27 17:18:08.486049
Independent Study | CULANTH 291,IND Section 10,5767,10,10,0.0,2021-06-27 17:18:10.901407
Independent Study | CULANTH 291,IND Section 11,5768,10,10,0.0,2021-06-27 17:18:13.377206
Independent Study | CULANTH 291,IND Section 12,5769,10,10,0.0,2021-06-27 17:18:15.883922
Independent Study | CULANTH 291,IND Section 13,5770,10,10,0.0,2021-06-27 17:18:18.413198
Independent Study | CULANTH 291,IND Section 14,5771,10,10,0.0,2021-06-27 17:18:20.935827
Independent Study | CULANTH 291,IND Section 15,5772,10,10,0.0,2021-06-27 17:18:23.514840
Independent Study | CULANTH 291,IND Section 16,5773,10,10,0.0,2021-06-27 17:18:26.264378
Independent Study | CULANTH 291,IND Section 17,5774,10,10,0.0,2021-06-27 17:18:28.874813
Independent Study | CULANTH 291,IND Section 20,5775,5,5,0.0,2021-06-27 17:18:31.532516
Independent Study | CULANTH 291,IND Section 21,5776,5,5,0.0,2021-06-27 17:18:33.948207
Independent Study | CULANTH 291,IND Section 98,5777,10,10,0.0,2021-06-27 17:18:36.364304
Research Independent Study | CULANTH 293,IND Section 01,5778,10,10,0.0,2021-06-27 17:18:38.868398
Research Independent Study | CULANTH 293,IND Section 02,5779,10,10,0.0,2021-06-27 17:18:41.303108
Research Independent Study | CULANTH 293,IND Section 03,5780,10,10,0.0,2021-06-27 17:18:43.667848
Research Independent Study | CULANTH 293,IND Section 04,5781,10,10,0.0,2021-06-27 17:18:46.178850
Research Independent Study | CULANTH 293,IND Section 05,5782,10,10,0.0,2021-06-27 17:18:48.584736
Research Independent Study | CULANTH 293,IND Section 06,5783,10,10,0.0,2021-06-27 17:18:50.984791
Research Independent Study | CULANTH 293,IND Section 07,5784,10,10,0.0,2021-06-27 17:18:53.403257
Research Independent Study | CULANTH 293,IND Section 08,5785,10,10,0.0,2021-06-27 17:18:55.812559
Research Independent Study | CULANTH 293,IND Section 09,5786,10,10,0.0,2021-06-27 17:18:58.193577
Research Independent Study | CULANTH 293,IND Section 10,5787,10,10,0.0,2021-06-27 17:19:00.580888
Research Independent Study | CULANTH 293,IND Section 11,5788,10,10,0.0,2021-06-27 17:19:02.968827
Research Independent Study | CULANTH 293,IND Section 12,5789,10,10,0.0,2021-06-27 17:19:05.382963
Research Independent Study | CULANTH 293,IND Section 13,5790,10,10,0.0,2021-06-27 17:19:07.769812
Research Independent Study | CULANTH 293,IND Section 14,5791,10,10,0.0,2021-06-27 17:19:10.121496
Research Independent Study | CULANTH 293,IND Section 15,5792,10,10,0.0,2021-06-27 17:19:12.486494
Research Independent Study | CULANTH 293,IND Section 16,5793,10,10,0.0,2021-06-27 17:19:14.837944
Research Independent Study | CULANTH 293,IND Section 17,5794,10,10,0.0,2021-06-27 17:19:17.199746
Research Independent Study | CULANTH 293,IND Section 18,5795,10,10,0.0,2021-06-27 17:19:19.606705
Research Independent Study | CULANTH 293,IND Section 20,5796,5,5,0.0,2021-06-27 17:19:22.093491
Research Independent Study | CULANTH 293,IND Section 21,5797,10,10,0.0,2021-06-27 17:19:24.410438
Research Independent Study | CULANTH 293,IND Section 98,5798,9,10,10.0,2021-06-27 17:19:26.712576
Anthropology of Childhood | CULANTH 295S,SEM Section 01,5799,2,15,86.66666666666667,2021-06-27 17:19:29.059643
Global Humanitarianism | CULANTH 298S,SEM Section 01,5415,6,15,60.0,2021-06-27 17:19:31.365610
Global Humanitarianism | CULANTH 298S,SEM Section 02,5417,1,2,50.0,2021-06-27 17:19:33.678378
Theoretical Foundations of Cultural Anthropology | CULANTH 301,Lecture Section 01,5801,2,15,86.66666666666667,2021-06-27 17:19:35.987472
Fieldwork Methods: Cultural Analysis and Interpretation | CULANTH 302,Lecture Section 01,5803,13,28,53.57142857142857,2021-06-27 17:19:38.308219
Theory Today: Introduction to the Study of Literature | CULANTH 303S,SEM Section 01,6157,3,18,83.33333333333334,2021-06-27 17:19:40.646001
White People: In Anthropological Perspective | CULANTH 305S,SEM Section 01,5547,3,18,83.33333333333334,2021-06-27 17:19:42.962842
"Health, Culture, and the Latino Community | CULANTH 306",Lecture Section 01,9443,1,15,93.33333333333333,2021-06-27 17:19:45.276917
"Imagining Human Rights: Science Fiction, Culture, and the Creation of Rights | CULANTH 308S",SEM Section 01,10798,0,15,100.0,2021-06-27 17:19:47.646439
"Imagining Human Rights: Science Fiction, Culture, and the Creation of Rights | CULANTH 308S",SEM Section 02,10803,0,1,100.0,2021-06-27 17:19:50.107566
Conflict Analysis in Africa (Case Studies) | CULANTH 310S,SEM Section 01,5538,1,18,94.44444444444444,2021-06-27 17:19:52.450247
"Dancing States of Mind: The Self, Social and Political Practice of Dance | CULANTH 311S",SEM Section 02,5742,9,18,50.0,2021-06-27 17:19:54.828060
War and Public Health in Africa | CULANTH 312,Lecture Section 01,10310,3,18,83.33333333333334,2021-06-27 17:19:57.165498
Fundamentals of Global Mental Health | CULANTH 323,Lecture Section 01,10413,3,38,92.10526315789474,2021-06-27 17:19:59.500248
Migrations | CULANTH 327S,SEM Section 01,5805,12,15,20.0,2021-06-27 17:20:01.814628
Undocumented America in Literature | CULANTH 329S,SEM Section 01,5092,5,12,58.333333333333336,2021-06-27 17:20:04.136250
Narratives of Migration | CULANTH 330S,SEM Section 01,5688,1,12,91.66666666666666,2021-06-27 17:20:06.491740
The History of Hip-Hop | CULANTH 335,Lecture Section 01,5543,0,130,100.0,2021-06-27 17:20:08.809445
The University as a Culture: A Survivor's Guide | CULANTH 347S,SEM Section 01,5806,4,15,73.33333333333333,2021-06-27 17:20:11.117005
Anthropology of Money | CULANTH 350,Lecture Section 01,5807,1,70,98.57142857142858,2021-06-27 17:20:13.431671
"African Cities, Development, and Climate Change | CULANTH 361S",SEM Section 01,5552,9,18,50.0,2021-06-27 17:20:15.743889
"Mayas, Aztecs, and Incas: The World According to the Indigenous People of Latin America | CULANTH 367S",SEM Section 01,9457,0,18,100.0,2021-06-27 17:20:18.060339
Global Russia | CULANTH 399,Lecture Section 01,11865,9,16,43.75,2021-06-27 17:20:20.421706
Global Russia | CULANTH 399,Lecture Section 02,11869,18,20,10.0,2021-06-27 17:20:22.783743
Indigenous Americas | CULANTH 401S,SEM Section 01,10326,2,15,86.66666666666667,2021-06-27 17:20:25.125136
Indigenous Americas | CULANTH 401S,SEM Section 02,10329,0,3,100.0,2021-06-27 17:20:27.476427
"Meaning, Mattering, and Black Being-in-the-World: Towards a Critical Theory of Race and Value | CULANTH 418S",SEM Section 01,5420,0,18,100.0,2021-06-27 17:20:29.788997
Global Environmentalism and the Politics of Nature | CULANTH 419S,SEM Section 01,5810,7,15,53.333333333333336,2021-06-27 17:20:32.115150
Medical Anthropology | CULANTH 424-1,Lecture Section 01,5811,2,15,86.66666666666667,2021-06-27 17:20:34.445262
Medical Anthropology | CULANTH 424-1,Lecture Section 02,5812,3,15,80.0,2021-06-27 17:20:36.792402
Capstone: Research in Human Rights | CULANTH 470S,SEM Section 01,10851,10,18,44.44444444444444,2021-06-27 17:20:39.185625
Senior Seminar Distinction Program Sequence | CULANTH 499S,SEM Section 01,5813,3,10,70.0,2021-06-27 17:20:41.532733
Studies in Special Topics | CULANTH 80S,SEM Section 01,5863,0,15,100.0,2021-06-27 18:11:00.005835
First-Year Seminar | CULANTH 89S,SEM Section 01,4064,1,15,93.33333333333333,2021-06-27 18:11:02.418195
Introduction to Cultural Anthropology | CULANTH 101,Lecture Section 01,5751,3,49,93.87755102040816,2021-06-27 18:11:04.814100
Introduction to Cultural Anthropology | CULANTH 101,Lecture Section 02,5752,13,25,48.0,2021-06-27 18:11:07.182878
Introduction to Cultural Anthropology | CULANTH 101,Lecture Section 03,11362,3,3,0.0,2021-06-27 18:11:09.609680
Introduction to Human Rights: Gateway for the Human Rights Certificate | CULANTH 104,Lecture Section 01,7730,3,25,88.0,2021-06-27 18:11:11.982903
Introduction to Human Rights: Gateway for the Human Rights Certificate | CULANTH 104,Lecture Section 02,7734,1,5,80.0,2021-06-27 18:11:14.342465
Introduction to African Studies (DS3 or DS4) | CULANTH 105,Lecture Section 01,5532,12,50,76.0,2021-06-27 18:11:16.725158
The Documentary Experience: A Video Approach | CULANTH 106S,SEM Section 01,3113,1,12,91.66666666666666,2021-06-27 18:11:19.080741
The Documentary Experience: A Video Approach | CULANTH 106S,SEM Section 02,3118,0,3,100.0,2021-06-27 18:11:21.477222
Introduction to Sustainable Development | CULANTH 107,Lecture Section 01,5753,15,30,50.0,2021-06-27 18:11:23.824752
Empires in Modern European History | CULANTH 140S,SEM Section 01,7083,3,18,83.33333333333334,2021-06-27 18:11:26.162664
Advertising and Society: Global Perspective (DS4) | CULANTH 170,Lecture Section 01,10846,0,32,100.0,2021-06-27 18:11:28.584698
Comparative Approaches to Global Issues | CULANTH 195,Lecture Section 01,5403,7,44,84.0909090909091,2021-06-27 18:11:30.920303
Comparative Approaches to Global Issues | CULANTH 195,Lecture Section 02,5408,3,5,40.0,2021-06-27 18:11:33.260096
Introduction to Linguistics | CULANTH 201,Lecture Section 01,4386,3,15,80.0,2021-06-27 18:11:35.623386
Introduction to Linguistics | CULANTH 201,Lecture Section 02,4387,1,15,93.33333333333333,2021-06-27 18:11:37.999711
Introduction to Linguistics | CULANTH 201,Lecture Section 03,10288,5,22,77.27272727272727,2021-06-27 18:11:40.365809
Languages of the World | CULANTH 202,Lecture Section 01,4388,0,15,100.0,2021-06-27 18:11:42.709498
Languages of the World | CULANTH 202,Lecture Section 02,10289,1,15,93.33333333333333,2021-06-27 18:11:45.089448
The Law and Language | CULANTH 205,Lecture Section 01,4391,0,16,100.0,2021-06-27 18:11:47.424642
The Law and Language | CULANTH 205,Lecture Section 02,10885,0,10,100.0,2021-06-27 18:11:49.825554
Anthropology of Sports | CULANTH 207,LD Section 01,5754,0,28,100.0,2021-06-27 18:11:52.180134
Anthropology of Sports | CULANTH 207,LD Section 02,5755,0,2,100.0,2021-06-27 18:11:54.512870
"Arab Cultures: Literature, Politics, History | CULANTH 209",Lecture Section 01,6640,17,21,19.047619047619047,2021-06-27 18:11:56.873693
Global Culture | CULANTH 210,Lecture Section 01,5756,1,30,96.66666666666667,2021-06-27 18:11:59.199294
Gender and Language | CULANTH 232,Lecture Section 01,4393,1,16,93.75,2021-06-27 18:12:01.570634
Anthropology and Education | CULANTH 234S,SEM Section 01,5149,0,18,100.0,2021-06-27 18:12:03.895383
"Farmworkers in North Carolina: Roots of Poverty, Roots of Change | CULANTH 236S",SEM Section 01,3147,2,15,86.66666666666667,2021-06-27 18:12:06.230164
Love and Loneliness: What's Happening to Relationships in the Twenty-First Century? | CULANTH 240,Lecture Section 01,5757,0,35,100.0,2021-06-27 18:12:08.589092
Islamic Civilization I | CULANTH 256,Lecture Section 01,7269,34,45,24.444444444444443,2021-06-27 18:12:11.002751
Documenting Black Experiences | CULANTH 262S,SEM Section 01,3153,1,14,92.85714285714286,2021-06-27 18:12:13.378975
Gender and Culture | CULANTH 271,Lecture Section 01,10317,13,25,48.0,2021-06-27 18:12:15.745546
Gender and Culture | CULANTH 271,Lecture Section 02,10320,2,5,60.0,2021-06-27 18:12:18.113835
"Istanbul: Religion, Politics and Cosmopolitanism | CULANTH 283S",SEM Section 01,6643,12,15,20.0,2021-06-27 18:12:20.436790
Current Issues in Anthropology | CULANTH 290S,SEM Section 01,4288,11,18,38.88888888888889,2021-06-27 18:12:22.790963
Independent Study | CULANTH 291,IND Section 01,5758,10,10,0.0,2021-06-27 18:12:25.196762
