Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First-Year Seminar | DANCE 89S,SEM Section 04,8742,7,18,61.111111111111114,2021-06-27 17:21:23.415287
Elementary Modern Dance | DANCE 110,STU Section 01,5692,1,9,88.88888888888889,2021-06-27 17:21:25.812424
Beginning Ballet | DANCE 120,STU Section 01,5693,0,6,100.0,2021-06-27 17:21:28.261407
Intermediate Ballet | DANCE 122,STU Section 01,5694,0,10,100.0,2021-06-27 17:21:30.633631
Intermediate Ballet | DANCE 122,STU Section 02,11327,7,10,30.0,2021-06-27 17:21:33.036531
African Dance Technique I | DANCE 130,STU Section 01,5695,4,10,60.0,2021-06-27 17:21:35.382848
Experimental Sculpture and Installation Art | DANCE 135,Lecture Section 01,3516,0,14,100.0,2021-06-27 17:21:37.746473
Kundalini Yoga | DANCE 151,STU Section 01,5697,0,7,100.0,2021-06-27 17:21:40.062521
Kundalini Yoga | DANCE 151,STU Section 02,5698,4,8,50.0,2021-06-27 17:21:42.386635
Let's Dance! Live Art and Performance | DANCE 165,Lecture Section 01,5699,6,9,33.33333333333333,2021-06-27 17:21:44.754300
Let's Dance! Live Art and Performance | DANCE 165,Lecture Section 02,5700,9,9,0.0,2021-06-27 17:21:47.079779
Arts Entrepreneurship | DANCE 201S,SEM Section 01,4290,3,18,83.33333333333334,2021-06-27 17:21:49.379144
Non-Profit Cultural Institutions | DANCE 208S,SEM Section 01,7868,1,16,93.75,2021-06-27 17:21:51.708850
African Dance Technique II | DANCE 230,STU Section 01,5701,6,10,40.0,2021-06-27 17:21:54.037110
Jazz Dance II | DANCE 240,STU Section 01,5702,0,10,100.0,2021-06-27 17:21:56.409040
Individual Dance Program: Special Topics | DANCE 280,TUT Section 01,5703,5,5,0.0,2021-06-27 17:21:58.755961
Individual Dance Program: Special Topics | DANCE 280,TUT Section 02,5704,4,5,20.0,2021-06-27 17:22:01.098538
Individual Dance Program: Special Topics | DANCE 280,TUT Section 03,5705,5,5,0.0,2021-06-27 17:22:03.519903
Individual Dance Program: Special Topics | DANCE 280,TUT Section 04,5706,5,5,0.0,2021-06-27 17:22:05.827736
Individual Dance Program: Special Topics | DANCE 280,TUT Section 05,5707,5,5,0.0,2021-06-27 17:22:08.146520
Individual Dance Program: Special Topics | DANCE 280,TUT Section 06,5708,5,5,0.0,2021-06-27 17:22:10.468542
Individual Dance Program: Special Topics | DANCE 280,TUT Section 07,5709,5,5,0.0,2021-06-27 17:22:12.799236
Individual Dance Program: Special Topics | DANCE 280,TUT Section 08,5710,10,10,0.0,2021-06-27 17:22:15.118613
Individual Dance Program: Special Topics | DANCE 280,TUT Section 09,10198,5,5,0.0,2021-06-27 17:22:17.484477
Special Topics Seminar | DANCE 290S,SEM Section 01,7863,8,11,27.27272727272727,2021-06-27 17:22:19.816887
Special Topics Seminar | DANCE 290S,SEM Section 05,5711,7,11,36.36363636363637,2021-06-27 17:22:22.180853
Dance for the Camera | DANCE 306S,SEM Section 01,5712,5,8,37.5,2021-06-27 17:22:24.498952
Performance and Technology: Composition Workshop | DANCE 308,Lecture Section 01,5713,1,10,90.0,2021-06-27 17:22:26.836462
Performance and Technology: Composition Workshop | DANCE 308,Lecture Section 02,5714,0,15,100.0,2021-06-27 17:22:29.187617
"Dancing States of Mind: The Self, Social and Political Practice of Dance | DANCE 309S",SEM Section 02,5716,9,18,50.0,2021-06-27 17:22:31.525730
Advanced Modern Dance | DANCE 310,STU Section 01,9967,0,15,100.0,2021-06-27 17:22:33.925419
Advanced Ballet | DANCE 320,STU Section 01,11410,1,10,90.0,2021-06-27 17:22:36.292118
Dance and Dance Theater of Asia | DANCE 356,Lecture Section 01,5717,0,10,100.0,2021-06-27 17:22:38.646411
Independent Study | DANCE 391,IND Section 01,10876,5,5,0.0,2021-06-27 17:22:41.042288
Independent Study | DANCE 391,IND Section 02,11181,4,5,20.0,2021-06-27 17:22:43.417542
Pedagogies of Dance | DANCE 403S,SEM Section 01,7738,3,10,70.0,2021-06-27 17:22:45.766748
Performance: Modern | DANCE 412,STU Section 01,5718,10,16,37.5,2021-06-27 17:22:48.103633
Performance: African | DANCE 432,STU Section 01,5719,8,10,20.0,2021-06-27 17:22:50.479531
Performance: Jazz | DANCE 442,STU Section 01,9968,2,10,80.0,2021-06-27 17:22:52.813552
Performance: Interdisciplinary - Time Slips Community Engagement | DANCE 462,STU Section 01,5720,13,20,35.0,2021-06-27 17:22:55.194322
Performance: Interdisciplinary - Time Slips Community Engagement | DANCE 462,STU Section 02,10199,7,10,30.0,2021-06-27 17:22:57.578701
Capstone: Senior Project | DANCE 489T,TUT Section 01,10661,4,5,20.0,2021-06-27 17:22:59.959625
Capstone: Senior Project | DANCE 489T,TUT Section 02,10663,4,5,20.0,2021-06-27 17:23:02.338896
Capstone: Senior Project | DANCE 489T,TUT Section 03,10664,5,5,0.0,2021-06-27 17:23:04.699520
Capstone: Senior Project | DANCE 489T,TUT Section 04,10665,4,5,20.0,2021-06-27 17:23:07.075336
First-Year Seminar | DANCE 89S,SEM Section 04,8742,7,18,61.111111111111114,2021-06-27 18:15:56.910051
Elementary Modern Dance | DANCE 110,STU Section 01,5692,1,9,88.88888888888889,2021-06-27 18:15:59.351617
Beginning Ballet | DANCE 120,STU Section 01,5693,0,6,100.0,2021-06-27 18:16:01.809338
Intermediate Ballet | DANCE 122,STU Section 01,5694,0,10,100.0,2021-06-27 18:16:04.243484
Intermediate Ballet | DANCE 122,STU Section 02,11327,7,10,30.0,2021-06-27 18:16:06.767829
African Dance Technique I | DANCE 130,STU Section 01,5695,4,10,60.0,2021-06-27 18:16:09.122057
Experimental Sculpture and Installation Art | DANCE 135,Lecture Section 01,3516,0,14,100.0,2021-06-27 18:16:11.469659
Kundalini Yoga | DANCE 151,STU Section 01,5697,0,7,100.0,2021-06-27 18:16:13.794287
Kundalini Yoga | DANCE 151,STU Section 02,5698,4,8,50.0,2021-06-27 18:16:16.107676
Let's Dance! Live Art and Performance | DANCE 165,Lecture Section 01,5699,6,9,33.33333333333333,2021-06-27 18:16:18.457866
Let's Dance! Live Art and Performance | DANCE 165,Lecture Section 02,5700,9,9,0.0,2021-06-27 18:16:20.960768
Arts Entrepreneurship | DANCE 201S,SEM Section 01,4290,3,18,83.33333333333334,2021-06-27 18:16:23.304536
Non-Profit Cultural Institutions | DANCE 208S,SEM Section 01,7868,1,16,93.75,2021-06-27 18:16:25.628977
African Dance Technique II | DANCE 230,STU Section 01,5701,6,10,40.0,2021-06-27 18:16:28.026417
Jazz Dance II | DANCE 240,STU Section 01,5702,0,10,100.0,2021-06-27 18:16:30.488805
Individual Dance Program: Special Topics | DANCE 280,TUT Section 01,5703,5,5,0.0,2021-06-27 18:16:33.076830
Individual Dance Program: Special Topics | DANCE 280,TUT Section 02,5704,4,5,20.0,2021-06-27 18:16:36.382628
Individual Dance Program: Special Topics | DANCE 280,TUT Section 03,5705,5,5,0.0,2021-06-27 18:16:38.809403
Individual Dance Program: Special Topics | DANCE 280,TUT Section 04,5706,5,5,0.0,2021-06-27 18:16:41.372158
Individual Dance Program: Special Topics | DANCE 280,TUT Section 05,5707,5,5,0.0,2021-06-27 18:16:43.786697
Individual Dance Program: Special Topics | DANCE 280,TUT Section 06,5708,5,5,0.0,2021-06-27 18:16:46.213053
Individual Dance Program: Special Topics | DANCE 280,TUT Section 07,5709,5,5,0.0,2021-06-27 18:16:48.757301
Individual Dance Program: Special Topics | DANCE 280,TUT Section 08,5710,10,10,0.0,2021-06-27 18:16:51.241984
Individual Dance Program: Special Topics | DANCE 280,TUT Section 09,10198,5,5,0.0,2021-06-27 18:16:53.683273
Special Topics Seminar | DANCE 290S,SEM Section 01,7863,8,11,27.27272727272727,2021-06-27 18:16:56.131583
Special Topics Seminar | DANCE 290S,SEM Section 05,5711,7,11,36.36363636363637,2021-06-27 18:16:58.458803
Dance for the Camera | DANCE 306S,SEM Section 01,5712,5,8,37.5,2021-06-27 18:17:00.826872
Performance and Technology: Composition Workshop | DANCE 308,Lecture Section 01,5713,1,10,90.0,2021-06-27 18:17:03.158678
Performance and Technology: Composition Workshop | DANCE 308,Lecture Section 02,5714,0,15,100.0,2021-06-27 18:17:05.498006
"Dancing States of Mind: The Self, Social and Political Practice of Dance | DANCE 309S",SEM Section 02,5716,9,18,50.0,2021-06-27 18:17:08.064678
Advanced Modern Dance | DANCE 310,STU Section 01,9967,0,15,100.0,2021-06-27 18:17:10.980909
Advanced Ballet | DANCE 320,STU Section 01,11410,1,10,90.0,2021-06-27 18:17:13.666557
Dance and Dance Theater of Asia | DANCE 356,Lecture Section 01,5717,0,10,100.0,2021-06-27 18:17:16.043217
Independent Study | DANCE 391,IND Section 01,10876,5,5,0.0,2021-06-27 18:17:18.535338
Independent Study | DANCE 391,IND Section 02,11181,4,5,20.0,2021-06-27 18:17:20.977597
Pedagogies of Dance | DANCE 403S,SEM Section 01,7738,3,10,70.0,2021-06-27 18:17:23.354067
Performance: Modern | DANCE 412,STU Section 01,5718,10,16,37.5,2021-06-27 18:17:25.749915
Performance: African | DANCE 432,STU Section 01,5719,8,10,20.0,2021-06-27 18:17:28.083762
Performance: Jazz | DANCE 442,STU Section 01,9968,2,10,80.0,2021-06-27 18:17:30.449313
Performance: Interdisciplinary - Time Slips Community Engagement | DANCE 462,STU Section 01,5720,13,20,35.0,2021-06-27 18:17:32.806612
Performance: Interdisciplinary - Time Slips Community Engagement | DANCE 462,STU Section 02,10199,7,10,30.0,2021-06-27 18:17:35.186407
Capstone: Senior Project | DANCE 489T,TUT Section 01,10661,4,5,20.0,2021-06-27 18:17:37.534434
Capstone: Senior Project | DANCE 489T,TUT Section 02,10663,4,5,20.0,2021-06-27 18:17:39.881324
Capstone: Senior Project | DANCE 489T,TUT Section 03,10664,5,5,0.0,2021-06-27 18:17:42.255680
Capstone: Senior Project | DANCE 489T,TUT Section 04,10665,4,5,20.0,2021-06-27 18:17:44.631617
