Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First-Year Seminar | EDUC 89S,SEM Section 01,5145,0,18,100.0,2021-06-27 17:18:48.302009
First-Year Seminar | EDUC 89S,SEM Section 03,10540,0,18,100.0,2021-06-27 17:18:50.812175
Social and Philosophical Foundations of Education | EDUC 101,Lecture Section 01,5093,4,35,88.57142857142857,2021-06-27 17:18:53.230944
Social and Philosophical Foundations of Education | EDUC 101,Lecture Section 02,5094,21,30,30.0,2021-06-27 17:18:55.630964
Anthropology and Education | EDUC 234S,SEM Section 01,5095,0,18,100.0,2021-06-27 17:18:58.007711
Educational Psychology | EDUC 240,Lecture Section 01,5096,0,30,100.0,2021-06-27 17:19:00.390762
Educational Psychology | EDUC 240,Lecture Section 02,5097,0,30,100.0,2021-06-27 17:19:02.759528
"Literacy, Writing, Tutoring | EDUC 255S",SEM Section 01,5633,0,12,100.0,2021-06-27 17:19:05.117986
Critical Pedagogy of Hip Hop | EDUC 285S,SEM Section 01,11159,0,18,100.0,2021-06-27 17:19:07.528368
Freshman-Sophomore Tutorials (TOP) | EDUC 290T,TUT Section 01,5099,5,5,0.0,2021-06-27 17:19:09.874383
Freshman-Sophomore Tutorials (TOP) | EDUC 290T,TUT Section 02,5100,5,5,0.0,2021-06-27 17:19:12.212160
Freshman-Sophomore Tutorials (TOP) | EDUC 290T,TUT Section 03,5101,5,5,0.0,2021-06-27 17:19:14.562420
Freshman-Sophomore Tutorials (TOP) | EDUC 290T,TUT Section 04,5102,5,5,0.0,2021-06-27 17:19:16.944052
Freshman-Sophomore Tutorials (TOP) | EDUC 290T,TUT Section 05,5103,5,5,0.0,2021-06-27 17:19:19.301149
Freshman-Sophomore Tutorials (TOP) | EDUC 290T,TUT Section 06,5104,5,5,0.0,2021-06-27 17:19:21.623251
De/Re/Segregation in Education: A Case of Back to the Future? | EDUC 303S,SEM Section 01,5105,0,18,100.0,2021-06-27 17:19:23.941669
Issues of Education and Immigration | EDUC 307S,SEM Section 01,9448,2,15,86.66666666666667,2021-06-27 17:19:26.261661
Legal Issues in Education | EDUC 333S,SEM Section 01,5106,1,18,94.44444444444444,2021-06-27 17:19:28.597112
The University as a Culture: A Survivor's Guide | EDUC 347S,SEM Section 01,5877,4,15,73.33333333333333,2021-06-27 17:19:30.897489
Junior-Senior Tutorials | EDUC 390T-2,TUT Section 01,5107,5,5,0.0,2021-06-27 17:19:33.227034
Junior-Senior Tutorials | EDUC 390T-2,TUT Section 02,5108,1,5,80.0,2021-06-27 17:19:35.547548
Junior-Senior Tutorials | EDUC 390T-2,TUT Section 03,5109,5,5,0.0,2021-06-27 17:19:37.927511
Junior-Senior Tutorials | EDUC 390T-2,TUT Section 04,5110,5,5,0.0,2021-06-27 17:19:40.256336
Junior-Senior Tutorials | EDUC 390T-2,TUT Section 05,5111,5,5,0.0,2021-06-27 17:19:42.600927
Junior-Senior Tutorials | EDUC 390T-2,TUT Section 06,5112,5,5,0.0,2021-06-27 17:19:44.914922
Independent Study | EDUC 391,IND Section 01,5113,5,5,0.0,2021-06-27 17:19:47.241193
