Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Research Independent Study | EHD 393,IND Section 01,6522,1,1,0.0,2021-06-27 17:23:44.805956
Bass Connections: Interdisciplinary Team Projects | EHD 396,IND Section 01,6523,12,18,33.33333333333333,2021-06-27 17:23:47.239500
Bass Connections: Interdisciplinary Team Projects | EHD 396,IND Section 05,6524,14,18,22.22222222222222,2021-06-27 17:23:49.614934
Bass Connections: Interdisciplinary Team Projects | EHD 396,IND Section 06,6525,12,18,33.33333333333333,2021-06-27 17:23:51.965282
Bass Connections: Interdisciplinary Team Projects | EHD 396,IND Section 07,6526,15,18,16.666666666666664,2021-06-27 17:23:54.344867
Bass Connections: Interdisciplinary Team Projects | EHD 396,IND Section 08,6527,14,18,22.22222222222222,2021-06-27 17:23:56.682366
Bass Connections: Interdisciplinary Team Projects | EHD 396,IND Section 09,6528,14,18,22.22222222222222,2021-06-27 17:23:59.002460
Bass Connections: Interdisciplinary Team Projects | EHD 396,IND Section 10,6529,10,18,44.44444444444444,2021-06-27 17:24:01.362928
Bass Connections: Interdisciplinary Team Projects | EHD 396,IND Section 11,6530,13,18,27.77777777777778,2021-06-27 17:24:03.761070
Bass Connections Education & Human Development Research Team | EHD 396T,TUT Section 01,6531,6,16,62.5,2021-06-27 17:24:06.168557
Bass Connections Education & Human Development Research Team | EHD 396T,TUT Section 02,6532,12,18,33.33333333333333,2021-06-27 17:24:08.564017
Research Independent Study | EHD 393,IND Section 01,6522,1,1,0.0,2021-06-27 18:18:31.556626
Bass Connections: Interdisciplinary Team Projects | EHD 396,IND Section 01,6523,12,18,33.33333333333333,2021-06-27 18:18:33.895361
Bass Connections: Interdisciplinary Team Projects | EHD 396,IND Section 05,6524,14,18,22.22222222222222,2021-06-27 18:18:36.260203
Bass Connections: Interdisciplinary Team Projects | EHD 396,IND Section 06,6525,12,18,33.33333333333333,2021-06-27 18:18:38.660230
Bass Connections: Interdisciplinary Team Projects | EHD 396,IND Section 07,6526,15,18,16.666666666666664,2021-06-27 18:18:41.010507
Bass Connections: Interdisciplinary Team Projects | EHD 396,IND Section 08,6527,14,18,22.22222222222222,2021-06-27 18:18:43.493888
Bass Connections: Interdisciplinary Team Projects | EHD 396,IND Section 09,6528,14,18,22.22222222222222,2021-06-27 18:18:45.916957
Bass Connections: Interdisciplinary Team Projects | EHD 396,IND Section 10,6529,10,18,44.44444444444444,2021-06-27 18:18:48.260604
Bass Connections: Interdisciplinary Team Projects | EHD 396,IND Section 11,6530,13,18,27.77777777777778,2021-06-27 18:18:50.614102
Bass Connections Education & Human Development Research Team | EHD 396T,TUT Section 01,6531,6,16,62.5,2021-06-27 18:18:52.962746
Bass Connections Education & Human Development Research Team | EHD 396T,TUT Section 02,6532,12,18,33.33333333333333,2021-06-27 18:18:55.316420
