Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Special Topics: First-Year Seminar | ENERGY 89S,SEM Section 01,7314,2,18,88.88888888888889,2021-06-27 17:21:03.282972
Economic Analysis of Current Energy Issues | ENERGY 325S,SEM Section 01,3783,1,18,94.44444444444444,2021-06-27 17:21:05.650870
Green Germany: World Leader in Environmental Policy | ENERGY 364,Lecture Section 01,4026,3,20,85.0,2021-06-27 17:21:08.022298
Green Germany: World Leader in Environmental Policy | ENERGY 364,Lecture Section 02,4029,0,5,100.0,2021-06-27 17:21:10.352250
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396,IND Section 01,7285,10,15,33.33333333333333,2021-06-27 17:21:12.674274
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396,IND Section 02,7286,7,15,53.333333333333336,2021-06-27 17:21:15.067355
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396,IND Section 03,7287,0,11,100.0,2021-06-27 17:21:17.389304
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396,IND Section 04,7288,12,15,20.0,2021-06-27 17:21:19.702619
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396,IND Section 05,7289,12,15,20.0,2021-06-27 17:21:22.025112
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396,IND Section 06,7290,12,15,20.0,2021-06-27 17:21:24.433767
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396,IND Section 07,7291,13,15,13.333333333333334,2021-06-27 17:21:26.759903
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396,IND Section 08,7292,13,15,13.333333333333334,2021-06-27 17:21:29.129936
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396,IND Section 09,7293,13,15,13.333333333333334,2021-06-27 17:21:31.475150
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396,IND Section 10,7294,11,15,26.666666666666668,2021-06-27 17:21:33.812969
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396,IND Section 11,7295,13,15,13.333333333333334,2021-06-27 17:21:36.222316
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396,IND Section 12,7296,8,15,46.666666666666664,2021-06-27 17:21:38.623827
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396,IND Section 13,10016,14,15,6.666666666666667,2021-06-27 17:21:41.175806
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396,IND Section 14,10883,9,10,10.0,2021-06-27 17:21:43.704729
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396-1,IND Section 08,11420,15,15,0.0,2021-06-27 17:21:46.187827
Bass Connections Energy & Environment Research Team | ENERGY 396T,TUT Section 01,7297,2,14,85.71428571428571,2021-06-27 17:21:48.536835
Bass Connections Energy & Environment Research Team | ENERGY 396T,TUT Section 02,7298,0,1,100.0,2021-06-27 17:21:50.906396
Special Topics: First-Year Seminar | ENERGY 89S,SEM Section 01,7314,2,18,88.88888888888889,2021-06-27 18:16:18.892684
Economic Analysis of Current Energy Issues | ENERGY 325S,SEM Section 01,3783,1,18,94.44444444444444,2021-06-27 18:16:21.424121
Green Germany: World Leader in Environmental Policy | ENERGY 364,Lecture Section 01,4026,3,20,85.0,2021-06-27 18:16:24.042976
Green Germany: World Leader in Environmental Policy | ENERGY 364,Lecture Section 02,4029,0,5,100.0,2021-06-27 18:16:26.686638
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396,IND Section 01,7285,10,15,33.33333333333333,2021-06-27 18:16:29.155669
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396,IND Section 02,7286,7,15,53.333333333333336,2021-06-27 18:16:31.780855
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396,IND Section 03,7287,0,11,100.0,2021-06-27 18:16:34.851584
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396,IND Section 04,7288,12,15,20.0,2021-06-27 18:16:37.355918
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396,IND Section 05,7289,12,15,20.0,2021-06-27 18:16:39.726524
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396,IND Section 06,7290,12,15,20.0,2021-06-27 18:16:42.257085
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396,IND Section 07,7291,13,15,13.333333333333334,2021-06-27 18:16:44.593725
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396,IND Section 08,7292,13,15,13.333333333333334,2021-06-27 18:16:46.974987
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396,IND Section 09,7293,13,15,13.333333333333334,2021-06-27 18:16:49.337954
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396,IND Section 10,7294,11,15,26.666666666666668,2021-06-27 18:16:51.835875
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396,IND Section 11,7295,13,15,13.333333333333334,2021-06-27 18:16:54.261636
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396,IND Section 12,7296,8,15,46.666666666666664,2021-06-27 18:16:56.704603
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396,IND Section 13,10016,14,15,6.666666666666667,2021-06-27 18:16:59.199500
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396,IND Section 14,10883,9,10,10.0,2021-06-27 18:17:01.691896
Connections in Energy: Interdisciplinary Team Projects | ENERGY 396-1,IND Section 08,11420,15,15,0.0,2021-06-27 18:17:04.144163
Bass Connections Energy & Environment Research Team | ENERGY 396T,TUT Section 01,7297,2,14,85.71428571428571,2021-06-27 18:17:06.951809
Bass Connections Energy & Environment Research Team | ENERGY 396T,TUT Section 02,7298,0,1,100.0,2021-06-27 18:17:09.790783
