Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Special Topics in Literature | ENGLISH 90S,SEM Section 02,5674,1,12,91.66666666666666,2021-06-27 17:22:12.141928
Special Topics in Literature | ENGLISH 90S,SEM Section 03,5675,3,12,75.0,2021-06-27 17:22:14.527622
The Art of Reading | ENGLISH 101S,SEM Section 01,5634,1,12,91.66666666666666,2021-06-27 17:22:16.920419
The Art of Reading | ENGLISH 101S,SEM Section 02,5635,2,12,83.33333333333334,2021-06-27 17:22:19.306880
The Art of Reading | ENGLISH 101S,SEM Section 03,5636,2,12,83.33333333333334,2021-06-27 17:22:21.676437
Introduction to Creative Writing | ENGLISH 110S,SEM Section 01,5638,0,12,100.0,2021-06-27 17:22:24.023912
Introduction to Creative Writing | ENGLISH 110S,SEM Section 02,5639,0,12,100.0,2021-06-27 17:22:26.435139
Introduction to Creative Writing | ENGLISH 110S,SEM Section 03,5640,0,12,100.0,2021-06-27 17:22:28.808276
Introduction to Creative Writing | ENGLISH 110S,SEM Section 04,11398,0,12,100.0,2021-06-27 17:22:31.197184
Introduction to Film Studies | ENGLISH 181,Lecture Section 01,10035,4,25,84.0,2021-06-27 17:22:33.619830
Special Topics in Language and Literature | ENGLISH 190S-1,SEM Section 01,6153,10,18,44.44444444444444,2021-06-27 17:22:35.989408
Special Topics in Language and Literature | ENGLISH 190S-1,SEM Section 02,6155,14,18,22.22222222222222,2021-06-27 17:22:38.345570
Variety in Language: English in the United States | ENGLISH 206,Lecture Section 01,4392,1,16,93.75,2021-06-27 17:22:40.774983
Variety in Language: English in the United States | ENGLISH 206,Lecture Section 02,10887,0,3,100.0,2021-06-27 17:22:43.172047
Criticism and the Arts | ENGLISH 208S,SEM Section 01,5641,2,12,83.33333333333334,2021-06-27 17:22:45.551099
Introduction to the Writing of Poetry | ENGLISH 220S,SEM Section 01,5642,0,12,100.0,2021-06-27 17:22:47.896979
Introduction to the Writing of Poetry | ENGLISH 220S,SEM Section 02,5643,1,12,91.66666666666666,2021-06-27 17:22:50.249518
Introduction to the Writing of Fiction | ENGLISH 221S,SEM Section 01,5644,0,12,100.0,2021-06-27 17:22:52.688498
Introduction to the Writing of Fiction | ENGLISH 221S,SEM Section 02,5645,1,12,91.66666666666666,2021-06-27 17:22:55.038932
Introduction to the Writing of Creative Non-Fiction | ENGLISH 222S,SEM Section 01,5646,0,10,100.0,2021-06-27 17:22:57.392844
Introduction to the Writing of Creative Non-Fiction | ENGLISH 222S,SEM Section 02,10693,0,2,100.0,2021-06-27 17:22:59.785358
Writing the Movie. Introduction to the Theory and Practice of Writing for the Screen | ENGLISH 225S,SEM Section 01,3555,0,15,100.0,2021-06-27 17:23:02.117333
Dramatic Writing | ENGLISH 226S,SEM Section 01,7860,2,16,87.5,2021-06-27 17:23:04.468629
Writing the Musical Book | ENGLISH 228S,SEM Section 01,7855,3,16,81.25,2021-06-27 17:23:06.805654
Shakespeare | ENGLISH 235,Lecture Section 01,5647,28,45,37.77777777777778,2021-06-27 17:23:09.144954
Shakespeare's Nature | ENGLISH 236S,SEM Section 01,5648,-1,12,108.33333333333333,2021-06-27 17:23:11.584088
America from Abroad: Literature and Cinema | ENGLISH 237,Lecture Section 01,9499,0,30,100.0,2021-06-27 17:23:14.057090
English Literature of the Romantic Period | ENGLISH 245,Lecture Section 01,5649,8,25,68.0,2021-06-27 17:23:16.572888
Social Marketing: From Literary Celebrities to Instagram Influencers | ENGLISH 253,Lecture Section 01,5442,4,40,90.0,2021-06-27 17:23:18.930372
Medieval Christianity in Film and Fiction | ENGLISH 254,Lecture Section 01,7257,35,45,22.22222222222222,2021-06-27 17:23:21.270460
Religion and the Novel in Modern India | ENGLISH 258,Lecture Section 01,7254,27,45,40.0,2021-06-27 17:23:23.632115
"Classics of American Literature, 1820-1860 | ENGLISH 269",Lecture Section 01,5650,17,20,15.0,2021-06-27 17:23:25.993703
Introduction to Asian American and Diaspora Studies | ENGLISH 275S,SEM Section 01,7747,0,12,100.0,2021-06-27 17:23:28.401428
American Apocalypse: Beat Generation Spirituality | ENGLISH 281,Lecture Section 01,7263,45,45,0.0,2021-06-27 17:23:30.768851
Book Publishing & Marketing: A Case Study of the Romance Fiction Industry | ENGLISH 284S,SEM Section 01,7108,0,18,100.0,2021-06-27 17:23:33.102891
Romantic Fairy Tales: Literary and Folk Fairy Tales from Grimms to Disney | ENGLISH 287,Lecture Section 01,4015,0,20,100.0,2021-06-27 17:23:35.536700
Romantic Fairy Tales: Literary and Folk Fairy Tales from Grimms to Disney | ENGLISH 287,Lecture Section 02,4017,0,15,100.0,2021-06-27 17:23:37.870984
Romantic Fairy Tales: Literary and Folk Fairy Tales from Grimms to Disney | ENGLISH 287,Lecture Section 03,4019,2,15,86.66666666666667,2021-06-27 17:23:40.277606
Romantic Fairy Tales: Literary and Folk Fairy Tales from Grimms to Disney | ENGLISH 287,Lecture Section 04,4021,0,15,100.0,2021-06-27 17:23:42.594523
Romantic Fairy Tales: Literary and Folk Fairy Tales from Grimms to Disney | ENGLISH 287,Lecture Section 05,11252,3,20,85.0,2021-06-27 17:23:44.967745
Special Topics in Language and Literature | ENGLISH 290S,SEM Section 01,5652,4,12,66.66666666666666,2021-06-27 17:23:47.321588
Special Topics in Creative Writing | ENGLISH 290S-4,SEM Section 01,5653,2,12,83.33333333333334,2021-06-27 17:23:49.657016
Special Topics in Creative Writing | ENGLISH 290S-4,SEM Section 02,5654,3,12,75.0,2021-06-27 17:23:51.970076
"Imagining Human Rights: Science Fiction, Culture, and the Creation of Rights | ENGLISH 301S",SEM Section 01,10800,0,15,100.0,2021-06-27 17:23:54.379218
"Imagining Human Rights: Science Fiction, Culture, and the Creation of Rights | ENGLISH 301S",SEM Section 02,10805,0,1,100.0,2021-06-27 17:23:56.738287
Intermediate Workshop in the Writing of Fiction | ENGLISH 321S,SEM Section 01,5655,1,12,91.66666666666666,2021-06-27 17:23:59.047841
Modern Drama: 1940-2000 | ENGLISH 365S,SEM Section 01,7869,11,16,31.25,2021-06-27 17:24:01.385258
Fictions That Mark the Moment | ENGLISH 379S,SEM Section 01,5537,6,18,66.66666666666666,2021-06-27 17:24:03.776509
The History of Hip-Hop | ENGLISH 381,Lecture Section 01,5546,0,130,100.0,2021-06-27 17:24:06.139017
Science Fiction Film | ENGLISH 386,Lecture Section 01,5656,0,30,100.0,2021-06-27 17:24:08.517797
Asian American Theatre | ENGLISH 387S,SEM Section 01,7857,1,8,87.5,2021-06-27 17:24:10.824978
Asian American Theatre | ENGLISH 387S,SEM Section 02,11377,0,8,100.0,2021-06-27 17:24:13.216369
Special Topics: Single American Author | ENGLISH 390-1,Lecture Section 01,5657,23,30,23.333333333333332,2021-06-27 17:24:15.763923
Special Topics in a Single American Author | ENGLISH 390S-1,SEM Section 01,5658,0,12,100.0,2021-06-27 17:24:18.218292
Special Topics in a Single American Author | ENGLISH 390S-1,SEM Section 02,5659,4,12,66.66666666666666,2021-06-27 17:24:20.670155
Narratives of Migration | ENGLISH 397S,SEM Section 01,5661,1,12,91.66666666666666,2021-06-27 17:24:23.072099
Digital Media Internship | ENGLISH 398,IND Section 01,11992,0,2,100.0,2021-06-27 17:24:25.510146
Advanced Workshop in the Writing of Poetry | ENGLISH 420S,SEM Section 01,5662,6,12,50.0,2021-06-27 17:24:27.934807
Understanding Mediation | ENGLISH 480S,SEM Section 01,6167,2,12,83.33333333333334,2021-06-27 17:24:30.346757
"Special Topics in Criticism, Theory, or Methodology | ENGLISH 490S-10",SEM Section 01,5664,0,12,100.0,2021-06-27 17:24:32.791505
Independent Study | ENGLISH 491,IND Section 01,11879,0,1,100.0,2021-06-27 17:24:35.339546
Research Independent Study | ENGLISH 493,IND Section 01,12039,0,1,100.0,2021-06-27 17:24:37.855007
Distinction Creative Writing Independent Study | ENGLISH 495,IND Section 02,10683,0,1,100.0,2021-06-27 17:24:40.465511
Distinction Creative Writing Independent Study | ENGLISH 495,IND Section 03,10684,0,1,100.0,2021-06-27 17:24:42.909722
Distinction Creative Writing Independent Study | ENGLISH 495,IND Section 04,10685,0,1,100.0,2021-06-27 17:24:45.370002
Distinction Creative Writing Independent Study | ENGLISH 495,IND Section 05,10686,0,1,100.0,2021-06-27 17:24:47.878862
Distinction Creative Writing Independent Study | ENGLISH 495,IND Section 06,10687,0,1,100.0,2021-06-27 17:24:50.484996
Distinction Creative Writing Independent Study | ENGLISH 495,IND Section 07,11367,0,1,100.0,2021-06-27 17:24:53.128277
Distinction Creative Writing Independent Study | ENGLISH 496,IND Section 01,11232,0,1,100.0,2021-06-27 17:24:55.569538
Distinction Critical Research Independent Study | ENGLISH 497,IND Section 03,11143,0,1,100.0,2021-06-27 17:24:58.014365
Distinction Critical Research Independent Study | ENGLISH 497,IND Section 04,10688,0,1,100.0,2021-06-27 17:25:00.439809
Distinction Critical Research Independent Study | ENGLISH 497,IND Section 05,10689,0,1,100.0,2021-06-27 17:25:02.849388
Distinction Critical Research Independent Study | ENGLISH 497,IND Section 06,10690,0,1,100.0,2021-06-27 17:25:05.229628
Distinction Critical Research Independent Study | ENGLISH 497,IND Section 08,11508,0,1,100.0,2021-06-27 17:25:07.622367
