Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
The Dynamic Earth | EOS 101,Lecture Section 01,8784,31,200,84.5,2021-06-27 17:16:05.352854
The Dynamic Oceans | EOS 102,Lecture Section 01,8781,57,200,71.5,2021-06-27 17:16:07.926146
"The Solid Earth: Minerals, Rocks, and Structural Geology | EOS 201L",Lecture Section 001,8789,8,12,33.33333333333333,2021-06-27 17:16:10.507549
"The Solid Earth: Minerals, Rocks, and Structural Geology | EOS 201L",Laboratory Section 01L,8790,8,12,33.33333333333333,2021-06-27 17:16:13.248770
Evolving Earth and Life | EOS 204L,Lecture Section 001,8785,9,40,77.5,2021-06-27 17:16:16.445173
Evolving Earth and Life | EOS 204L,Laboratory Section 01L,8786,9,40,77.5,2021-06-27 17:16:19.082505
Introduction to Atmospheric Chemistry: From Air Pollution to Climate Change | EOS 239,Lecture Section 01,9585,0,12,100.0,2021-06-27 17:16:21.457603
Introduction to Atmospheric Chemistry: From Air Pollution to Climate Change | EOS 239,Lecture Section 02,11299,9,10,10.0,2021-06-27 17:16:23.873751
Analysis of Ocean Ecosystems | EOS 272A,Lecture Section 01,5059,7,10,30.0,2021-06-27 17:16:26.354561
Analysis of Ocean Ecosystems | EOS 272A,Lecture Section 02,5061,0,2,100.0,2021-06-27 17:16:28.832691
Sound in the Sea: Introduction to Marine Bioacoustics | EOS 280LA,LL Section 01,5066,6,10,40.0,2021-06-27 17:16:31.221600
Sound in the Sea: Introduction to Marine Bioacoustics | EOS 280LA,LL Section 02,5069,5,5,0.0,2021-06-27 17:16:33.682458
"Waves, Beaches, and Coastline Dynamics | EOS 315",Lecture Section 01,8782,17,20,15.0,2021-06-27 17:16:36.050285
Global Warming | EOS 355D,Lecture Section 001,10001,9,44,79.54545454545455,2021-06-27 17:16:38.487199
Global Warming | EOS 355D,Discussion Section 01D,10042,2,22,90.9090909090909,2021-06-27 17:16:40.899430
Global Warming | EOS 355D,Discussion Section 02D,10196,7,22,68.18181818181817,2021-06-27 17:16:43.262443
Introduction to Weather and Climate | EOS 365,Lecture Section 01,8793,11,30,63.33333333333333,2021-06-27 17:16:45.575112
Marine Ecology | EOS 374LA,Laboratory Section 01,5063,0,8,100.0,2021-06-27 17:16:47.898953
Independent Study | EOS 391,IND Section 01,2768,0,1,100.0,2021-06-27 17:16:50.231553
Independent Study | EOS 391,IND Section 02,2769,1,1,0.0,2021-06-27 17:16:52.608456
Independent Study | EOS 391,IND Section 03,2770,1,1,0.0,2021-06-27 17:16:55.040919
Independent Study | EOS 391,IND Section 04,2771,1,1,0.0,2021-06-27 17:16:57.662762
Independent Study | EOS 391,IND Section 05,2772,3,3,0.0,2021-06-27 17:16:59.988269
Independent Study | EOS 391,IND Section 06,2773,5,5,0.0,2021-06-27 17:17:02.346183
Independent Study | EOS 391,IND Section 07,2774,5,5,0.0,2021-06-27 17:17:04.691407
Independent Study | EOS 391,IND Section 08,2775,5,5,0.0,2021-06-27 17:17:07.012504
Research Independent Study | EOS 393,IND Section 01,2776,4,4,0.0,2021-06-27 17:17:09.338417
Research Independent Study | EOS 393,IND Section 02,2777,4,4,0.0,2021-06-27 17:17:11.670024
Research Independent Study | EOS 393,IND Section 03,2778,4,4,0.0,2021-06-27 17:17:13.995941
Research Independent Study | EOS 393,IND Section 04,2779,5,5,0.0,2021-06-27 17:17:16.336388
Research Independent Study | EOS 393,IND Section 05,2780,10,10,0.0,2021-06-27 17:17:18.700624
Research Independent Study | EOS 393,IND Section 06,2781,1,1,0.0,2021-06-27 17:17:21.087979
Research Independent Study | EOS 393,IND Section 08,2782,10,10,0.0,2021-06-27 17:17:23.430279
Research Independent Study | EOS 393,IND Section 09,2783,10,10,0.0,2021-06-27 17:17:25.777112
Research Independent Study | EOS 393,IND Section 11,2784,10,10,0.0,2021-06-27 17:17:28.190591
Research Independent Study | EOS 393,IND Section 12,2785,10,10,0.0,2021-06-27 17:17:30.515360
Research Independent Study | EOS 393,IND Section 13,2786,4,4,0.0,2021-06-27 17:17:32.863648
Research Independent Study | EOS 393,IND Section 14,2787,1,1,0.0,2021-06-27 17:17:35.199462
Research Independent Study | EOS 393,IND Section 16,2788,1,1,0.0,2021-06-27 17:17:37.517392
Research Independent Study | EOS 393,IND Section 17,2789,1,1,0.0,2021-06-27 17:17:39.841442
Research Independent Study | EOS 393,IND Section 18,2790,1,1,0.0,2021-06-27 17:17:42.169178
Research Independent Study | EOS 393,IND Section 19,2791,1,1,0.0,2021-06-27 17:17:44.506010
Research Independent Study | EOS 393,IND Section 20,2792,1,1,0.0,2021-06-27 17:17:46.866220
Research Independent Study | EOS 393,IND Section 21,2793,1,1,0.0,2021-06-27 17:17:49.262795
Research Independent Study | EOS 393,IND Section 22,2794,1,1,0.0,2021-06-27 17:17:51.599089
Research Independent Study | EOS 393,IND Section 25,2795,5,5,0.0,2021-06-27 17:17:53.918442
Research Independent Study | EOS 393,IND Section 70,2796,1,1,0.0,2021-06-27 17:17:56.324239
Research Independent Study | EOS 393-1,IND Section 01,2797,1,1,0.0,2021-06-27 17:17:58.748457
Research Independent Study | EOS 394,IND Section 01,2798,1,1,0.0,2021-06-27 17:18:01.248624
Research Independent Study | EOS 394,IND Section 02,2799,1,1,0.0,2021-06-27 17:18:03.715503
Research Independent Study | EOS 394,IND Section 03,2800,1,1,0.0,2021-06-27 17:18:06.161595
Research Independent Study | EOS 394,IND Section 04,2801,1,1,0.0,2021-06-27 17:18:08.647841
Research Independent Study | EOS 394,IND Section 09,2802,2,2,0.0,2021-06-27 17:18:11.102228
Research Independent Study | EOS 394,IND Section 11,2803,1,1,0.0,2021-06-27 17:18:13.653701
Research Independent Study | EOS 394,IND Section 12,2804,1,1,0.0,2021-06-27 17:18:16.186447
Research Independent Study | EOS 394,IND Section 15,2805,1,1,0.0,2021-06-27 17:18:18.637308
Research Independent Study | EOS 394,IND Section 16,2806,5,5,0.0,2021-06-27 17:18:21.169913
Research Independent Study | EOS 394,IND Section 20,2807,5,5,0.0,2021-06-27 17:18:23.787790
Research Independent Study | EOS 394,IND Section 22,2808,5,5,0.0,2021-06-27 17:18:26.428142
Senior Capstone Experience | EOS 410S,SEM Section 01,8791,12,14,14.285714285714285,2021-06-27 17:18:28.968792
The Dynamic Earth | EOS 101,Lecture Section 01,8784,31,200,84.5,2021-06-27 17:21:47.406276
The Dynamic Oceans | EOS 102,Lecture Section 01,8781,57,200,71.5,2021-06-27 17:21:49.753543
"The Solid Earth: Minerals, Rocks, and Structural Geology | EOS 201L",Lecture Section 001,8789,8,12,33.33333333333333,2021-06-27 17:21:52.101520
