Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Introduction to Evolutionary Anthropology | EVANTH 101D,Lecture Section 001,5447,3,84,96.42857142857143,2021-06-27 17:26:11.675196
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 01D,5448,0,14,100.0,2021-06-27 17:26:14.044312
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 02D,5449,0,14,100.0,2021-06-27 17:26:16.502282
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 03D,5450,0,14,100.0,2021-06-27 17:26:18.875302
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 04D,5451,3,14,78.57142857142857,2021-06-27 17:26:21.228764
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 05D,5452,1,14,92.85714285714286,2021-06-27 17:26:23.574905
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 06D,5453,0,14,100.0,2021-06-27 17:26:25.962429
Bodies of Evidence: Introduction to Forensic Anthropology | EVANTH 230,Lecture Section 01,5455,78,150,48.0,2021-06-27 17:26:28.347215
Human Cognitive Evolution | EVANTH 260,Lecture Section 01,5456,9,130,93.07692307692308,2021-06-27 17:26:30.717966
Human Health in Evolutionary Perspective | EVANTH 285,Lecture Section 01,5457,3,25,88.0,2021-06-27 17:26:33.226107
Human Health in Evolutionary Perspective | EVANTH 285,Lecture Section 02,10219,4,25,84.0,2021-06-27 17:26:35.669709
Human Evolutionary Genetics | EVANTH 318,Lecture Section 01,5458,6,24,75.0,2021-06-27 17:26:38.274533
Human Physiology and Anatomy: An Evolutionary Perspective | EVANTH 330,Lecture Section 01,5459,9,45,80.0,2021-06-27 17:26:40.888848
The Human Body | EVANTH 333L,Lecture Section 001,5460,10,50,80.0,2021-06-27 17:26:43.553942
The Human Body | EVANTH 333L,Laboratory Section 01L,5461,10,50,80.0,2021-06-27 17:26:46.047359
Primate Sexuality | EVANTH 341,Lecture Section 01,5462,21,30,30.0,2021-06-27 17:26:48.545552
Primate Sexuality | EVANTH 341D,Lecture Section 001,5463,27,40,32.5,2021-06-27 17:26:50.904880
Primate Sexuality | EVANTH 341D,Discussion Section 01D,5464,1,10,90.0,2021-06-27 17:26:53.234591
Primate Sexuality | EVANTH 341D,Discussion Section 04D,5467,6,10,40.0,2021-06-27 17:26:55.527241
Primate Field Biology | EVANTH 344L,Laboratory Section 01L,5468,1,7,85.71428571428571,2021-06-27 17:26:57.899190
Independent Study | EVANTH 391,IND Section 01,5469,1,1,0.0,2021-06-27 17:27:00.265488
Independent Study | EVANTH 391,IND Section 02,5470,1,1,0.0,2021-06-27 17:27:02.648514
Independent Study | EVANTH 391,IND Section 03,5471,1,1,0.0,2021-06-27 17:27:05.044438
Independent Study | EVANTH 391,IND Section 04,5472,1,1,0.0,2021-06-27 17:27:07.553481
Independent Study | EVANTH 391,IND Section 05,5473,1,1,0.0,2021-06-27 17:27:09.907844
Research Independent Study | EVANTH 393,IND Section 01,5474,0,1,100.0,2021-06-27 17:27:12.249324
Research Independent Study | EVANTH 393,IND Section 02,5475,0,1,100.0,2021-06-27 17:27:14.622843
Research Independent Study | EVANTH 393,IND Section 03,5476,0,1,100.0,2021-06-27 17:27:17.080086
Research Independent Study | EVANTH 393,IND Section 04,5477,0,1,100.0,2021-06-27 17:27:19.427712
Research Independent Study | EVANTH 393,IND Section 05,5478,0,1,100.0,2021-06-27 17:27:21.822038
Research Independent Study | EVANTH 393,IND Section 06,5479,0,1,100.0,2021-06-27 17:27:24.151409
Research Independent Study | EVANTH 393,IND Section 07,5480,0,1,100.0,2021-06-27 17:27:26.492629
Research Independent Study | EVANTH 393,IND Section 08,5481,0,1,100.0,2021-06-27 17:27:28.880843
Research Independent Study | EVANTH 393,IND Section 09,5482,0,1,100.0,2021-06-27 17:27:31.247219
Research Independent Study | EVANTH 393,IND Section 10,5483,0,1,100.0,2021-06-27 17:27:33.676334
Research Independent Study | EVANTH 393,IND Section 11,5484,0,1,100.0,2021-06-27 17:27:36.026274
Research Independent Study | EVANTH 393,IND Section 12,5485,0,1,100.0,2021-06-27 17:27:38.374097
Research Independent Study | EVANTH 393,IND Section 13,5486,0,1,100.0,2021-06-27 17:27:40.726505
Research Independent Study | EVANTH 393,IND Section 14,5487,0,1,100.0,2021-06-27 17:27:43.082995
Research Independent Study | EVANTH 393,IND Section 15,5488,0,1,100.0,2021-06-27 17:27:45.422490
Research Independent Study | EVANTH 393,IND Section 16,5489,0,1,100.0,2021-06-27 17:27:47.805762
Research Independent Study | EVANTH 393,IND Section 17,5490,0,1,100.0,2021-06-27 17:27:50.164907
