Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Elementary French 1 | FRENCH 101,Lecture Section 01,9345,13,15,13.333333333333334,2021-06-27 17:28:19.779927
Elementary French 1 | FRENCH 101,Lecture Section 02,9346,1,10,90.0,2021-06-27 17:28:22.182435
Elementary French 1 | FRENCH 101,Lecture Section 03,9347,1,11,90.9090909090909,2021-06-27 17:28:24.626842
Elementary French 2 | FRENCH 102,Lecture Section 01,9348,4,15,73.33333333333333,2021-06-27 17:28:27.042344
Elementary French 2 | FRENCH 102,Lecture Section 02,9349,4,15,73.33333333333333,2021-06-27 17:28:29.426306
Elementary French 2 | FRENCH 102,Lecture Section 03,9350,11,15,26.666666666666668,2021-06-27 17:28:31.805404
Elementary French 2 | FRENCH 102,Lecture Section 04,9351,0,10,100.0,2021-06-27 17:28:34.238693
Intensive Elementary French | FRENCH 111,Lecture Section 01,9352,2,12,83.33333333333334,2021-06-27 17:28:36.769175
Intermediate French Language and Culture | FRENCH 203,Lecture Section 01,9353,8,15,46.666666666666664,2021-06-27 17:28:39.129226
Intermediate French Language and Culture | FRENCH 203,Lecture Section 02,9354,1,15,93.33333333333333,2021-06-27 17:28:41.472514
Intermediate French Language and Culture | FRENCH 203,Lecture Section 03,9355,1,15,93.33333333333333,2021-06-27 17:28:43.809535
Advanced Intermediate French Language and Culture | FRENCH 204,Lecture Section 02,9357,0,15,100.0,2021-06-27 17:28:46.152455
Advanced Intermediate French Language and Culture | FRENCH 204,Lecture Section 03,9358,3,15,80.0,2021-06-27 17:28:48.531014
Advanced Intermediate French Language and Culture | FRENCH 204,Lecture Section 04,9359,5,15,66.66666666666666,2021-06-27 17:28:50.888253
Voices in Marketing: Advertising in French | FRENCH 275T-2,TUT Section 01,10349,3,8,62.5,2021-06-27 17:28:53.252721
Advanced French Writing Workshop | FRENCH 301S,SEM Section 01,9361,2,12,83.33333333333334,2021-06-27 17:28:55.563953
Advanced French Writing Workshop | FRENCH 301S,SEM Section 02,9362,2,12,83.33333333333334,2021-06-27 17:28:57.872157
Cultural and Literary Perspectives | FRENCH 302S,SEM Section 01,9360,0,14,100.0,2021-06-27 17:29:00.190478
French for Current Affairs | FRENCH 303S,SEM Section 01,9363,3,14,78.57142857142857,2021-06-27 17:29:02.514393
French for Current Affairs | FRENCH 303S,SEM Section 02,9364,1,14,92.85714285714286,2021-06-27 17:29:04.900638
Working in French: S'engager dans le monde francophone | FRENCH 321S,SEM Section 01,9365,5,15,66.66666666666666,2021-06-27 17:29:07.238559
French Studies Seminar | FRENCH 327S,SEM Section 01,9450,2,9,77.77777777777779,2021-06-27 17:29:09.633471
French Studies Seminar | FRENCH 327S,SEM Section 02,9451,4,8,50.0,2021-06-27 17:29:11.955967
Topics in French Literature and Culture | FRENCH 390S,SEM Section 01,9473,0,12,100.0,2021-06-27 17:29:14.296965
Topics in French Literature and Culture | FRENCH 390S,SEM Section 03,9475,8,15,46.666666666666664,2021-06-27 17:29:16.678432
