Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First-Year German I | GERMAN 101,Lecture Section 01,3989,8,18,55.55555555555556,2021-06-27 17:21:46.422681
First-Year German I | GERMAN 101,Lecture Section 02,3990,8,18,55.55555555555556,2021-06-27 17:21:48.803870
First-Year German I | GERMAN 101,Lecture Section 03,3991,5,18,72.22222222222221,2021-06-27 17:21:51.244758
First-Year German II | GERMAN 102,Lecture Section 01,3992,5,18,72.22222222222221,2021-06-27 17:21:53.616741
First-Year German II | GERMAN 102,Lecture Section 02,3993,10,18,44.44444444444444,2021-06-27 17:21:55.961535
First-Year German II | GERMAN 102,Lecture Section 03,3994,9,18,50.0,2021-06-27 17:21:58.312045
Intermediate German I | GERMAN 203,Lecture Section 01,3995,4,15,73.33333333333333,2021-06-27 17:22:00.672772
Intermediate German I | GERMAN 203,Lecture Section 02,3996,3,15,80.0,2021-06-27 17:22:03.021518
Intermediate German II | GERMAN 204,Lecture Section 01,3997,8,15,46.666666666666664,2021-06-27 17:22:05.417783
Intermediate German II | GERMAN 204,Lecture Section 02,3998,15,15,0.0,2021-06-27 17:22:07.767288
Intermediate Conversation Practice | GERMAN 210,Lecture Section 01,3999,6,11,45.45454545454545,2021-06-27 17:22:10.118924
Romantic Fairy Tales: Literary and Folk Fairy Tales from Grimms to Disney | GERMAN 262,Lecture Section 01,4000,0,20,100.0,2021-06-27 17:22:12.451927
Romantic Fairy Tales: Literary and Folk Fairy Tales from Grimms to Disney | GERMAN 262,Lecture Section 02,4001,0,15,100.0,2021-06-27 17:22:14.802943
Romantic Fairy Tales: Literary and Folk Fairy Tales from Grimms to Disney | GERMAN 262,Lecture Section 03,4002,2,15,86.66666666666667,2021-06-27 17:22:17.196123
Romantic Fairy Tales: Literary and Folk Fairy Tales from Grimms to Disney | GERMAN 262,Lecture Section 04,4003,0,15,100.0,2021-06-27 17:22:19.559774
Romantic Fairy Tales: Literary and Folk Fairy Tales from Grimms to Disney | GERMAN 262,Lecture Section 05,11250,3,20,85.0,2021-06-27 17:22:22.007557
German Film | GERMAN 264,Lecture Section 01,4004,6,18,66.66666666666666,2021-06-27 17:22:24.382459
