Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Elementary Modern Hebrew | HEBREW 102,Lecture Section 001,6604,3,15,80.0,2021-06-27 17:23:41.638133
Elementary Modern Hebrew | HEBREW 102,Discussion Section 01D,6605,3,15,80.0,2021-06-27 17:23:44.014015
Intermediate Modern Hebrew | HEBREW 204,Lecture Section 01,6606,13,15,13.333333333333334,2021-06-27 17:23:46.361018
Advanced Modern Hebrew | HEBREW 305S,SEM Section 01,6607,6,10,40.0,2021-06-27 17:23:48.701650
Independent Study | HEBREW 391,IND Section 01,10265,4,4,0.0,2021-06-27 17:23:51.069588
Independent Study | HEBREW 391,IND Section 02,10266,4,4,0.0,2021-06-27 17:23:53.442622
Elementary Modern Hebrew | HEBREW 102,Lecture Section 001,6604,3,15,80.0,2021-06-27 18:19:09.295316
Elementary Modern Hebrew | HEBREW 102,Discussion Section 01D,6605,3,15,80.0,2021-06-27 18:19:11.852543
Intermediate Modern Hebrew | HEBREW 204,Lecture Section 01,6606,13,15,13.333333333333334,2021-06-27 18:19:14.394258
Advanced Modern Hebrew | HEBREW 305S,SEM Section 01,6607,6,10,40.0,2021-06-27 18:19:16.790101
Independent Study | HEBREW 391,IND Section 01,10265,4,4,0.0,2021-06-27 18:19:19.245145
Independent Study | HEBREW 391,IND Section 02,10266,4,4,0.0,2021-06-27 18:19:21.737125
