Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Bass Connections COVID-19 Research Team | HLTHPOL 395,IND Section 01,11117,6,12,50.0,2021-06-27 17:30:22.027611
Bass Connections COVID-19 Research Team | HLTHPOL 395,IND Section 02,11118,6,15,60.0,2021-06-27 17:30:24.420202
Bass Connections COVID-19 Research Team | HLTHPOL 395,IND Section 03,11119,2,6,66.66666666666666,2021-06-27 17:30:26.827388
Bass Connections COVID-19 Research Team | HLTHPOL 395,IND Section 04,11120,8,25,68.0,2021-06-27 17:30:29.229251
Bass Connections COVID-19 Research Team | HLTHPOL 395,IND Section 05,11121,2,10,80.0,2021-06-27 17:30:31.616076
Bass Connections COVID-19 Research Team | HLTHPOL 395,IND Section 06,11122,4,10,60.0,2021-06-27 17:30:33.996190
Bass Connections COVID-19 Research Team | HLTHPOL 395,IND Section 07,11123,4,10,60.0,2021-06-27 17:30:36.377526
Bass Connections COVID-19 Research Team | HLTHPOL 395,IND Section 08,11124,5,15,66.66666666666666,2021-06-27 17:30:38.803240
Bass Connections COVID-19 Research Team | HLTHPOL 395,IND Section 09,11125,2,12,83.33333333333334,2021-06-27 17:30:41.210835
Bass Connections COVID-19 Research Team | HLTHPOL 395,IND Section 10,11126,3,20,85.0,2021-06-27 17:30:43.673635
Bass Connections COVID-19 Research Team | HLTHPOL 395,IND Section 11,11127,5,10,50.0,2021-06-27 17:30:46.088813
Bass Connections COVID-19 Research Team | HLTHPOL 395,IND Section 12,11128,2,10,80.0,2021-06-27 17:30:48.461498
Bass Connections COVID-19 Research Team | HLTHPOL 395,IND Section 01,11117,6,12,50.0,2021-06-27 18:25:49.126174
Bass Connections COVID-19 Research Team | HLTHPOL 395,IND Section 02,11118,6,15,60.0,2021-06-27 18:25:51.559822
Bass Connections COVID-19 Research Team | HLTHPOL 395,IND Section 03,11119,2,6,66.66666666666666,2021-06-27 18:25:54.082874
Bass Connections COVID-19 Research Team | HLTHPOL 395,IND Section 04,11120,8,25,68.0,2021-06-27 18:25:56.530354
Bass Connections COVID-19 Research Team | HLTHPOL 395,IND Section 05,11121,2,10,80.0,2021-06-27 18:25:58.971965
Bass Connections COVID-19 Research Team | HLTHPOL 395,IND Section 06,11122,4,10,60.0,2021-06-27 18:26:01.435646
Bass Connections COVID-19 Research Team | HLTHPOL 395,IND Section 07,11123,4,10,60.0,2021-06-27 18:26:03.929937
Bass Connections COVID-19 Research Team | HLTHPOL 395,IND Section 08,11124,5,15,66.66666666666666,2021-06-27 18:26:06.368846
Bass Connections COVID-19 Research Team | HLTHPOL 395,IND Section 09,11125,2,12,83.33333333333334,2021-06-27 18:26:08.907200
Bass Connections COVID-19 Research Team | HLTHPOL 395,IND Section 10,11126,3,20,85.0,2021-06-27 18:26:11.431322
Bass Connections COVID-19 Research Team | HLTHPOL 395,IND Section 11,11127,5,10,50.0,2021-06-27 18:26:13.824351
Bass Connections COVID-19 Research Team | HLTHPOL 395,IND Section 12,11128,2,10,80.0,2021-06-27 18:26:16.305393
