Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
House Course | HOUSECS 59,Lecture Section 01,10730,4,18,77.77777777777779,2021-06-27 17:24:27.114143
House Course | HOUSECS 59,Lecture Section 02,10731,10,18,44.44444444444444,2021-06-27 17:24:29.646345
House Course | HOUSECS 59,Lecture Section 03,10732,4,14,71.42857142857143,2021-06-27 17:24:32.130521
House Course | HOUSECS 59,Lecture Section 04,10733,0,4,100.0,2021-06-27 17:24:34.518750
House Course | HOUSECS 59,Lecture Section 05,10734,7,18,61.111111111111114,2021-06-27 17:24:36.896344
House Course | HOUSECS 59,Lecture Section 06,10735,0,18,100.0,2021-06-27 17:24:39.282482
House Course | HOUSECS 59,Lecture Section 07,10736,1,14,92.85714285714286,2021-06-27 17:24:41.692536
House Course | HOUSECS 59,Lecture Section 08,10737,16,18,11.11111111111111,2021-06-27 17:24:44.035114
House Course | HOUSECS 59,Lecture Section 09,10738,4,14,71.42857142857143,2021-06-27 17:24:46.397760
House Course | HOUSECS 59,Lecture Section 10,10739,0,4,100.0,2021-06-27 17:24:48.803251
House Course | HOUSECS 59,Lecture Section 11,10740,11,18,38.88888888888889,2021-06-27 17:24:51.277366
House Course | HOUSECS 59,Lecture Section 12,10741,36,40,10.0,2021-06-27 17:24:53.725659
House Course | HOUSECS 59,Lecture Section 13,10742,1,18,94.44444444444444,2021-06-27 17:24:56.138561
House Course | HOUSECS 59,Lecture Section 14,10743,2,17,88.23529411764706,2021-06-27 17:24:58.559345
House Course | HOUSECS 59,Lecture Section 15,10744,6,18,66.66666666666666,2021-06-27 17:25:00.916979
House Course | HOUSECS 59,Lecture Section 16,10745,0,18,100.0,2021-06-27 17:25:03.281491
House Course | HOUSECS 59,Lecture Section 17,10746,6,18,66.66666666666666,2021-06-27 17:25:05.668976
House Course | HOUSECS 59,Lecture Section 18,10747,9,18,50.0,2021-06-27 17:25:08.088310
House Course | HOUSECS 59,Lecture Section 19,10748,5,12,58.333333333333336,2021-06-27 17:25:10.586053
House Course | HOUSECS 59,Lecture Section 20,10749,9,18,50.0,2021-06-27 17:25:13.218794
