Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Research Independent Study | IMMUNOL 494,IND Section 01,2938,0,1,100.0,2021-06-27 17:26:13.157012
Research Independent Study | IMMUNOL 494,IND Section 02,2939,0,1,100.0,2021-06-27 17:26:15.512414
Research Independent Study | IMMUNOL 494,IND Section 03,2940,1,1,0.0,2021-06-27 17:26:17.878156
Research Independent Study | IMMUNOL 494,IND Section 04,2941,1,1,0.0,2021-06-27 17:26:20.234478
Research Independent Study | IMMUNOL 494,IND Section 05,2942,1,1,0.0,2021-06-27 17:26:22.610605
Research Independent Study | IMMUNOL 494,IND Section 06,2943,0,1,100.0,2021-06-27 17:26:25.011559
Research Independent Study | IMMUNOL 494,IND Section 07,2944,1,1,0.0,2021-06-27 17:26:27.370776
Research Independent Study | IMMUNOL 494,IND Section 08,2945,1,1,0.0,2021-06-27 17:26:29.771987
Research Independent Study | IMMUNOL 494,IND Section 01,2938,0,1,100.0,2021-06-27 18:23:18.960485
Research Independent Study | IMMUNOL 494,IND Section 02,2939,0,1,100.0,2021-06-27 18:23:21.338295
Research Independent Study | IMMUNOL 494,IND Section 03,2940,1,1,0.0,2021-06-27 18:23:23.712409
Research Independent Study | IMMUNOL 494,IND Section 04,2941,1,1,0.0,2021-06-27 18:23:26.078757
Research Independent Study | IMMUNOL 494,IND Section 05,2942,1,1,0.0,2021-06-27 18:23:28.452181
Research Independent Study | IMMUNOL 494,IND Section 06,2943,0,1,100.0,2021-06-27 18:23:30.862838
Research Independent Study | IMMUNOL 494,IND Section 07,2944,1,1,0.0,2021-06-27 18:23:33.220692
Research Independent Study | IMMUNOL 494,IND Section 08,2945,1,1,0.0,2021-06-27 18:23:35.591914
