Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Foundations of Game Design | ISS 125L,Lecture Section 001,6848,1,15,93.33333333333333,2021-06-27 17:27:59.536788
Foundations of Game Design | ISS 125L,Laboratory Section 01L,6849,1,15,93.33333333333333,2021-06-27 17:28:01.900462
Experimental Sculpture and Installation Art | ISS 135,Lecture Section 01,3515,0,14,100.0,2021-06-27 17:28:04.253739
Experimental Interface Design | ISS 198,Lecture Section 01,3535,7,20,65.0,2021-06-27 17:28:06.660992
3D Modeling and Animation | ISS 209,Lecture Section 01,3519,4,15,73.33333333333333,2021-06-27 17:28:09.083637
Animated Film: A History and Aesthetic | ISS 211,Lecture Section 01,3539,6,20,70.0,2021-06-27 17:28:11.484295
Introduction to Digital Humanities | ISS 222D,Lecture Section 001,6850,2,15,86.66666666666667,2021-06-27 17:28:13.960114
Introduction to Digital Humanities | ISS 222D,Discussion Section 01D,6851,2,15,86.66666666666667,2021-06-27 17:28:16.466463
Fundamentals of Web-Based Multimedia Communications | ISS 240L,Lecture Section 001,6852,5,15,66.66666666666666,2021-06-27 17:28:18.848398
Fundamentals of Web-Based Multimedia Communications | ISS 240L,Laboratory Section 01L,6854,5,15,66.66666666666666,2021-06-27 17:28:21.218895
Web Project Design and Development | ISS 241L,Laboratory Section 01L,10457,7,15,53.333333333333336,2021-06-27 17:28:23.616231
Humanities Text Mining and Meaning | ISS 255,Lecture Section 01,6856,8,15,46.666666666666664,2021-06-27 17:28:25.999094
Introduction to Digital Feminism | ISS 265S,SEM Section 01,5173,0,15,100.0,2021-06-27 17:28:28.369013
Interactive Graphics: Critical Code | ISS 294L,Lecture Section 001,7756,0,20,100.0,2021-06-27 17:28:30.701886
Interactive Graphics: Critical Code | ISS 294L,Laboratory Section 01L,7759,0,20,100.0,2021-06-27 17:28:33.158815
Introduction to Programming and User Interface Design in Unity 3D | ISS 320,Lecture Section 01,11169,1,14,92.85714285714286,2021-06-27 17:28:35.649226
Sample & Remix: Contemporary Cultural Production Across Arts & Media | ISS 321,Lecture Section 01,7772,2,30,93.33333333333333,2021-06-27 17:28:38.010639
Social Movements and Social Media | ISS 323S,SEM Section 01,6162,0,18,100.0,2021-06-27 17:28:40.383990
Theories and Practices of Data Visualization | ISS 366L,Lecture Section 001,3558,0,14,100.0,2021-06-27 17:28:42.789157
Theories and Practices of Data Visualization | ISS 366L,Lecture Section 002,11666,0,15,100.0,2021-06-27 17:28:45.251380
Theories and Practices of Data Visualization | ISS 366L,Laboratory Section 01L,3559,0,14,100.0,2021-06-27 17:28:47.637838
Theories and Practices of Data Visualization | ISS 366L,Laboratory Section 02L,11701,0,15,100.0,2021-06-27 17:28:50.052764
Performance and Technology: Composition Workshop | ISS 376,Lecture Section 01,5733,1,10,90.0,2021-06-27 17:28:52.402495
Performance and Technology: Composition Workshop | ISS 376,Lecture Section 02,5736,0,15,100.0,2021-06-27 17:28:54.727357
"Visualizing Cities: Representing Urban Landscapes, Cultures, and Environments | ISS 380",Lecture Section 01,6858,9,25,64.0,2021-06-27 17:28:57.048650
Bass Connections in Information Science and Culture: Independent Study Project | ISS 391,IND Section 01,6859,10,10,0.0,2021-06-27 17:28:59.423702
Bass Connections in Information Science and Culture: Independent Study Project | ISS 391,IND Section 02,6860,10,10,0.0,2021-06-27 17:29:01.734654
