Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Elementary Modern Hebrew | JEWISHST 102,Lecture Section 001,6669,3,15,80.0,2021-06-27 17:31:43.147947
Elementary Modern Hebrew | JEWISHST 102,Discussion Section 01D,6670,3,15,80.0,2021-06-27 17:31:45.600047
The Old Testament/Hebrew Bible | JEWISHST 145,Lecture Section 01,7250,39,45,13.333333333333334,2021-06-27 17:31:48.028258
Intermediate Modern Hebrew | JEWISHST 204,Lecture Section 01,6671,13,15,13.333333333333334,2021-06-27 17:31:50.401877
"Hinduism and Judaism: Culture, Religion, and Identity | JEWISHST 215S",SEM Section 01,7251,4,18,77.77777777777779,2021-06-27 17:31:52.802637
Advanced Modern Hebrew | JEWISHST 305S,SEM Section 01,6672,6,10,40.0,2021-06-27 17:31:55.267882
America from Abroad: Literature and Cinema | JEWISHST 337,Lecture Section 01,9500,0,30,100.0,2021-06-27 17:31:57.596782
The Holocaust | JEWISHST 342,Lecture Section 01,7115,24,50,52.0,2021-06-27 17:31:59.937735
Special Topics in Jewish Studies | JEWISHST 490S,SEM Section 01,11422,0,1,100.0,2021-06-27 17:32:02.325551
Elementary Modern Hebrew | JEWISHST 102,Lecture Section 001,6669,3,15,80.0,2021-06-27 18:28:44.486842
Elementary Modern Hebrew | JEWISHST 102,Discussion Section 01D,6670,3,15,80.0,2021-06-27 18:28:46.872496
The Old Testament/Hebrew Bible | JEWISHST 145,Lecture Section 01,7250,39,45,13.333333333333334,2021-06-27 18:28:49.225433
Intermediate Modern Hebrew | JEWISHST 204,Lecture Section 01,6671,13,15,13.333333333333334,2021-06-27 18:28:51.583908
"Hinduism and Judaism: Culture, Religion, and Identity | JEWISHST 215S",SEM Section 01,7251,4,18,77.77777777777779,2021-06-27 18:28:54.003353
Advanced Modern Hebrew | JEWISHST 305S,SEM Section 01,6672,6,10,40.0,2021-06-27 18:28:56.383096
America from Abroad: Literature and Cinema | JEWISHST 337,Lecture Section 01,9500,0,30,100.0,2021-06-27 18:28:58.749762
The Holocaust | JEWISHST 342,Lecture Section 01,7115,24,50,52.0,2021-06-27 18:29:01.130236
Special Topics in Jewish Studies | JEWISHST 490S,SEM Section 01,11422,0,1,100.0,2021-06-27 18:29:03.709142
