Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First-Year Seminar | LIT 89S,SEM Section 01,9384,0,18,100.0,2021-06-27 17:29:36.531498
Introduction to African American Studies | LIT 102,Lecture Section 01,5531,0,25,100.0,2021-06-27 17:29:38.899038
Introduction to Film Studies | LIT 110,Lecture Section 01,10036,4,25,84.0,2021-06-27 17:29:41.404700
Special Topics: Introduction to Literature | LIT 190S,SEM Section 01,6118,10,18,44.44444444444444,2021-06-27 17:29:43.764559
Special Topics: Introduction to Literature | LIT 190S,SEM Section 02,6119,10,18,44.44444444444444,2021-06-27 17:29:46.180212
Special Topics: Introduction to Literature | LIT 190S,SEM Section 03,6120,9,18,50.0,2021-06-27 17:29:48.651104
Special Topics: Introduction to Literature | LIT 190S,SEM Section 04,6121,14,18,22.22222222222222,2021-06-27 17:29:51.213656
Special Topics: Introduction to Literature | LIT 190S,SEM Section 05,6122,11,18,38.88888888888889,2021-06-27 17:29:53.658813
Introduction to Global Cultural Studies | LIT 201,Lecture Section 01,6123,2,15,86.66666666666667,2021-06-27 17:29:56.027652
Introduction to Latino/a Studies in the Global South | LIT 243,Lecture Section 01,5087,7,12,41.66666666666667,2021-06-27 17:29:58.486986
"Arab Cultures: Literature, Politics, History | LIT 251",Lecture Section 01,6639,17,21,19.047619047619047,2021-06-27 17:30:00.848169
Romantic Fairy Tales: Literary and Folk Fairy Tales from Grimms to Disney | LIT 252,Lecture Section 01,4014,0,20,100.0,2021-06-27 17:30:03.194985
Romantic Fairy Tales: Literary and Folk Fairy Tales from Grimms to Disney | LIT 252,Lecture Section 02,4016,0,15,100.0,2021-06-27 17:30:05.544362
Romantic Fairy Tales: Literary and Folk Fairy Tales from Grimms to Disney | LIT 252,Lecture Section 03,4018,2,15,86.66666666666667,2021-06-27 17:30:07.891574
Romantic Fairy Tales: Literary and Folk Fairy Tales from Grimms to Disney | LIT 252,Lecture Section 04,4020,0,15,100.0,2021-06-27 17:30:10.237963
Romantic Fairy Tales: Literary and Folk Fairy Tales from Grimms to Disney | LIT 252,Lecture Section 05,11251,3,20,85.0,2021-06-27 17:30:12.707081
Virtual Realities: Collective Dreams from Plato to Cyberspace | LIT 265S,SEM Section 01,7754,2,18,88.88888888888889,2021-06-27 17:30:15.074706
What Is Europe? | LIT 273,Lecture Section 01,9467,1,21,95.23809523809523,2021-06-27 17:30:17.446688
