Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Leadership Laboratory - Spring Semester Only | MILITSCI 92L,Laboratory Section 01L,8735,24,50,52.0,2021-06-27 17:29:59.397515
Basic Army Physical Development | MILITSCI 94,ACT Section 01,8736,49,50,2.0,2021-06-27 17:30:01.852785
Senior Leadership Laboratory - Spring Semester | MILITSCI 94L,Laboratory Section 01L,8737,8,13,38.46153846153847,2021-06-27 17:30:04.261899
Foundations of Leadership | MILITSCI 102S,SEM Section 01,8741,5,15,66.66666666666666,2021-06-27 17:30:06.754127
Army Doctrine and Decision-Making | MILITSCI 202S,SEM Section 01,8740,5,15,66.66666666666666,2021-06-27 17:30:09.185356
Independent Study | MILITSCI 291,IND Section 01,2706,5,10,50.0,2021-06-27 17:30:11.581835
Independent Study - Half Credit | MILITSCI 291-1,IND Section 01,2705,10,10,0.0,2021-06-27 17:30:13.944942
Applied Leadership in Small Unit Operations | MILITSCI 302S,SEM Section 01,8739,7,15,53.333333333333336,2021-06-27 17:30:16.316869
Company Grade Leadership | MILITSCI 402S,SEM Section 01,8738,8,13,38.46153846153847,2021-06-27 17:30:18.764874
Leadership Laboratory - Spring Semester Only | MILITSCI 92L,Laboratory Section 01L,8735,24,50,52.0,2021-06-27 18:26:12.651408
Basic Army Physical Development | MILITSCI 94,ACT Section 01,8736,49,50,2.0,2021-06-27 18:26:15.051167
Senior Leadership Laboratory - Spring Semester | MILITSCI 94L,Laboratory Section 01L,8737,8,13,38.46153846153847,2021-06-27 18:26:17.439212
Foundations of Leadership | MILITSCI 102S,SEM Section 01,8741,5,15,66.66666666666666,2021-06-27 18:26:19.798099
Army Doctrine and Decision-Making | MILITSCI 202S,SEM Section 01,8740,5,15,66.66666666666666,2021-06-27 18:26:22.159889
Independent Study | MILITSCI 291,IND Section 01,2706,5,10,50.0,2021-06-27 18:26:24.516448
Independent Study - Half Credit | MILITSCI 291-1,IND Section 01,2705,10,10,0.0,2021-06-27 18:26:26.895947
Applied Leadership in Small Unit Operations | MILITSCI 302S,SEM Section 01,8739,7,15,53.333333333333336,2021-06-27 18:26:29.316915
Company Grade Leadership | MILITSCI 402S,SEM Section 01,8738,8,13,38.46153846153847,2021-06-27 18:26:31.633302
