Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First-Year Seminar | PHYSEDU 89S,SEM Section 01,10624,0,15,100.0,2021-06-27 17:35:58.020317
Fusion Fitness | PHYSEDU 104,ACT Section 01,10625,0,16,100.0,2021-06-27 17:36:00.442707
Fusion Fitness | PHYSEDU 104,ACT Section 02,10626,8,20,60.0,2021-06-27 17:36:02.949010
Pilates Mat and Ball | PHYSEDU 105,ACT Section 01,10627,0,20,100.0,2021-06-27 17:36:05.543489
Pilates Mat and Ball | PHYSEDU 105,ACT Section 02,10628,4,20,80.0,2021-06-27 17:36:07.982919
Cardio-Kickboxing | PHYSEDU 109,ACT Section 01,10629,2,20,90.0,2021-06-27 17:36:10.468035
Cardio-Kickboxing | PHYSEDU 109,ACT Section 02,11334,10,20,50.0,2021-06-27 17:36:12.909699
Weight Training | PHYSEDU 113,ACT Section 01,10631,0,16,100.0,2021-06-27 17:36:15.338500
Weight Training | PHYSEDU 113,ACT Section 02,10632,1,16,93.75,2021-06-27 17:36:17.733968
Weight Training for Women | PHYSEDU 116,ACT Section 01,10633,0,20,100.0,2021-06-27 17:36:20.182904
Fusion Fitness for Women | PHYSEDU 117,ACT Section 01,10635,0,20,100.0,2021-06-27 17:36:22.673336
Fusion Fitness for Women | PHYSEDU 117,ACT Section 02,10636,0,16,100.0,2021-06-27 17:36:25.127078
Beginning Golf | PHYSEDU 131,ACT Section 01,10637,0,12,100.0,2021-06-27 17:36:27.647555
Beginning Golf | PHYSEDU 131,ACT Section 02,10638,0,12,100.0,2021-06-27 17:36:30.074559
Intermediate Golf | PHYSEDU 132,ACT Section 01,10639,0,12,100.0,2021-06-27 17:36:32.466409
Intermediate Golf | PHYSEDU 132,ACT Section 02,10640,0,12,100.0,2021-06-27 17:36:34.889215
Intermediate Golf | PHYSEDU 132,ACT Section 03,10641,0,12,100.0,2021-06-27 17:36:37.280451
Advanced Golf | PHYSEDU 133,ACT Section 01,10642,0,12,100.0,2021-06-27 17:36:39.681906
Beginning Tennis | PHYSEDU 143,ACT Section 01,10643,2,12,83.33333333333334,2021-06-27 17:36:42.073868
Intermediate Tennis | PHYSEDU 144,ACT Section 01,10644,1,12,91.66666666666666,2021-06-27 17:36:44.496660
Intermediate Tennis | PHYSEDU 144,ACT Section 02,10645,1,12,91.66666666666666,2021-06-27 17:36:46.917128
Mixed Martial Arts Training | PHYSEDU 160,ACT Section 01,10646,9,20,55.00000000000001,2021-06-27 17:36:49.335733
Tai Chi | PHYSEDU 165,ACT Section 01,10647,4,16,75.0,2021-06-27 17:36:51.978390
Tai Chi | PHYSEDU 165,ACT Section 02,10648,8,16,50.0,2021-06-27 17:36:54.478227
Yoga | PHYSEDU 170,ACT Section 01,10649,0,20,100.0,2021-06-27 17:36:57.145830
Yoga | PHYSEDU 170,ACT Section 02,10650,0,20,100.0,2021-06-27 17:36:59.895727
Yoga | PHYSEDU 170,ACT Section 03,10651,0,20,100.0,2021-06-27 17:37:02.371482
Yoga | PHYSEDU 170,ACT Section 04,10652,1,20,95.0,2021-06-27 17:37:04.838400
Intermediate Yoga | PHYSEDU 171,ACT Section 01,10653,0,20,100.0,2021-06-27 17:37:07.299307
Yoga for First Years | PHYSEDU 173,ACT Section 01,10654,2,20,90.0,2021-06-27 17:37:09.718571
Exercise Physiology | PHYSEDU 206,Lecture Section 01,10655,0,20,100.0,2021-06-27 17:37:12.179968
Sports Media | PHYSEDU 212,Lecture Section 01,10656,3,20,85.0,2021-06-27 17:37:14.557163
Sport Ethics | PHYSEDU 223,Lecture Section 01,10657,0,20,100.0,2021-06-27 17:37:16.936502
Sports Leadership Development | PHYSEDU 225,Lecture Section 01,10658,2,11,81.81818181818183,2021-06-27 17:37:19.307867
Sports Leadership Development | PHYSEDU 225,Lecture Section 02,10659,0,11,100.0,2021-06-27 17:37:21.760498
Theory and Practice of Coaching | PHYSEDU 240,Lecture Section 01,10660,1,20,95.0,2021-06-27 17:37:24.202006
First-Year Seminar | PHYSEDU 89S,SEM Section 01,10624,0,15,100.0,2021-06-27 18:31:31.087172
Fusion Fitness | PHYSEDU 104,ACT Section 01,10625,0,16,100.0,2021-06-27 18:31:33.500272
Fusion Fitness | PHYSEDU 104,ACT Section 02,10626,8,20,60.0,2021-06-27 18:31:35.932679
Pilates Mat and Ball | PHYSEDU 105,ACT Section 01,10627,0,20,100.0,2021-06-27 18:31:38.388279
Pilates Mat and Ball | PHYSEDU 105,ACT Section 02,10628,4,20,80.0,2021-06-27 18:31:40.815514
Cardio-Kickboxing | PHYSEDU 109,ACT Section 01,10629,2,20,90.0,2021-06-27 18:31:43.265710
Cardio-Kickboxing | PHYSEDU 109,ACT Section 02,11334,10,20,50.0,2021-06-27 18:31:45.750993
Weight Training | PHYSEDU 113,ACT Section 01,10631,0,16,100.0,2021-06-27 18:31:48.189345
Weight Training | PHYSEDU 113,ACT Section 02,10632,1,16,93.75,2021-06-27 18:31:50.685775
Weight Training for Women | PHYSEDU 116,ACT Section 01,10633,0,20,100.0,2021-06-27 18:31:53.044187
Fusion Fitness for Women | PHYSEDU 117,ACT Section 01,10635,0,20,100.0,2021-06-27 18:31:55.448803
Fusion Fitness for Women | PHYSEDU 117,ACT Section 02,10636,0,16,100.0,2021-06-27 18:31:58.050695
Beginning Golf | PHYSEDU 131,ACT Section 01,10637,0,12,100.0,2021-06-27 18:32:00.535131
Beginning Golf | PHYSEDU 131,ACT Section 02,10638,0,12,100.0,2021-06-27 18:32:02.966649
Intermediate Golf | PHYSEDU 132,ACT Section 01,10639,0,12,100.0,2021-06-27 18:32:05.396271
Intermediate Golf | PHYSEDU 132,ACT Section 02,10640,0,12,100.0,2021-06-27 18:32:07.823271
Intermediate Golf | PHYSEDU 132,ACT Section 03,10641,0,12,100.0,2021-06-27 18:32:10.294276
Advanced Golf | PHYSEDU 133,ACT Section 01,10642,0,12,100.0,2021-06-27 18:32:12.674887
Beginning Tennis | PHYSEDU 143,ACT Section 01,10643,2,12,83.33333333333334,2021-06-27 18:32:15.080886
Intermediate Tennis | PHYSEDU 144,ACT Section 01,10644,1,12,91.66666666666666,2021-06-27 18:32:17.462486
Intermediate Tennis | PHYSEDU 144,ACT Section 02,10645,1,12,91.66666666666666,2021-06-27 18:32:19.851393
Mixed Martial Arts Training | PHYSEDU 160,ACT Section 01,10646,9,20,55.00000000000001,2021-06-27 18:32:22.217751
Tai Chi | PHYSEDU 165,ACT Section 01,10647,4,16,75.0,2021-06-27 18:32:24.569507
Tai Chi | PHYSEDU 165,ACT Section 02,10648,8,16,50.0,2021-06-27 18:32:26.928042
Yoga | PHYSEDU 170,ACT Section 01,10649,0,20,100.0,2021-06-27 18:32:29.294105
Yoga | PHYSEDU 170,ACT Section 02,10650,0,20,100.0,2021-06-27 18:32:31.717378
Yoga | PHYSEDU 170,ACT Section 03,10651,0,20,100.0,2021-06-27 18:32:34.161333
Yoga | PHYSEDU 170,ACT Section 04,10652,1,20,95.0,2021-06-27 18:32:36.637897
Intermediate Yoga | PHYSEDU 171,ACT Section 01,10653,0,20,100.0,2021-06-27 18:32:39.102198
Yoga for First Years | PHYSEDU 173,ACT Section 01,10654,2,20,90.0,2021-06-27 18:32:41.503841
Exercise Physiology | PHYSEDU 206,Lecture Section 01,10655,0,20,100.0,2021-06-27 18:32:43.953146
