Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First-Year Seminar | POLSCI 89S,SEM Section 01,6102,1,18,94.44444444444444,2021-06-27 17:33:36.863450
First-Year Seminar | POLSCI 89S,SEM Section 02,9826,0,8,100.0,2021-06-27 17:33:39.258040
First-Year Seminar | POLSCI 89S,SEM Section 03,9828,0,4,100.0,2021-06-27 17:33:41.633425
First-Year Seminar | POLSCI 89S,SEM Section 04,10374,1,18,94.44444444444444,2021-06-27 17:33:44.031529
The Documentary Experience: A Video Approach | POLSCI 105S,SEM Section 01,3115,1,12,91.66666666666666,2021-06-27 17:33:46.423486
The Documentary Experience: A Video Approach | POLSCI 105S,SEM Section 02,3120,0,3,100.0,2021-06-27 17:33:48.797180
Introduction to African Studies (DS3 or DS4) | POLSCI 108,Lecture Section 01,5534,12,50,76.0,2021-06-27 17:33:51.122081
Comparative Approaches to Global Issues | POLSCI 110,Lecture Section 01,5405,7,44,84.0909090909091,2021-06-27 17:33:53.441307
Comparative Approaches to Global Issues | POLSCI 110,Lecture Section 02,5410,3,5,40.0,2021-06-27 17:33:55.785653
The Challenges of Living an Ethical Life | POLSCI 120,Lecture Section 01,8763,1,24,95.83333333333334,2021-06-27 17:33:58.122666
"Introduction to Global Development: Politics, Policy and Practice | POLSCI 125D",Lecture Section 001,10362,3,18,83.33333333333334,2021-06-27 17:34:00.484832
"Introduction to Global Development: Politics, Policy and Practice | POLSCI 125D",Discussion Section 01D,10363,3,18,83.33333333333334,2021-06-27 17:34:02.839185
Empires in Modern European History | POLSCI 140S,SEM Section 01,7081,3,18,83.33333333333334,2021-06-27 17:34:05.178381
Politics and Economics | POLSCI 146,Lecture Section 01,10364,22,40,45.0,2021-06-27 17:34:07.581613
Introduction to Political Philosophy | POLSCI 175D,Lecture Section 001,5992,0,60,100.0,2021-06-27 17:34:09.940761
Introduction to Political Philosophy | POLSCI 175D,Lecture Section 002,11373,13,30,56.666666666666664,2021-06-27 17:34:12.360238
Introduction to Political Philosophy | POLSCI 175D,Discussion Section 01D,5993,0,15,100.0,2021-06-27 17:34:14.708798
Introduction to Political Philosophy | POLSCI 175D,Discussion Section 02D,5994,0,15,100.0,2021-06-27 17:34:17.039217
Introduction to Political Philosophy | POLSCI 175D,Discussion Section 03D,5995,0,15,100.0,2021-06-27 17:34:19.396285
Introduction to Political Philosophy | POLSCI 175D,Discussion Section 04D,5996,0,15,100.0,2021-06-27 17:34:21.790392
Introduction to Political Philosophy | POLSCI 175D,Discussion Section 05D,11374,0,15,100.0,2021-06-27 17:34:24.273390
Introduction to Political Philosophy | POLSCI 175D,Discussion Section 06D,11375,13,15,13.333333333333334,2021-06-27 17:34:26.693776
"American Values, Institutions, and Culture | POLSCI 206",Lecture Section 01,10793,3,18,83.33333333333334,2021-06-27 17:34:29.113488
How to Think in an Age of Political Polarization | POLSCI 208,Lecture Section 01,8779,0,56,100.0,2021-06-27 17:34:31.508961
Conservatism | POLSCI 210,Lecture Section 01,8777,1,56,98.21428571428571,2021-06-27 17:34:33.926659
Discovering Game Theory: Social Complexity and Strategic Interdependence | POLSCI 217,Lecture Section 01,5997,0,80,100.0,2021-06-27 17:34:36.258247
Discovering Game Theory: Social Complexity and Strategic Interdependence | POLSCI 217,Lecture Section 02,11950,-2,0,check,2021-06-27 17:34:38.638715
American Constitutional Development and Interpretation II: Individual Rights | POLSCI 246,Lecture Section 01,11488,15,45,66.66666666666666,2021-06-27 17:34:41.094008
"Life Within Capitalism: A History of its Values, Measures and Struggles | POLSCI 252",Lecture Section 01,9121,0,20,100.0,2021-06-27 17:34:43.428499
