Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First-Year Seminar | PUBPOL 89S,SEM Section 01,9825,0,8,100.0,2021-06-27 17:32:46.630721
First-Year Seminar | PUBPOL 89S,SEM Section 02,9827,0,4,100.0,2021-06-27 17:32:49.096466
First-Year Seminar | PUBPOL 89S,SEM Section 03,10541,0,18,100.0,2021-06-27 17:32:51.580266
First-Year Seminar | PUBPOL 89S,SEM Section 04,10833,0,15,100.0,2021-06-27 17:32:54.028554
Undergraduates Internship Requirement | PUBPOL 120,IND Section 01,2833,71,80,11.25,2021-06-27 17:32:56.366290
Introduction to Policy Analysis | PUBPOL 155D,Lecture Section 001,8980,0,1,100.0,2021-06-27 17:32:58.715608
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 01D,8981,7,15,53.333333333333336,2021-06-27 17:33:01.082255
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 02D,8982,15,15,0.0,2021-06-27 17:33:03.430327
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 03D,8983,15,15,0.0,2021-06-27 17:33:05.748860
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 04D,8984,14,15,6.666666666666667,2021-06-27 17:33:08.165566
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 05D,8985,6,15,60.0,2021-06-27 17:33:10.496492
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 06D,8986,3,15,80.0,2021-06-27 17:33:12.833813
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 07D,8987,2,15,86.66666666666667,2021-06-27 17:33:15.211655
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 08D,8988,10,15,33.33333333333333,2021-06-27 17:33:17.582849
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 09D,8989,1,15,93.33333333333333,2021-06-27 17:33:19.938003
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 10D,8990,5,15,66.66666666666666,2021-06-27 17:33:22.265127
