Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First Year Seminar in Romance Studies | ROMST 89S,SEM Section 01,9481,0,18,100.0,2021-06-27 18:42:15.501836
What Is Europe? | ROMST 201,Lecture Section 01,9465,1,21,95.23809523809523,2021-06-27 18:42:17.859637
What is Europe?: Preceptorial | ROMST 201P,PRC Section 01P,9470,10,10,0.0,2021-06-27 18:42:20.229374
What is Europe?: Preceptorial | ROMST 201P,PRC Section 02P,9471,11,11,0.0,2021-06-27 18:42:22.575432
Virtual Realities: Collective Dreams from Plato to Cyberspace | ROMST 266S,SEM Section 01,7753,2,18,88.88888888888889,2021-06-27 18:42:24.916751
Sample & Remix: Contemporary Cultural Production Across Arts & Media | ROMST 322,Lecture Section 01,7775,2,30,93.33333333333333,2021-06-27 18:42:27.246428
Undocumented America in Literature | ROMST 330S,SEM Section 01,5091,5,12,58.333333333333336,2021-06-27 18:42:29.580854
America from Abroad: Literature and Cinema | ROMST 337,Lecture Section 01,9497,0,30,100.0,2021-06-27 18:42:31.917927
America from Abroad: Literature and Cinema Preceptorial | ROMST 337P,PRC Section 01P,11809,7,10,30.0,2021-06-27 18:42:34.308393
Independent Study | ROMST 391,IND Section 01,2904,1,1,0.0,2021-06-27 18:42:36.685907
Research Independent Study | ROMST 393,IND Section 01,2905,1,1,0.0,2021-06-27 18:42:39.000012
Research Independent Study | ROMST 393,IND Section 02,2906,1,1,0.0,2021-06-27 18:42:41.320330
Music History and Politics in Contemporary Africa | ROMST 430,Lecture Section 01,9517,12,18,33.33333333333333,2021-06-27 18:42:43.649933
Music History and Politics in Contemporary Africa Preceptorial | ROMST 430P,PRC Section 01P,9512,18,18,0.0,2021-06-27 18:42:45.976390
