Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
The Russian Empire | SES 356,Lecture Section 01,4411,15,18,16.666666666666664,2021-06-27 17:34:28.685528
"Between Moscow, Beijing and Delhi: Narratives of Europe and Asia | SES 373S",SEM Section 01,4412,11,18,38.88888888888889,2021-06-27 17:34:31.092287
Soviet Life through the Camera's Lens | SES 433S,SEM Section 01,10306,10,16,37.5,2021-06-27 17:34:33.550577
Language and Politics: Global Perspectives | SES 484S,SEM Section 01,4397,0,11,100.0,2021-06-27 17:34:35.890756
Language and Politics: Global Perspectives | SES 484S,SEM Section 02,10294,1,11,90.9090909090909,2021-06-27 17:34:38.309762
The Russian Empire | SES 356,Lecture Section 01,4411,15,18,16.666666666666664,2021-06-27 18:31:32.080352
"Between Moscow, Beijing and Delhi: Narratives of Europe and Asia | SES 373S",SEM Section 01,4412,11,18,38.88888888888889,2021-06-27 18:31:34.506692
Soviet Life through the Camera's Lens | SES 433S,SEM Section 01,10306,10,16,37.5,2021-06-27 18:31:37.064344
Language and Politics: Global Perspectives | SES 484S,SEM Section 01,4397,0,11,100.0,2021-06-27 18:31:39.485352
Language and Politics: Global Perspectives | SES 484S,SEM Section 02,10294,1,11,90.9090909090909,2021-06-27 18:31:41.904343
