Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First-Year Seminar | SOCIOL 89S,SEM Section 01,4370,0,15,100.0,2021-06-27 17:34:59.378468
First-Year Seminar | SOCIOL 89S,SEM Section 07,10667,1,18,94.44444444444444,2021-06-27 17:35:01.752583
Sociological Inquiry | SOCIOL 110,Lecture Section 01,4295,1,65,98.46153846153847,2021-06-27 17:35:04.101760
Empires in Modern European History | SOCIOL 148S,SEM Section 01,7082,3,18,83.33333333333334,2021-06-27 17:35:06.437939
Advertising and Society: Global Perspective (DS4) | SOCIOL 160,Lecture Section 01,10847,0,32,100.0,2021-06-27 17:35:08.838204
"Society, the Self, and the Natural World | SOCIOL 180S",SEM Section 01,4296,1,18,94.44444444444444,2021-06-27 17:35:11.178453
"Society, the Self, and the Natural World | SOCIOL 180S",SEM Section 02,11418,0,1,100.0,2021-06-27 17:35:13.559837
Comparative Approaches to Global Issues | SOCIOL 195,Lecture Section 01,5406,7,44,84.0909090909091,2021-06-27 17:35:15.953212
Comparative Approaches to Global Issues | SOCIOL 195,Lecture Section 02,5411,3,5,40.0,2021-06-27 17:35:18.298503
Contemporary Social Problems | SOCIOL 210,Lecture Section 01,4297,0,35,100.0,2021-06-27 17:35:20.657774
Social Inequality | SOCIOL 211,Lecture Section 01,4298,3,35,91.42857142857143,2021-06-27 17:35:23.075830
Sociology of Racism in America | SOCIOL 215,Lecture Section 01,4299,18,35,48.57142857142857,2021-06-27 17:35:25.421644
Introduction to Digital Feminism | SOCIOL 217S,SEM Section 01,5172,0,15,100.0,2021-06-27 17:35:27.839603
"Sex, Gender, and Society | SOCIOL 218",Lecture Section 01,4300,26,35,25.71428571428571,2021-06-27 17:35:30.215225
Love and Loneliness: What's Happening to Relationships in the Twenty-First Century? | SOCIOL 240,Lecture Section 01,5872,0,35,100.0,2021-06-27 17:35:32.595251
Medical Sociology | SOCIOL 250,Lecture Section 01,4301,1,30,96.66666666666667,2021-06-27 17:35:35.017282
Medical Sociology | SOCIOL 250,Lecture Section 02,4302,2,35,94.28571428571428,2021-06-27 17:35:37.487295
From Madness to Mental Disorders: Sociology of Mental Health | SOCIOL 257,Lecture Section 01,4303,0,60,100.0,2021-06-27 17:35:39.837478
Markets and Marketing | SOCIOL 258,Lecture Section 01,4304,0,35,100.0,2021-06-27 17:35:42.186740
Contemporary South Africa | SOCIOL 259S,SEM Section 01,9745,5,18,72.22222222222221,2021-06-27 17:35:44.543363
Death and Dying | SOCIOL 264,Lecture Section 01,4305,6,35,82.85714285714286,2021-06-27 17:35:46.874429
Critical Pedagogy of Hip Hop | SOCIOL 285S,SEM Section 01,11163,0,18,100.0,2021-06-27 17:35:49.257628
Advanced Special Topics in Sociology | SOCIOL 290,Lecture Section 01,11195,8,15,46.666666666666664,2021-06-27 17:35:51.731076
Seminar in Special Topics | SOCIOL 290S,SEM Section 01,4308,5,18,72.22222222222221,2021-06-27 17:35:54.119304
Seminar in Special Topics | SOCIOL 290S,SEM Section 03,4310,18,18,0.0,2021-06-27 17:35:56.569401
Independent Study for Nonmajors | SOCIOL 291,IND Section 01,4311,9,10,10.0,2021-06-27 17:35:59.011371
Independent Study for Nonmajors | SOCIOL 291,IND Section 02,4312,9,10,10.0,2021-06-27 17:36:01.404889
Independent Study for Nonmajors | SOCIOL 291,IND Section 03,4313,10,10,0.0,2021-06-27 17:36:03.815592
Independent Study for Nonmajors | SOCIOL 291,IND Section 04,4314,10,10,0.0,2021-06-27 17:36:06.194452
Independent Study for Nonmajors | SOCIOL 291,IND Section 05,4315,10,10,0.0,2021-06-27 17:36:08.580325
Research Independent Study for Non-Majors | SOCIOL 293,IND Section 01,4316,9,10,10.0,2021-06-27 17:36:11.042155
Research Independent Study for Non-Majors | SOCIOL 293,IND Section 02,4317,10,10,0.0,2021-06-27 17:36:13.496715
Research Independent Study for Non-Majors | SOCIOL 293,IND Section 03,4318,10,10,0.0,2021-06-27 17:36:15.902298
Research Independent Study for Non-Majors | SOCIOL 293,IND Section 04,4319,10,10,0.0,2021-06-27 17:36:18.325921
Research Independent Study for Non-Majors | SOCIOL 293,IND Section 05,4320,10,10,0.0,2021-06-27 17:36:20.988142
"Race and Society: South Africa and the US, 1890-present | SOCIOL 322S",SEM Section 01,9750,1,18,94.44444444444444,2021-06-27 17:36:23.502034
The University as a Culture: A Survivor's Guide | SOCIOL 324S,SEM Section 01,5879,4,15,73.33333333333333,2021-06-27 17:36:25.879156
Methods of Social Research | SOCIOL 332,Lecture Section 01,4321,3,25,88.0,2021-06-27 17:36:28.324709
Theory and Society | SOCIOL 338,Lecture Section 01,4322,10,35,71.42857142857143,2021-06-27 17:36:30.697083
Technology and Organizational Environments | SOCIOL 344,Lecture Section 01,4323,13,40,67.5,2021-06-27 17:36:33.034720
"Nations, Regions, and the Global Economy | SOCIOL 345",Lecture Section 01,4324,7,35,80.0,2021-06-27 17:36:35.383750
Social Movements and Social Problems in Contemporary Spain | SOCIOL 346,Lecture Section 01,11192,2,15,86.66666666666667,2021-06-27 17:36:37.760210
Managing Networks: Research and Applications of Network Analysis to Business Organizations | SOCIOL 347,Lecture Section 01,4325,9,40,77.5,2021-06-27 17:36:40.123141
Sociology through Photography | SOCIOL 352S,SEM Section 01,3131,0,15,100.0,2021-06-27 17:36:42.516640
Organizations and Management | SOCIOL 355,Lecture Section 01,4326,7,35,80.0,2021-06-27 17:36:44.896808
Data Science and Society | SOCIOL 367S,SEM Section 01,4327,4,18,77.77777777777779,2021-06-27 17:36:47.367573
Pigging Out: The Cultural Politics of Food | SOCIOL 374,Lecture Section 01,5550,2,15,86.66666666666667,2021-06-27 17:36:49.767492
Masculinities & Global Politics | SOCIOL 375S,SEM Section 01,5184,6,15,60.0,2021-06-27 17:36:52.168927
Special Topics in Sociology | SOCIOL 390,Lecture Section 01,4328,32,32,0.0,2021-06-27 17:36:54.648042
Special Topics in Sociology | SOCIOL 390,Lecture Section 02,4329,30,30,0.0,2021-06-27 17:36:57.190956
Independent Study | SOCIOL 391,IND Section 01,4330,10,10,0.0,2021-06-27 17:37:00.102956
Independent Study | SOCIOL 391,IND Section 02,4331,10,10,0.0,2021-06-27 17:37:02.574191
Independent Study | SOCIOL 391,IND Section 03,4332,10,10,0.0,2021-06-27 17:37:05.093028
Independent Study | SOCIOL 391,IND Section 04,4333,10,10,0.0,2021-06-27 17:37:07.494504
Independent Study | SOCIOL 391,IND Section 05,4334,10,10,0.0,2021-06-27 17:37:10.004762
Research Independent Study | SOCIOL 393,IND Section 01,4335,9,10,10.0,2021-06-27 17:37:12.416528
Research Independent Study | SOCIOL 393,IND Section 02,4336,8,10,20.0,2021-06-27 17:37:14.801380
Research Independent Study | SOCIOL 393,IND Section 03,4337,9,10,10.0,2021-06-27 17:37:17.195288
Research Independent Study | SOCIOL 393,IND Section 04,4338,9,10,10.0,2021-06-27 17:37:19.611226
Research Independent Study | SOCIOL 393,IND Section 05,4339,9,10,10.0,2021-06-27 17:37:22.078502
