Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Let's Dance! Live Art and Performance | THEATRST 104,Lecture Section 01,5726,6,9,33.33333333333333,2021-06-27 17:40:17.664889
Let's Dance! Live Art and Performance | THEATRST 104,Lecture Section 02,5728,9,9,0.0,2021-06-27 17:40:20.071525
The Theater Today | THEATRST 115,Lecture Section 01,7833,8,18,55.55555555555556,2021-06-27 17:40:22.466040
Acting | THEATRST 145S,SEM Section 01,7834,5,12,58.333333333333336,2021-06-27 17:40:24.862486
Acting | THEATRST 145S,SEM Section 02,7835,0,16,100.0,2021-06-27 17:40:27.224289
Acting | THEATRST 145S,SEM Section 03,7836,0,16,100.0,2021-06-27 17:40:29.594981
Acting | THEATRST 145S,SEM Section 04,7837,5,16,68.75,2021-06-27 17:40:31.979473
Acting | THEATRST 145S,SEM Section 05,11482,1,12,91.66666666666666,2021-06-27 17:40:34.494388
Acting | THEATRST 145S,SEM Section 06,11481,2,12,83.33333333333334,2021-06-27 17:40:37.098979
American Musicals | THEATRST 210S,SEM Section 01,7838,0,16,100.0,2021-06-27 17:40:39.532459
Writing the Musical Book | THEATRST 216S,SEM Section 01,7839,3,16,81.25,2021-06-27 17:40:42.120629
Shakespeare | THEATRST 222,Lecture Section 01,5677,28,45,37.77777777777778,2021-06-27 17:40:44.470259
Asian American Theatre | THEATRST 232S,SEM Section 01,7840,1,8,87.5,2021-06-27 17:40:46.878165
Asian American Theatre | THEATRST 232S,SEM Section 02,11376,0,8,100.0,2021-06-27 17:40:49.317313
Dance and Dance Theater of Asia | THEATRST 233,Lecture Section 01,5744,0,10,100.0,2021-06-27 17:40:51.690257
Shakespeare's Nature | THEATRST 237S,SEM Section 01,5679,0,12,100.0,2021-06-27 17:40:54.079587
Shakespeare Studio | THEATRST 246S,SEM Section 01,11480,11,16,31.25,2021-06-27 17:40:56.490572
The Art of Public Speaking: The Natural Voice | THEATRST 248S,SEM Section 01,7841,1,16,93.75,2021-06-27 17:40:58.849631
Understanding Mediation | THEATRST 249S,SEM Section 01,6168,2,12,83.33333333333334,2021-06-27 17:41:01.186221
Directing | THEATRST 255S,SEM Section 01,7842,3,12,75.0,2021-06-27 17:41:03.566411
Scene Design | THEATRST 262S,SEM Section 01,7843,7,11,36.36363636363637,2021-06-27 17:41:05.960608
Dramatic Writing | THEATRST 280S,SEM Section 01,7844,2,16,87.5,2021-06-27 17:41:08.292211
Special Topics in Arts Management | THEATRST 290S-5,SEM Section 01,7845,8,11,27.27272727272727,2021-06-27 17:41:10.707795
Independent Study | THEATRST 291,IND Section 01,11231,0,1,100.0,2021-06-27 17:41:13.131709
Independent Study | THEATRST 291,IND Section 02,11939,0,1,100.0,2021-06-27 17:41:15.552462
"Dancing States of Mind: The Self, Social and Political Practice of Dance | THEATRST 309S",SEM Section 02,5741,9,18,50.0,2021-06-27 17:41:18.010706
Non-Profit Cultural Institutions | THEATRST 310S,SEM Section 01,7846,1,16,93.75,2021-06-27 17:41:20.357683
Modern Drama: 1940-2000 | THEATRST 335S,SEM Section 01,7847,11,16,31.25,2021-06-27 17:41:22.711200
Advanced Acting: Contemporary Texts | THEATRST 345S,SEM Section 01,7848,7,12,41.66666666666667,2021-06-27 17:41:25.106335
Mainstage Production | THEATRST 350,Lecture Section 01,7849,3,16,81.25,2021-06-27 17:41:27.473967
Performance and Technology: Composition Workshop | THEATRST 364,Lecture Section 01,5732,1,10,90.0,2021-06-27 17:41:29.890715
Performance and Technology: Composition Workshop | THEATRST 364,Lecture Section 02,5735,0,15,100.0,2021-06-27 17:41:32.286742
Senior Distinction Project | THEATRST 495,IND Section 01,7851,0,1,100.0,2021-06-27 17:41:34.728297
Senior Distinction Project | THEATRST 495,IND Section 02,7852,0,1,100.0,2021-06-27 17:41:37.107161
Let's Dance! Live Art and Performance | THEATRST 104,Lecture Section 01,5726,6,9,33.33333333333333,2021-06-27 18:35:09.118490
Let's Dance! Live Art and Performance | THEATRST 104,Lecture Section 02,5728,9,9,0.0,2021-06-27 18:35:11.757339
The Theater Today | THEATRST 115,Lecture Section 01,7833,8,18,55.55555555555556,2021-06-27 18:35:14.287593
Acting | THEATRST 145S,SEM Section 01,7834,5,12,58.333333333333336,2021-06-27 18:35:16.885578
Acting | THEATRST 145S,SEM Section 02,7835,0,16,100.0,2021-06-27 18:35:19.330360
Acting | THEATRST 145S,SEM Section 03,7836,0,16,100.0,2021-06-27 18:35:21.668449
Acting | THEATRST 145S,SEM Section 04,7837,5,16,68.75,2021-06-27 18:35:24.057208
Acting | THEATRST 145S,SEM Section 05,11482,1,12,91.66666666666666,2021-06-27 18:35:26.476797
Acting | THEATRST 145S,SEM Section 06,11481,2,12,83.33333333333334,2021-06-27 18:35:28.868335
American Musicals | THEATRST 210S,SEM Section 01,7838,0,16,100.0,2021-06-27 18:35:31.193639
Writing the Musical Book | THEATRST 216S,SEM Section 01,7839,3,16,81.25,2021-06-27 18:35:33.550487
Shakespeare | THEATRST 222,Lecture Section 01,5677,28,45,37.77777777777778,2021-06-27 18:35:35.896411
Asian American Theatre | THEATRST 232S,SEM Section 01,7840,1,8,87.5,2021-06-27 18:35:38.302300
Asian American Theatre | THEATRST 232S,SEM Section 02,11376,0,8,100.0,2021-06-27 18:35:40.749901
Dance and Dance Theater of Asia | THEATRST 233,Lecture Section 01,5744,0,10,100.0,2021-06-27 18:35:43.175611
Shakespeare's Nature | THEATRST 237S,SEM Section 01,5679,0,12,100.0,2021-06-27 18:35:45.663041
Shakespeare Studio | THEATRST 246S,SEM Section 01,11480,11,16,31.25,2021-06-27 18:35:48.090335
The Art of Public Speaking: The Natural Voice | THEATRST 248S,SEM Section 01,7841,1,16,93.75,2021-06-27 18:35:50.446111
Understanding Mediation | THEATRST 249S,SEM Section 01,6168,2,12,83.33333333333334,2021-06-27 18:35:52.848699
Directing | THEATRST 255S,SEM Section 01,7842,3,12,75.0,2021-06-27 18:35:55.214382
Scene Design | THEATRST 262S,SEM Section 01,7843,7,11,36.36363636363637,2021-06-27 18:35:57.604585
Dramatic Writing | THEATRST 280S,SEM Section 01,7844,2,16,87.5,2021-06-27 18:36:00.012067
Special Topics in Arts Management | THEATRST 290S-5,SEM Section 01,7845,8,11,27.27272727272727,2021-06-27 18:36:02.496944
Independent Study | THEATRST 291,IND Section 01,11231,0,1,100.0,2021-06-27 18:36:05.021355
Independent Study | THEATRST 291,IND Section 02,11939,0,1,100.0,2021-06-27 18:36:07.655952
"Dancing States of Mind: The Self, Social and Political Practice of Dance | THEATRST 309S",SEM Section 02,5741,9,18,50.0,2021-06-27 18:36:10.030205
Non-Profit Cultural Institutions | THEATRST 310S,SEM Section 01,7846,1,16,93.75,2021-06-27 18:36:12.410984
Modern Drama: 1940-2000 | THEATRST 335S,SEM Section 01,7847,11,16,31.25,2021-06-27 18:36:14.872531
Advanced Acting: Contemporary Texts | THEATRST 345S,SEM Section 01,7848,7,12,41.66666666666667,2021-06-27 18:36:17.288995
Mainstage Production | THEATRST 350,Lecture Section 01,7849,3,16,81.25,2021-06-27 18:36:19.759702
Performance and Technology: Composition Workshop | THEATRST 364,Lecture Section 01,5732,1,10,90.0,2021-06-27 18:36:22.170004
Performance and Technology: Composition Workshop | THEATRST 364,Lecture Section 02,5735,0,15,100.0,2021-06-27 18:36:24.592891
Senior Distinction Project | THEATRST 495,IND Section 01,7851,0,1,100.0,2021-06-27 18:36:27.054217
