Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Elementary Turkish | TURKISH 102,Lecture Section 01,6631,13,15,13.333333333333334,2021-06-27 17:41:50.605837
Accelerated Elementary Turkish Language and Culture | TURKISH 112,Lecture Section 01,10536,11,12,8.333333333333332,2021-06-27 17:41:53.018972
Intermediate Turkish | TURKISH 204,Lecture Section 01,6632,13,15,13.333333333333334,2021-06-27 17:41:55.541580
Contemporary Turkish Composition and Readings | TURKISH 306,Lecture Section 01,6633,8,12,33.33333333333333,2021-06-27 17:41:57.871617
Turkish Independent Study | TURKISH 391,IND Section 01,10285,4,4,0.0,2021-06-27 17:42:00.402745
Turkish Independent Study | TURKISH 391,IND Section 02,10286,4,4,0.0,2021-06-27 17:42:02.828584
Elementary Turkish | TURKISH 102,Lecture Section 01,6631,13,15,13.333333333333334,2021-06-27 18:36:43.061314
Accelerated Elementary Turkish Language and Culture | TURKISH 112,Lecture Section 01,10536,11,12,8.333333333333332,2021-06-27 18:36:45.598997
Intermediate Turkish | TURKISH 204,Lecture Section 01,6632,13,15,13.333333333333334,2021-06-27 18:36:48.028794
Contemporary Turkish Composition and Readings | TURKISH 306,Lecture Section 01,6633,8,12,33.33333333333333,2021-06-27 18:36:50.435610
Turkish Independent Study | TURKISH 391,IND Section 01,10285,4,4,0.0,2021-06-27 18:36:52.879334
Turkish Independent Study | TURKISH 391,IND Section 02,10286,4,4,0.0,2021-06-27 18:36:55.295400
