Class Name,Department,Catalog Number,Section Type,Section Number,Class Number,Open Seats,Total Seats,Percent,Timestamp
Buddhism,AMES,114,Lecture,01,7249,8,20,60.0,6/27/2021 5:18:36 PM
Islamic Civilization I,AMES,122,Lecture,01,7272,34,45,24.444444444444443,6/27/2021 5:18:38 PM
Understanding the Qur'an,AMES,126S,SEM,01,7266,12,18,33.33333333333333,6/27/2021 5:18:41 PM
China from Antiquity to 1400,AMES,136,Lecture,01,7096,21,35,40.0,6/27/2021 5:18:43 PM
History of Chinese Medicine,AMES,142,Lecture,01,7102,1,40,97.5,6/27/2021 5:18:45 PM
"Anime: Origins, Forms, Mutations",AMES,162,Lecture,01,6550,5,45,88.88888888888889,6/27/2021 5:18:48 PM
The Emergence of Modern Japan,AMES,169,Lecture,01,7099,15,25,40.0,6/27/2021 5:18:50 PM
Asian American Theatre,AMES,182S,SEM,01,7858,1,8,87.5,6/27/2021 5:18:53 PM
Asian American Theatre,AMES,182S,SEM,02,11378,0,8,100.0,6/27/2021 5:18:55 PM
Gateway Seminar: Civil Rights and Asian Americans,AMES,187S,SEM,01,7088,3,18,83.33333333333334,6/27/2021 5:18:57 PM
Special Topics in Asian & Middle Eastern Studies,AMES,190S,SEM,02,6552,1,18,94.44444444444444,6/27/2021 5:19:00 PM
"Arab Cultures: Literature, Politics, History",AMES,210,Lecture,01,6553,17,21,19.047619047619047,6/27/2021 5:19:02 PM
Muhammad: The Prophet of Islam,AMES,223S,SEM,01,7726,8,18,55.55555555555556,6/27/2021 5:19:04 PM
Dance and Dance Theater of Asia,AMES,246,Lecture,01,5746,0,10,100.0,6/27/2021 5:19:07 PM
Religion and the Novel in Modern India,AMES,255,Lecture,01,7253,27,45,40.0,6/27/2021 5:19:09 PM
The Transnational Realities of an Ancient Tradition,AMES,265,Lecture,01,11216,41,45,8.88888888888889,6/27/2021 5:19:11 PM
Spiritual But Not Religious,AMES,267,Lecture,01,11215,36,45,20.0,6/27/2021 5:19:14 PM
Voices in Global Health: Mandarin Tutorial,AMES,270T-5,TUT,01,10410,0,8,100.0,6/27/2021 5:19:16 PM
Introduction to Asian American and Diaspora Studies,AMES,276S,SEM,01,7749,0,12,100.0,6/27/2021 5:19:18 PM
"Istanbul: Religion, Politics and Cosmopolitanism",AMES,283S,SEM,01,6555,12,15,20.0,6/27/2021 5:19:21 PM
Special Topics in Asian and Middle Eastern Studies,AMES,290S,SEM,01,6556,15,18,16.666666666666664,6/27/2021 5:19:23 PM
Turkish History through the Novels of Orhan Pamuk,AMES,296S,SEM,01,6557,15,18,16.666666666666664,6/27/2021 5:19:25 PM
"Africa and Arabia: Cultures, Communities, and Connections",AMES,304,Lecture,01,6558,7,12,41.66666666666667,6/27/2021 5:19:28 PM
"Africa and Arabia: Cultures, Communities, and Connections",AMES,304,Lecture,02,6559,1,6,83.33333333333334,6/27/2021 5:19:30 PM
Acquisition of Japanese as a Second Language,AMES,310S,SEM,01,6560,4,12,66.66666666666666,6/27/2021 5:19:32 PM
Social Movements and Social Media,AMES,318S,SEM,01,6165,0,18,100.0,6/27/2021 5:19:35 PM
"Muslim Philosophy and Theology, an introduction",AMES,324S,SEM,01,7268,14,18,22.22222222222222,6/27/2021 5:19:37 PM
Islamic Media,AMES,329S,SEM,01,6561,9,14,35.714285714285715,6/27/2021 5:19:39 PM
Islamic Media,AMES,329S,SEM,02,11546,4,4,0.0,6/27/2021 5:19:42 PM
Chinese science fiction,AMES,336,Lecture,01,7728,12,22,45.45454545454545,6/27/2021 5:19:44 PM
"Hinduism and Judaism: Culture, Religion, and Identity",AMES,349S,SEM,01,7252,4,18,77.77777777777779,6/27/2021 5:19:46 PM
Modern & Global India,AMES,357,Lecture,01,7094,2,18,88.88888888888889,6/27/2021 5:19:49 PM
Modern & Global India,AMES,357,Lecture,02,11932,0,2,100.0,6/27/2021 5:19:51 PM
Violent Jihad in the Twentieth Century - A Global History,AMES,359,Lecture,01,7133,23,60,61.66666666666667,6/27/2021 5:19:53 PM
"Tibetan Buddhism: Culture, Ethics, Philosophy and Practice",AMES,386S,SEM,01,7265,15,18,16.666666666666664,6/27/2021 5:19:56 PM
Global South Asia: History and Culture of Diaspora,AMES,388S,SEM,01,10534,2,15,86.66666666666667,6/27/2021 5:19:58 PM
Special Topics,AMES,390S,SEM,01,6562,17,18,5.555555555555555,6/27/2021 5:20:00 PM
Independent Study,AMES,391,IND,01,10228,4,4,0.0,6/27/2021 5:20:03 PM
Independent Study,AMES,391,IND,02,10229,4,4,0.0,6/27/2021 5:20:05 PM
Independent Study,AMES,391,IND,03,10230,4,4,0.0,6/27/2021 5:20:07 PM
France-Asia: Cultural Transfers and Translations in a Globalized Context,AMES,426S,SEM,01,9506,2,18,88.88888888888889,6/27/2021 5:20:10 PM
"Storyworlds: The Art, Technology, and Pleasure of Narrative",AMES,432S,SEM,01,6563,0,18,100.0,6/27/2021 5:20:12 PM
Chinese Culture and Ideology in the 20th Century and Now,AMES,456S,SEM,01,6564,1,18,94.44444444444444,6/27/2021 5:20:15 PM
Research Independent Study,AMES,493,IND,01,10231,4,4,0.0,6/27/2021 5:20:17 PM
Research Independent Study,AMES,493,IND,02,10232,3,4,25.0,6/27/2021 5:20:19 PM
Research Independent Study,AMES,493,IND,03,10233,4,4,0.0,6/27/2021 5:20:22 PM
Research Independent Study,AMES,493,IND,04,10234,4,4,0.0,6/27/2021 5:20:24 PM
Research Independent Study,AMES,493,IND,05,10235,4,4,0.0,6/27/2021 5:20:26 PM
Collaborative Research Projects,AMES,495,IND,01,10236,5,5,0.0,6/27/2021 5:20:29 PM
Collaborative Research Projects,AMES,495,IND,02,10237,5,5,0.0,6/27/2021 5:20:31 PM
Collaborative Research Projects,AMES,495,IND,03,10238,5,5,0.0,6/27/2021 5:20:33 PM
Collaborative Research Projects,AMES,495,IND,04,10239,5,5,0.0,6/27/2021 5:20:36 PM
Collaborative Research Projects,AMES,495,IND,05,10240,5,5,0.0,6/27/2021 5:20:38 PM
Senior Honors Thesis Seminar,AMES,499S,SEM,01,6565,10,12,16.666666666666664,6/27/2021 5:20:40 PM
Buddhism,AMES,114,Lecture,01,7249,8,20,60.0,6/27/2021 6:13:17 PM
Islamic Civilization I,AMES,122,Lecture,01,7272,34,45,24.444444444444443,6/27/2021 6:13:19 PM
Understanding the Qur'an,AMES,126S,SEM,01,7266,12,18,33.33333333333333,6/27/2021 6:13:21 PM
China from Antiquity to 1400,AMES,136,Lecture,01,7096,21,35,40.0,6/27/2021 6:13:24 PM
History of Chinese Medicine,AMES,142,Lecture,01,7102,1,40,97.5,6/27/2021 6:13:26 PM
"Anime: Origins, Forms, Mutations",AMES,162,Lecture,01,6550,5,45,88.88888888888889,6/27/2021 6:13:29 PM
The Emergence of Modern Japan,AMES,169,Lecture,01,7099,15,25,40.0,6/27/2021 6:13:31 PM
Asian American Theatre,AMES,182S,SEM,01,7858,1,8,87.5,6/27/2021 6:13:33 PM
Asian American Theatre,AMES,182S,SEM,02,11378,0,8,100.0,6/27/2021 6:13:36 PM
Gateway Seminar: Civil Rights and Asian Americans,AMES,187S,SEM,01,7088,3,18,83.33333333333334,6/27/2021 6:13:38 PM
Special Topics in Asian & Middle Eastern Studies,AMES,190S,SEM,02,6552,1,18,94.44444444444444,6/27/2021 6:13:41 PM
"Arab Cultures: Literature, Politics, History",AMES,210,Lecture,01,6553,17,21,19.047619047619047,6/27/2021 6:13:43 PM
Muhammad: The Prophet of Islam,AMES,223S,SEM,01,7726,8,18,55.55555555555556,6/27/2021 6:13:45 PM
Dance and Dance Theater of Asia,AMES,246,Lecture,01,5746,0,10,100.0,6/27/2021 6:13:48 PM
Religion and the Novel in Modern India,AMES,255,Lecture,01,7253,27,45,40.0,6/27/2021 6:13:50 PM
The Transnational Realities of an Ancient Tradition,AMES,265,Lecture,01,11216,41,45,8.88888888888889,6/27/2021 6:13:53 PM
Spiritual But Not Religious,AMES,267,Lecture,01,11215,36,45,20.0,6/27/2021 6:13:55 PM
Voices in Global Health: Mandarin Tutorial,AMES,270T-5,TUT,01,10410,0,8,100.0,6/27/2021 6:13:57 PM
Introduction to Asian American and Diaspora Studies,AMES,276S,SEM,01,7749,0,12,100.0,6/27/2021 6:14:00 PM
"Istanbul: Religion, Politics and Cosmopolitanism",AMES,283S,SEM,01,6555,12,15,20.0,6/27/2021 6:14:02 PM
Special Topics in Asian and Middle Eastern Studies,AMES,290S,SEM,01,6556,15,18,16.666666666666664,6/27/2021 6:14:04 PM
Turkish History through the Novels of Orhan Pamuk,AMES,296S,SEM,01,6557,15,18,16.666666666666664,6/27/2021 6:14:07 PM
"Africa and Arabia: Cultures, Communities, and Connections",AMES,304,Lecture,01,6558,7,12,41.66666666666667,6/27/2021 6:14:09 PM
"Africa and Arabia: Cultures, Communities, and Connections",AMES,304,Lecture,02,6559,1,6,83.33333333333334,6/27/2021 6:14:12 PM
Acquisition of Japanese as a Second Language,AMES,310S,SEM,01,6560,4,12,66.66666666666666,6/27/2021 6:14:14 PM
Social Movements and Social Media,AMES,318S,SEM,01,6165,0,18,100.0,6/27/2021 6:14:16 PM
"Muslim Philosophy and Theology, an introduction",AMES,324S,SEM,01,7268,14,18,22.22222222222222,6/27/2021 6:14:18 PM
Islamic Media,AMES,329S,SEM,01,6561,9,14,35.714285714285715,6/27/2021 6:14:21 PM
Islamic Media,AMES,329S,SEM,02,11546,4,4,0.0,6/27/2021 6:14:23 PM
Chinese science fiction,AMES,336,Lecture,01,7728,12,22,45.45454545454545,6/27/2021 6:14:26 PM
"Hinduism and Judaism: Culture, Religion, and Identity",AMES,349S,SEM,01,7252,4,18,77.77777777777779,6/27/2021 6:14:28 PM
Modern & Global India,AMES,357,Lecture,01,7094,2,18,88.88888888888889,6/27/2021 6:14:30 PM
Modern & Global India,AMES,357,Lecture,02,11932,0,2,100.0,6/27/2021 6:14:33 PM
Violent Jihad in the Twentieth Century - A Global History,AMES,359,Lecture,01,7133,23,60,61.66666666666667,6/27/2021 6:14:35 PM
"Tibetan Buddhism: Culture, Ethics, Philosophy and Practice",AMES,386S,SEM,01,7265,15,18,16.666666666666664,6/27/2021 6:14:37 PM
Global South Asia: History and Culture of Diaspora,AMES,388S,SEM,01,10534,2,15,86.66666666666667,6/27/2021 6:14:40 PM
Special Topics,AMES,390S,SEM,01,6562,17,18,5.555555555555555,6/27/2021 6:14:42 PM
Independent Study,AMES,391,IND,01,10228,4,4,0.0,6/27/2021 6:14:44 PM
Independent Study,AMES,391,IND,02,10229,4,4,0.0,6/27/2021 6:14:47 PM
Independent Study,AMES,391,IND,03,10230,4,4,0.0,6/27/2021 6:14:49 PM
France-Asia: Cultural Transfers and Translations in a Globalized Context,AMES,426S,SEM,01,9506,2,18,88.88888888888889,6/27/2021 6:14:51 PM
